"S1678-77572007000500014-scl","Volumetric polymerization shrinkage of contemporary composite resins","Nagem Filho, Halim, Nagem, Haline Drumond, Francisconi, Paulo Afonso Silveira, Franco, Eduardo Batista, Mondelli, Rafael Francisco Lia, Coutinho, Kennedy Queiroz","Journal of Applied Oral Science; 15(5); 448-452","Journal of Applied Oral Science","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572007000500014&lang=pt" 
"S0100-879X2007001000011-scl","Male gonadal function, prolactin secretion and lactotroph population in an experimental model of cirrhosis","Gonzales, P.H., Rhoden, C.R., Luz, C., Corrêa, G., Barbosa-Coutinho, L.M., Oliveira, M.C.","Brazilian Journal of Medical and Biological Research; 40(10); 1383-1388","Brazilian Journal of Medical and Biological Research","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2007001000011&lang=pt" 
"S0100-879X2007001000003-scl","Is there an association between T102C polymorphism of the serotonin receptor 2A gene and urinary incontinence?","Schwanke, C.H.A., Bittencourt, L., Noronha, J.A.P., Augustin, S.A.J., Jung, I.E., Cruz, I.B.M.","Brazilian Journal of Medical and Biological Research; 40(10); 1315-1322","Brazilian Journal of Medical and Biological Research","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2007001000003&lang=pt" 
"S0100-879X2007001000014-scl","Therapeutic effects of Sophora moorcroftiana alkaloids in combination with albendazole in mice experimentally infected with protoscolices of Echinococcus granulosus","Ma, X.M., Bao, G.SH., Wan, J.M., Liao, D.J., Yin, SH.F., Meng, X.Q., Zhou, G.K., Lu, X.M., Li, H.Y.","Brazilian Journal of Medical and Biological Research; 40(10); 1403-1408","Brazilian Journal of Medical and Biological Research","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2007001000014&lang=pt" 
"S0100-879X2007001000008-scl","Ambient particulate air pollution from vehicles promotes lipid peroxidation and inflammatory responses in rat lung","Pereira, C.E.L., Heck, T.G., Saldiva, P.H.N., Rhoden, C.R.","Brazilian Journal of Medical and Biological Research; 40(10); 1353-1359","Brazilian Journal of Medical and Biological Research","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2007001000008&lang=pt" 
"S0100-879X2007001000015-scl","Breathing pattern, thoracoabdominal motion and muscular activity during three breathing exercises","Tomich, G.M., França, D.C., Diório, A.C.M., Britto, R.R., Sampaio, R.F., Parreira, V.F.","Brazilian Journal of Medical and Biological Research; 40(10); 1409-1417","Brazilian Journal of Medical and Biological Research","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2007001000015&lang=pt" 
"S0100-879X2007001000007-scl","Synthesis and secretion of transferrin by a bovine trabecular meshwork cell line","Bertazolli-Filho, R., Laicine, E.M., Haddad, A.","Brazilian Journal of Medical and Biological Research; 40(10); 1345-1351","Brazilian Journal of Medical and Biological Research","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2007001000007&lang=pt" 
"S0100-879X2007001000001-scl","Pharmacology and toxicology of diphenyl diselenide in several biological models","Rosa, R.M., Roesler, R., Braga, A.L., Saffi, J., Henriques, J.A.P.","Brazilian Journal of Medical and Biological Research; 40(10); 1287-1304","Brazilian Journal of Medical and Biological Research","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2007001000001&lang=pt" 
"S0036-46652007000500013-scl","Incidence of enteroparasites with molecular characterization of Cryptosporidium spp. in different Brazilian communities","Gonçalves, Elenice Messias do Nascimento","Revista do Instituto de Medicina Tropical de São Paulo; 49(5); 296-296","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000500013&lang=pt" 
"S0036-46652007000500001-scl","Sexual transmission of hepatitis C","Cavalheiro, Norma de Paula","Revista do Instituto de Medicina Tropical de São Paulo; 49(5); 271-277","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000500001&lang=pt" 
"S0036-46652007000500002-scl","Neurotoxocarosis","Finsterer, Josef, Auer, Herbert","Revista do Instituto de Medicina Tropical de São Paulo; 49(5); 279-287","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000500002&lang=pt" 
"S0036-46652007000500003-scl","Expression of circulating leucocytes before, during and after myiasis by Dermatobia hominis in experimentally infected rats","Gonçalves, Jomara M., Pereira, Mônica C.T., Evangelista, Luciene G., Leite, Antônio C.R.","Revista do Instituto de Medicina Tropical de São Paulo; 49(5); 289-292","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000500003&lang=pt" 
"S0036-46652007000500004-scl","In vitro susceptibility testing of dermatophytes isolated from pediatric cases in Nigeria against five antifungals","Nweze, E.I., Ogbonna, C.C., Okafor, J.I.","Revista do Instituto de Medicina Tropical de São Paulo; 49(5); 293-295","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000500004&lang=pt" 
"S0100-39842007000500009-scl","Alterações decorrentes do envelhecimento podem impedir a indetificação de indivíduos submetidos a radiografias da coluna lombar? Potencial contribuição da avaliação radiológica para a atividade forense","Oliveira, Sílvia Falcão de, Gomes, Glória Maria Martins, Cardoso, Lucio Ronaldo, Koch, Hilton Augusto, Marchiori, Edson, Gutfilen, Bianca","Radiologia Brasileira; 40(5); 327-330","Radiologia Brasileira","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842007000500009&lang=pt" 
"S1516-35982007000600001-scl","Saccharomyces cerevisiae como probiótico para alevinos de tilápia-do-nilo submetidos a desafio sanitário","Meurer, Fábio, Hayashi, Carmino, Costa, Mateus Matiuzzi da, Freccia, André, Mauerwerk, Marlize Terezinha","Revista Brasileira de Zootecnia; 36(5); 1219-1224","Revista Brasileira de Zootecnia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982007000600001&lang=pt" 
"S1516-35982007000600002-scl","Deposição de ácido linoléico conjugado (CLA) em tilápias-do-nilo","Santos, Lilian Dena dos, Furuya, Wilson Massamitu, Matsushita, Makoto, Silva, Lilian Carolina Rosa da, Silva, Tarcila Souza de Castro, Botaro, Daniele, Sales, Priscila Pinsetta","Revista Brasileira de Zootecnia; 36(5); 1225-1230","Revista Brasileira de Zootecnia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982007000600002&lang=pt" 
"S1516-35982007000600003-scl","Óxido de cálcio como aditivo na ensilagem de cana-de-açúcar","Balieiro Neto, Geraldo, Siqueira, Gustavo Rezende, Reis, Ricardo Andrade, Nogueira, José Ramos, Roth, Marcella de Toledo Piza, Roth, Anna Paula de Toledo Piza","Revista Brasileira de Zootecnia; 36(5); 1231-1239","Revista Brasileira de Zootecnia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982007000600003&lang=pt" 
