"S1517-86922015000600425-scl","MEDIDA DA ATIVIDADE FÍSICA EM JOVENS BRASILEIROS: REPRODUTIBILIDADE E VALIDADE DO PAQ-C E DO PAQ-A","Guedes, Dartagnan Pinto, Guedes, Joana Elisabete Ribeiro Pinto","Revista Brasileira de Medicina do Esporte; 21(6); 425-432","Revista Brasileira de Medicina do Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922015000600425&lang=pt" 
"S0102-09352015000601646-scl","Matrizes ovinas cruzadas são sempre mais eficientes do que as matrizes puras?","Bianchi, G., Carvalho, S., Rivero, J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1646-1652","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601646&lang=pt" 
"S0102-33062015000400575-scl","Taxonomic value of histochemical features of the style in early lineages of Asteraceae","Hernández, Marcelo Paulo, Katinas, Liliana, Arambarri, Ana María","Acta Botanica Brasilica; 29(4); 575-585","Acta Botanica Brasilica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062015000400575&lang=pt" 
"S0102-09352015000601528-scl","Spleen evaluation using contrast enhanced ultrasonography and Doppler in dogs with subclinical ehrlichiosis","Maronezi, M.C., Feliciano, M.A.R., Crivellenti, L.Z., Borin-Crivellenti, S., Silva, P.E.S., Zampolo, C., Pavan, L., Gasser, B., Simões, A.P.R., Maciel, G.S., Canola, J.C., Vicente, W.R.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1528-1532","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601528&lang=pt" 
"S0104-59702015000401411-scl","Preservação do patrimônio cultural da saúde no Brasil: uma questão emergente","Serres, Juliane Conceição Primon","História, Ciências, Saúde-Manguinhos; 22(4); 1411-1426","História, Ciências, Saúde-Manguinhos","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702015000401411&lang=pt" 
"S0104-59702015000401335-scl","O Hospital Real de Todos-os-Santos e seus agentes da cura","Silva, Priscila Aquino","História, Ciências, Saúde-Manguinhos; 22(4); 1335-1352","História, Ciências, Saúde-Manguinhos","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702015000401335&lang=pt" 
"S0103-84782015001202150-scl","Raleio de cachos sobre o potencial enológico da uva &#039;Cabernet Franc&#039; em duas safras","Marcon Filho, José Luiz, Hipólito, Joseane De Souza, Macedo, Tiago Afonso De, Kretzschmar, Aike Anneliese, Rufato, Leo","Ciência Rural; 45(12); 2150-2156","Ciência Rural","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015001202150&lang=pt" 
"S0103-84782015001202125-scl","Insects related to Olive culture in Rio Grande do Sul State, Brazil","Ricalde, Marcelo Perrone, Nava, Dori Edson, Loeck, Alci Enimar, Coutinho, Enilton Fick, Bisognin, Alexandre, Garcia, Flávio Roberto Mello","Ciência Rural; 45(12); 2125-2130","Ciência Rural","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015001202125&lang=pt" 
"S0103-84782015001202131-scl","Radiossensibilidade de sementes e segmentos caulinares de maracujazeiro-amarelo submetidos à radiação gama","Flores, Patrícia Silva, Bruckner, Claudio Horst","Ciência Rural; 45(12); 2131-2136","Ciência Rural","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015001202131&lang=pt" 
"S0103-84782015001202267-scl","Family farming products on menus in school feeding: a partnership for promoting healthy eating","Gonçalves, Hélida Ventura Barbosa, Cunha, Diogo Thimoteo da, Stedefeldt, Elke, Rosso, Veridiana Vera de","Ciência Rural; 45(12); 2267-2273","Ciência Rural","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015001202267&lang=pt" 
"S0103-84782015001202099-scl","Caracterização de isolados de Xanthomonas sp. associados a sementes de arroz e diferenciação de estirpes de Xanthomonas oryzae","Souza Júnior, Ismail Teodoro de, Santos, Mauren de Oliveira, Oliveira, Andréia Mara Rotta de, Moraes, Marcelo Gravina de, Duarte, Valmir","Ciência Rural; 45(12); 2099-2105","Ciência Rural","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015001202099&lang=pt" 
"S0103-84782015001202137-scl","Fenologia reprodutiva e qualidade das sementes de Cabralea canjerana (Vell.) Mart","Felippi, Marciele, Araújo, Maristela Machado, Longhi, Solon Jonas, Lucio, Alessandro DalCol","Ciência Rural; 45(12); 2137-2142","Ciência Rural","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015001202137&lang=pt" 
"S0103-84782015001202252-scl","Farinha de banana verde como ingrediente funcional em produtos alimentícios","Silva, Andréa dos Anjos, Barbosa Junior, José Lucena, Barbosa, Maria Ivone Martins Jacintho","Ciência Rural; 45(12); 2252-2258","Ciência Rural","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015001202252&lang=pt" 
