"S1794-31082014000100008-col","Hacia una tipología de lugares peligrosos. Caso de estudio de la comuna 11 de Dosquebradas, Colombia","Jiménez-García, Williams Gilberto","Revista Criminalidad; 56(1); 133-156","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100008&lang=pt" 
"S1794-31082014000100006-col","Características del comportamiento suicida en cárceles de Colombia","Larrotta Castillo, Richard, Luzardo Briceño, Marianela, Vargas Cifuentes, Sandra, Rangel Noriega, Kelly","Revista Criminalidad; 56(1); 83-95","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100006&lang=pt" 
"S1794-31082014000100005-col","El instituto jurídico de la libertad condicional. Condiciones actuales de su aplicación en el caso argentino","Kalinsky, Beatriz","Revista Criminalidad; 56(1); 69-82","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100005&lang=pt" 
"S1794-31082014000100001-col","","Palomino López, Rodolfo","Revista Criminalidad; 56(1); 7-8","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100001&lang=pt" 
"S0120-99652014000100018-col","Proposal for a strategic management plan for experimental agricultural and academic farm &quot;El Cairo&quot; of Arauca","Nieves, Elías, Bermudez, Lilia Teresa, Rodríguez, Luis Felipe","Agronomía Colombiana; 32(1); 138-145","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100018&lang=pt" 
"S0120-99652014000100002-col","Comparison of DNA extraction methods for detection of citrus huanglongbing in Colombia","Ángel, Jorge Evelio, Hernández, Erick Geovanni, Herrera, Néstor Andrés, Gómez, Linda Yhiset, Castro, Ángela Patricia, Adriana Milena, Sepúlveda, Ebratt, Everth Emilio","Agronomía Colombiana; 32(1); 7-13","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100002&lang=pt" 
"S0120-99652014000100001-col","Editorial","FISCHER, GERHARD","Agronomía Colombiana; 32(1); 3-5","Agronomía Colombiana","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100001&lang=pt" 
"S0120-99652014000100003-col","Effect of fruit size on the growth and development of Andean blueberry (Vaccinium meridionale Swartz) seedlings from four locations in the Colombian Andes","Cristian Leonardo, García M., Ligarreto M., Gustavo Adolfo","Agronomía Colombiana; 32(1); 14-21","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100003&lang=pt" 
"S0120-99652014000100004-col","The effect of high iron doses (Fe2+) on the growth of broccoli plants (Brassica oleracea var. Italica)","Peña-Olmos, Jaime E., Casierra-Posada, Fánor, Olmos-Cubides, Misael A.","Agronomía Colombiana; 32(1); 22-28","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100004&lang=pt" 
"S0120-99652014000100005-col","Temperature effect on rose downy mildew development under environmental controlled conditions","Filgueira D., Juan José, Zambrano, Angélica","Agronomía Colombiana; 32(1); 29-36","Agronomía Colombiana","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652014000100005&lang=pt" 
