"S2305-08532012000200021-sza","Die funksionaliteit van die martelaarsverhale in Victor van Vita se Historia Persecutionis (HP)","Swartz, Nico P.","In die Skriflig; 46(2); 1-8","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200021&lang=pt" 
"S2305-08532012000200020-sza","Nie-egte vrae in 1 Korintiërs 5-6","Snyman, Andreas H.","In die Skriflig; 46(2); 1-8","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200020&lang=pt" 
"S2305-08532012000200016-sza","Die pastorale terapeut as begeleier van &#039;n persoon met seksueel afwykende gedrag: &#039;n Hermeneutiese hoek","Potgieter, Stella D.","In die Skriflig; 46(2); 1-9","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200016&lang=pt" 
"S2305-08532012000200017-sza","Skrifberoep in die vorming van etiese uitsprake, Deel 1: &#039;n Etiese verstaan van die vrou in die Bybel","Rheeder, Adriaan L.","In die Skriflig; 46(2); 1-9","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200017&lang=pt" 
"S2305-08532012000200014-sza","Revisiting Shari&#039;ah, democracy and human rights in Nigeria","Mbamalu, Williams O.","In die Skriflig; 46(2); 1-9","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200014&lang=pt" 
"S2305-08532012000200015-sza","Developing an integrated approach to interpret New Testament use of the Old Testament","Phillips, Gregory Y., Janse van Rensburg, Fika, van Rooy, Herrie F.","In die Skriflig; 46(2); 1-10","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200015&lang=pt" 
"S2305-08532012000200012-sza","A theological model for pastoral anthropology within the dynamics of interculturality: Cura animarum and the quest for wholeness in a colo-spirituality","Louw, Daniël J.","In die Skriflig; 46(2); 1-9","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200012&lang=pt" 
"S2305-08532012000200013-sza","A reformed perspective on taking mission and missiology to the heart of theological training","Mashau, Thinandavha D.","In die Skriflig; 46(2); 1-8","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200013&lang=pt" 
"S2305-08532012000200010-sza","Beauty and battle: How the Spirit is moving and operating in the Reformed Churches of the Netherlands","Kommers, J. (Hans)","In die Skriflig; 46(2); 1-6","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200010&lang=pt" 
"S2305-08532012000200011-sza","Verstaanbare prediking is eenvoudige prediking: &#039;n Prakties-teologiese besinning oor die styl van prediking","Kruger, Ferdinand P.","In die Skriflig; 46(2); 1-11","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200011&lang=pt" 
"S0034-77442012000800001-cri","Diccionario histórico-toponímico de la Isla del Coco, Costa Rica","Díaz Bolaños, Ronald Eduardo, Alfaro, Eric J., Ugalde Quesada, Alexia","Revista de Biología Tropical; 60(); 01-14","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800001&lang=pt" 
"S0034-77442012000800002-cri","Marco geológico y tectónico de la Isla del Coco y la región marítima circunvecina, Costa Rica","Rojas, Wilfredo, Alvarado, Guillermo E.","Revista de Biología Tropical; 60(); 15-32","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800002&lang=pt" 
"S0034-77442012000800003-cri","Isla del Coco, on Cocos Plate, converges with Isla de San Andrés, on the Caribbean Plate, at 78mm/yr","Protti, Marino, González, Víctor, Freymueller, Jeffrey, Doelger, Sarah","Revista de Biología Tropical; 60(); 33-41","Revista de Biología Tropical","Inglês","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800003&lang=pt" 
"S0034-77442012000800004-cri","Rasgos morfológicos alrededor de la Isla del Coco y de sus montes submarinos vecinos, Pacífico de Costa Rica","Lizano, Omar G.","Revista de Biología Tropical; 60(); 43-51","Revista de Biología Tropical","Espanhol","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800004&lang=pt" 
"S0034-77442012000800005-cri","Distribution of shallow water soft and hard bottom seabeds in the Isla del Coco National Park, Pacific Costa Rica","Sibaja-Cordero, Jeffrey A., Troncoso, Jesús S., Benavides-Varela, Catalina, Cortés, Jorge","Revista de Biología Tropical; 60(); 53-66","Revista de Biología Tropical","Inglês","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800005&lang=pt" 
