"S0327-93832013000100001-arg","Los Primeros 20 años de Mastozoología Neotropical","Merino, Mariano","Mastozoología neotropical; 20(1); 5-6","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100001&lang=pt" 
"S0327-93832013000100002-arg","Descripción morfológica del esqueñeto axial de filotinos (Rodentia: Sigmodontinae): Aspectos morfofuncionales y filogenéticos","Carrizo, Luz. V, Díaz, M. Mónica","Mastozoología neotropical; 20(1); 7-29","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100002&lang=pt" 
"S0327-93832013000100003-arg","Parámetros poblacionales y estado sanitario de Carpinchos (Hydrochoerus hydrochaeris) en lagunas artificiales de los Esteros del Iberá","Corriale, María J, Orozco, María M, Jiménez Perez, Ignacio","Mastozoología neotropical; 20(1); 31-45","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100003&lang=pt" 
"S0327-93832013000100004-arg","Dimorfismo sexual en la pelvis de Lama guanicoe (Artiodactyla, Camelidae): un caso de aplicación en el sitio Paso Otero 1, Buenos Aires, Argentina","Kaufmann, Cristian A, Álvarez, María C, L&#039;Heureux, Lorena G, Gutiérrez, María A","Mastozoología neotropical; 20(1); 47-59","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100004&lang=pt" 
"S0327-93832013000100005-arg","Applications and implications of phylogeography for canid conservation","Martinez, Pablo A, Zurano, Juan P, Molina, Wagner F, Bidau, Claudio J","Mastozoología neotropical; 20(1); 61-74","Mastozoología neotropical","Inglês","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100005&lang=pt" 
"S0327-93832013000100006-arg","Diferenciación geográfica en caracteres de la morfología craneana en el roedor subterráneo Ctenomys australis (Rodentia: Ctenomyidae)","Mora, Matías S, Kittlein, Marcelo J, Vassallo, Aldo I, Mapelli, Fernando J","Mastozoología neotropical; 20(1); 75-96","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100006&lang=pt" 
"S0327-93832013000100007-arg","Ecology of small terrestrial mammals in an isolated Cerrado patch, eastern Paraguay: communities, species, and effects of enso, precipitation, and fire","Owen, Robert D","Mastozoología neotropical; 20(1); 97-112","Mastozoología neotropical","Inglês","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100007&lang=pt" 
"S0327-93832013000100008-arg","Trends in research on terrestrial species of the order carnivora","Pérez-Irineo, Gabriela, Santos-Moreno, Antonio","Mastozoología neotropical; 20(1); 113-121","Mastozoología neotropical","Inglês","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100008&lang=pt" 
"S0327-93832013000100009-arg","Una nueva especie de musaraña del género Cryptotis (Soricomorpha: Soricidae) de la Serranía del Litoral en el norte de Venezuela","Quiroga-Carmona, Marcial","Mastozoología neotropical; 20(1); 123-137","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100009&lang=pt" 
"S0327-93832013000100010-arg","Nuevos registros de Eumops dabbenei (Chiroptera: Molossidae) en Argentina: ampliación de la distribución y comentarios sobre su ecología","Bracamonte, J. César, Lutz, M. Ayelén","Mastozoología neotropical; 20(1); 139-142","Mastozoología neotropical","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832013000100010&lang=pt" 
