"S0036-46652014000600477-scl","SUSCEPTIBILITY OF Candida spp. ISOLATED FROM BLOOD CULTURES AS EVALUATED USING THE M27-A3 AND NEW M27-S4 APPROVED BREAKPOINTS","Santos, Edileusa Rosa dos, Forno, Camila F. Dal, Hernandez, Mari Glei, Kubiça, Thaís Felli, Venturini, Tarcieli P., Chassot, Francieli, Santurio, Janio M., Alves, Sydney Hartz","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 477-482","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600477&lang=pt" 
"S0036-46652014000600529-scl","BLOOD VESSELS IN GANGLIA IN HUMAN ESOPHAGUS MIGHT EXPLAIN THE HIGHER FREQUENCY OF MEGAESOPHAGUS COMPARED WITH MEGACOLON","Adad, Sheila Jorge, Etchebehere, Renata Margarida, Jammal, Alessandro Adad","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 529-532","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600529&lang=pt" 
"S1806-66902014000400013-scl","Avaliação da morfologia interna de sementes de Terminalia argentea (Combretaceae) pelo teste de raios X","Gomes, Kever Bruno Paradelo, Martins, Rosana de Carvalho Cristo, Martins, Ildeu Soares, Gomes Junior, Francisco Guilhien","Revista Ciência Agronômica; 45(4); 752-759","Revista Ciência Agronômica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902014000400013&lang=pt" 
"S1806-66902014000400004-scl","Sampling grids used to characterise the spatial variability of pH, Ca, Mg and V% in Oxisols","Cherubin, Maurício Roberto, Santi, Antônio Luis, Eitelwein, Mateus Tonini, Da Ros, Clovis Orlando, Bisognin, Mateus Bortoluzi","Revista Ciência Agronômica; 45(4); 659-672","Revista Ciência Agronômica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902014000400004&lang=pt" 
"S1806-66902014000400015-scl","Selection of common bean lines for calcium use efficiency","Domingues, Lucas da Silva, Ribeiro, Nerinéia Dalfollo, Andriolo, Jerônimo Luiz, Possobom, Micheli Thaise Della Flora, Zemolin, Allan Emanoel Mezzomo","Revista Ciência Agronômica; 45(4); 767-776","Revista Ciência Agronômica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902014000400015&lang=pt" 
"S1806-66902014000400014-scl","Essential plant oils in reducing the intensity of soft rot in Chinese cabbage","Guerra, Myrzânia de Lira, Guerra, Yrlânia de Lira, Souza, Elineide Barbosa de, Mariano, Rosa de Lima Ramos","Revista Ciência Agronômica; 45(4); 760-766","Revista Ciência Agronômica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902014000400014&lang=pt" 
"S1806-66902014000400019-scl","Physiological changes in eucalyptus hybrids under different irrigation regimes","Valadares, Jane, Paula, Nádia Figueiredo de, Paula, Rinaldo Cesar de","Revista Ciência Agronômica; 45(4); 805-814","Revista Ciência Agronômica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902014000400019&lang=pt" 
"S1806-66902014000400016-scl","Estresse hídrico e massa de sementes na germinação e crescimento de plântulas de Amburana cearensis (Allemão) A.C. Smith","Almeida, João Paulo Nobre de, Pinheiro, Charles Lobo, Lessa, Bruno França da Trindade, Gomes, Fernanda Melo, Medeiros Filho, Sebastião","Revista Ciência Agronômica; 45(4); 777-787","Revista Ciência Agronômica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902014000400016&lang=pt" 
"S1806-66902014000400017-scl","Comprimento de estacas e concentrações de ácido indolbutírico (AIB) na propagação vegetativa de pitaia","Pontes Filho, Frederico Silva Thé, Almeida, Edmilson Igor Bernardo, Barroso, Mayara Mader Alcântara, Cajazeira, João Paulo, Corrêa, Márcio Cleber de Medeiros","Revista Ciência Agronômica; 45(4); 788-793","Revista Ciência Agronômica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902014000400017&lang=pt" 
"S1806-66902014000400018-scl","β-galactosidases from cowpea stems: properties and gene expression under conditions of salt stress","Sudério, Fabrício Bonfim, Gomes Filho, Enéas, Costa, José Hélio, Enéas Filho, Joaquim","Revista Ciência Agronômica; 45(4); 794-804","Revista Ciência Agronômica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902014000400018&lang=pt" 
