"S0100-40422014000300004-scl","Otimização e validação da extração sólido-líquido e purificação em baixa temperatura de HPAs em lodo de esgoto","Barbosa, Érica Soares, Evangelista, Gabriela Fonseca, Pimenta, Emanuella Mesquita, Silvério, Flaviano Oliveira, Pinho, Gevany Paulino de","Química Nova; 37(3); 404-410","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300004&lang=pt" 
"S0100-40422014000300006-scl","Interacciones de la glicina en soluciones acuosas de tetrafluoroborato de 1-butil, 3-metilimidazolio a diferentes temperaturas","Arias, Francisco Páez, Meza, Manuel Páez, Lamadrid, Alfonso Portacio","Química Nova; 37(3); 418-425","Química Nova","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300006&lang=pt" 
"S0100-40422014000300009-scl","Actividad insecticida sobre Spodoptera frugiperda (Lepidóptera: Noctuidae) de los compuestos aislados de la parte aérea de Piper septuplinervium (Miq.) c. dc. y las inflorescencias de Piper subtomentosum Trel. &amp; Yunck. (Piperaceae)","Murillo, Mónica Constanza Ávila, Suarez, Luis Enrique Cuca, Salamanca, Jairo Alonso Cerón","Química Nova; 37(3); 442-446","Química Nova","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300009&lang=pt" 
"S0100-40422014000300030-scl","Alfred Werner e Heinrich Rheinboldt: genealogia e legado científico","Toma, Henrique E.","Química Nova; 37(3); 574-581","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300030&lang=pt" 
"S0100-40422014000300022-scl","Nanotecnologia em medicina: aspectos fundamentais e principais preocupações","Cancino, Juliana, Marangoni, Valéria S., Zucolotto, Valtencir","Química Nova; 37(3); 521-526","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300022&lang=pt" 
"S0100-40422014000300021-scl","Química de productos naturales aplicada a la acuicultura: una revisión interdisciplinar","Mioso, Roberto, Marante, Francisco J. Toledo, Laguna, Irma H. Bravo de, Bessonart, Martín","Química Nova; 37(3); 513-520","Química Nova","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300021&lang=pt" 
"S1517-106X2014000100006-scl","Memories from the communist world","Manolescu, Nicolae","Alea : Estudos Neolatinos; 16(1); 80-106","Alea : Estudos Neolatinos","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2014000100006&lang=pt" 
"S1517-106X2014000100003-scl","O placebo estético: desconstruções da autonomia estética na atual crítica romena","Iovănel, Mihai","Alea : Estudos Neolatinos; 16(1); 35-51","Alea : Estudos Neolatinos","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2014000100003&lang=pt" 
"S1517-106X2014000100002-scl","Faces of modernity in romanian literature: a conceptual analysis","Terian, Andrei","Alea : Estudos Neolatinos; 16(1); 15-34","Alea : Estudos Neolatinos","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2014000100002&lang=pt" 
"S1983-32882014000100001-scl","The challenge of pain","Silva, José Aparecido Da","Psychology &amp; Neuroscience; 7(1); 01-02","Psychology &amp; Neuroscience","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882014000100001&lang=pt" 
"S1983-32882014000100002-scl","Contributions of four pain domains to the prediction of patient functioning and pain interference","Mendoza, M. Elena, Gertz, Kevin J., Jensen, Mark P.","Psychology &amp; Neuroscience; 7(1); 03-08","Psychology &amp; Neuroscience","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882014000100002&lang=pt" 
"S1983-32882014000100003-scl","Fibromyalgia and the old dilemma: theory vs. practice","Martinez, José Eduardo","Psychology &amp; Neuroscience; 7(1); 09-14","Psychology &amp; Neuroscience","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882014000100003&lang=pt" 
"S1983-32882014000100004-scl","Geriatric pain management, pharmacological and nonpharmacological considerations","Kaye, Alan David, Baluch, Amir R., Kaye, Rachel J., Niaz, Rashid S., Kaye, Aaron J., Liu, Henry, Fox, Charles J.","Psychology &amp; Neuroscience; 7(1); 15-26","Psychology &amp; Neuroscience","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882014000100004&lang=pt" 
"S1983-32882014000100007-scl","Assessment and management of pediatric pain based on the opinions of health professionals","Linhares, Maria Beatriz Martins, Oliveira, Nátali C.A.C., Doca, Fernanda N.P., Martinez, Francisco E., Carlotti, Ana Paula P., Finley, Gordon Allen","Psychology &amp; Neuroscience; 7(1); 43-53","Psychology &amp; Neuroscience","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882014000100007&lang=pt" 
"S1980-993X2014000200005-scl","Cyanobacteria detection in Guarapiranga Reservoir (São Paulo State, Brazil) using Landsat TM and ETM+ images","Ogashawara, Igor, Alcântara, Enner Herenio de, Stech, José Luiz, Tundisi, José Galizia","Revista Ambiente &amp; Água; 9(2); 224-238","Revista Ambiente &amp; Água","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2014000200005&lang=pt" 
"S0213-12852014000300001-esp","A nuestros lectores","","Avances en Odontoestomatología; 30(3); 113-113","Avances en Odontoestomatología","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852014000300001&lang=pt" 
