"S0718-69242012000100003-chl","La Puesta en Valor de las Montañas: La Renovación Económica, Social y Política","Sanz Tolosana, Elvira","Psicoperspectivas; 11(1); 32-52","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100003&lang=pt" 
"S0718-69242012000100004-chl","Cohesión Social y Ordenamiento Ecológico en un Municipio Rural del Sureste Mexicano","Castillo, Teresita, Carrillo, Carlos, Echeverría, Rebelín, Fuentes, José","Psicoperspectivas; 11(1); 53-81","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100004&lang=pt" 
"S0718-69242012000100005-chl","Aspectos Psicológicos de los Problemas de Organización de Base y su Relación con Dilemas Sociales en una Comunidad Rural de la Costa Norte del Perú","La Barrera, Pedro, Espinosa, Agustín, Cueto, Rosa María, Romero, Juan","Psicoperspectivas; 11(1); 82-107","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100005&lang=pt" 
"S0718-69242012000100006-chl","Los Jóvenes de Familias Tareferas de los Barrios Periurbanos: ¿La Generación del Cambio?","Luz Roa, María","Psicoperspectivas; 11(1); 108-133","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100006&lang=pt" 
"S0718-69242012000100007-chl","Recampesinización en la Argentina del siglo XXI","Domínguez, Diego","Psicoperspectivas; 11(1); 134-157","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100007&lang=pt" 
"S0718-69242012000100008-chl","Reflexiones en Torno a la Masculinidad Hegemonica en Niños de una Escuela Rural en Chile","Ramírez Pavelic, Mónica, Contreras Salinas, Sylvia","Psicoperspectivas; 11(1); 158-179","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100008&lang=pt" 
"S0718-69242012000100009-chl","Familias Rurales y sus Procesos de Transformación: Estudio de Casos en un Escenario de Ruralidad en Tensión","Castro Ríos, Ana","Psicoperspectivas; 11(1); 180-203","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100009&lang=pt" 
"S0718-69242012000100010-chl","Movimientos Sociales Rurales y Problemática Medioambiental: La Disputa por la Territorialidad","Bowen, Sofía, Fábrega, Felipe, Medel, Rodrigo","Psicoperspectivas; 11(1); 204-225","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100010&lang=pt" 
"S0718-69242012000100011-chl","La Regulación Cognitiva de la Acción en una Tarea de Construcción Colaborativa con Bloques, en Díadas de Niños de Entre Ocho y Doce Años","Castellaro, Mariano A, Roselli, Néstor","Psicoperspectivas; 11(1); 226-251","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100011&lang=pt" 
"S0718-69242012000100012-chl","Hacia la Construcción de un Modelo Comprensivo de Análisis de la &quot;Situación de Inmigración&quot; de Mujeres Sudamericanas en Chile","Méndez Caro, Leyla, Cárdenas Castro, Manuel","Psicoperspectivas; 11(1); 252-272","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100012&lang=pt" 
