"S0103-97331999000100007-scl","Field-theoretical methods and nonextensive systems","Mendes, Renio S.","Brazilian Journal of Physics; 29(1); 66-78","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100007&lang=pt" 
"S0103-97331999000100017-scl","Tackling the protein folding problem by a generalized-ensemble approach with Tsallis statistics","Hansmann, Ulrich H.E., Okamoto, Yuko","Brazilian Journal of Physics; 29(1); 187-198","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100017&lang=pt" 
"S0103-97331999000100012-scl","Stochastic resonance: the role of potential asymmetry and non Gaussian noises","Wio, Horacio S., Bouzat, Sebastián","Brazilian Journal of Physics; 29(1); 136-143","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100012&lang=pt" 
"S0103-97331999000100009-scl","Navier-Stokes equations for generalized thermostatistics","Boghosian, Bruce M.","Brazilian Journal of Physics; 29(1); 91-107","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100009&lang=pt" 
"S0103-97331999000100014-scl","Thermal distributions in stellar plasmas, nuclear reactions and solar neutrinos","Coraddu, M., Kaniadakis, G., Lavagno, A., Lissia, M., Mezzorani, G., Quarati, P.","Brazilian Journal of Physics; 29(1); 153-168","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100014&lang=pt" 
"S0103-97331999000100003-scl","General aspects of the thermodynamical formalism","Curado, Evaldo M. F.","Brazilian Journal of Physics; 29(1); 36-45","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100003&lang=pt" 
"S0103-97331999000100015-scl","Nonextensive effects in tight-binding systems with long-range hopping","Borland, Lisa, Menchero, J. G.","Brazilian Journal of Physics; 29(1); 169-178","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100015&lang=pt" 
"S0103-97331999000100013-scl","Low-dimensional non-linear dynamical systems and generalized entropy","Silva, Crisógono R. da, Cruz, Heber R. da, Lyra, Marcelo L.","Brazilian Journal of Physics; 29(1); 144-152","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100013&lang=pt" 
"S0103-97331999000100018-scl","Stochastic classical molecular dynamics coupled to functional density theory: applications to large molecular systems","Mundim, K. C., Ellis, D. E.","Brazilian Journal of Physics; 29(1); 199-214","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100018&lang=pt" 
"S0103-97331999000100011-scl","Non-Markovian processes with long-range correlations: fractal dimension analysis","Cáceres, Manuel O.","Brazilian Journal of Physics; 29(1); 125-135","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100011&lang=pt" 
"S0103-97331999000100005-scl","Tsallis entropy and Jaynes&#039; Information Theory formalism","Plastino, A., Plastino, A. R.","Brazilian Journal of Physics; 29(1); 50-60","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100005&lang=pt" 
"S0103-97331999000100008-scl","Tsallis entropy and the Vlasov-Poisson equations","Plastino, A. R., Plastino, A.","Brazilian Journal of Physics; 29(1); 79-90","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100008&lang=pt" 
"S0103-97331999000100002-scl","Nonextensive statistics: theoretical,  experimental and computational evidences and connections","Tsallis, Constantino","Brazilian Journal of Physics; 29(1); 1-35","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100002&lang=pt" 
"S0100-204X1999000300015-scl","Níveis de cromo-ácido nicotínico em dietas de suínos em crescimento e terminação","Lima, Gustavo Julio Mello Monteiro de, Guidoni, Antônio Lourenço","Pesquisa Agropecuária Brasileira; 34(3); 433-439","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300015&lang=pt" 
"S0100-204X1999000300013-scl","Progresso genético obtido pelo melhoramento do arroz de sequeiro em 21 anos de pesquisa em Minas Gerais","Soares, Antônio Alves, Santos, Patrícia Guimarães, Morais, Orlando Peixoto de, Soares, Plínio César, Reis, Moizés de Sousa, Souza, Moacil Alves de","Pesquisa Agropecuária Brasileira; 34(3); 415-424","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300013&lang=pt" 
"S0100-204X1999000300002-scl","Efecto del flufenoxuron sobre la actividad copuladora del macho de spodoptera littoralis (Boisd.) (Lepidoptera: Noctuidae)","Lyra, Jairo Roberto Mendonça, Ferraz, José Maria Guzman, Silva, Ana Paula Pereira da","Pesquisa Agropecuária Brasileira; 34(3); 331-334","Pesquisa Agropecuária Brasileira","Espanhol","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300002&lang=pt" 
"S0100-204X1999000300009-scl","Seleção de clones de batata-doce resistentes a insetos de solo","Peixoto, José Ricardo, Santos, Luciana Cristina, Rodrigues, Fabricio de Ávila, Juliatti, Fernando Cesar, Lyra, Jairo Roberto Mendonça","Pesquisa Agropecuária Brasileira; 34(3); 385-389","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300009&lang=pt" 
"S0100-204X1999000300004-scl","Fatores que afetam a germinação do grão de pólen do maracujá: meios de cultura e tipos de agrotóxicos","Silva, Mairon Moura da, Bruckner, Claudio Horst, Picanço, Marcelo, Cruz, Cosme Damião","Pesquisa Agropecuária Brasileira; 34(3); 347-352","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300004&lang=pt" 
"S0100-204X1999000300006-scl","Controle químico da ferrugem (Hemileia vastatrix Berk &amp; Br.) do cafeeiro através de diferentes esquemas de aplicação","Chalfoun, Sára Maria, Carvalho, Vicente Luiz de","Pesquisa Agropecuária Brasileira; 34(3); 363-367","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300006&lang=pt" 
"S0100-204X1999000300007-scl","Aplicação seqüencial de cloreto de mepiquat em algodoeiro","Athayde, Manoel Luiz Ferreira, Lamas, Fernando Mendes","Pesquisa Agropecuária Brasileira; 34(3); 369-375","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300007&lang=pt" 
"S0100-204X1999000300008-scl","Predacion de semillas de Amaranthus quitensis H.B.K. en un cultivo de soja: influencia del sistema de siembra","Nisensohn, Luisa, Faccini, Delma, Montero, Guillermo, Lietti, Marcela","Pesquisa Agropecuária Brasileira; 34(3); 377-384","Pesquisa Agropecuária Brasileira","Espanhol","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300008&lang=pt" 
"S0100-204X1999000300012-scl","Identificação de duplicidades de acessos de feijão por meio de técnicas multivariadas","Fonseca, Jaime Roberto, Silva, Heloisa Torres da","Pesquisa Agropecuária Brasileira; 34(3); 409-414","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300012&lang=pt" 
"S0100-204X1999000300014-scl","Interação entre cultivares, estirpes comerciais de Rhizobium meliloti e fungicidas no incremento da produção de alfafa","Oliveira, Patrícia Perondi Anchão, Tsai, Siu Mui, Corsi, Moacyr, Díaz, María Del Pilar","Pesquisa Agropecuária Brasileira; 34(3); 425-431","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300014&lang=pt" 
"S0100-204X1999000300019-scl","Características sensoriais de leites de soja reconstituídos","Wang, Sin-Huei, Cabral, Lair Chaves, Araujo, Flavia Batista, Maia, Luciana Helena","Pesquisa Agropecuária Brasileira; 34(3); 467-472","Pesquisa Agropecuária Brasileira","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X1999000300019&lang=pt" 
