"S0102-33062010000400019-scl","Meios de cultura, reguladores de crescimento e fontes de nitrogênio na regulação da calogênese do pau-brasil (Caesalpinia echinata Lam.)","Werner, Elias Terra, Milanez, Camilla Rozindo Dias, Mengarda, Liana Holda Golin, Vendrame, Wagner Aparecido, Cuzzuol, Geraldo Rogério Faustini","Acta Botanica Brasilica; 24(4); 1046-1051","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400019&lang=pt" 
"S0102-33062010000400028-scl","Disposition of two names in Almeidea (Rutaceae)","Groppo, Milton, Bruniera, Carla P","Acta Botanica Brasilica; 24(4); 1107-1111","Acta Botanica Brasilica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400028&lang=pt" 
"S0102-33062010000400020-scl","Diversity of arbuscular mycorrhizal fungi in a gypsum mining impacted semiarid area","Mergulhão, Adália Cavalcanti do Espírito Santo, Burity, Hélio Almeida, Goto, Bruno Tomio, Maia, Leonor Costa","Acta Botanica Brasilica; 24(4); 1052-1061","Acta Botanica Brasilica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400020&lang=pt" 
"S0102-33062010000400023-scl","Morfologia de sementes e desenvolvimento pós-seminal de Physalis angulata L","Souza, Cíntia Luiza Mascarenhas de, Souza, Manuela Oliveira de, Oliveira, Milene Fonseca de, Oliveira, Lenaldo Muniz de, Pelacani, Claudinéia Regina","Acta Botanica Brasilica; 24(4); 1082-1085","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400023&lang=pt" 
"S0102-33062010000400027-scl","New record of Trichodesmium thiebautii Gomont ex Gomont (Oscillatoriales - Cyanophyta) for the continental shelf of northeastern Brazil","Monteiro, José Juarez Ferreira, Leça, Enide Eskinazi, Koening, Maria Luise, Macedo, Silvio José de","Acta Botanica Brasilica; 24(4); 1104-1106","Acta Botanica Brasilica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400027&lang=pt" 
"S0102-33062010000400025-scl","Novas ocorrências de Rapateaceae para o Brasil","Rodrigues, Rodrigo Schütz, Flores, Andréia Silva","Acta Botanica Brasilica; 24(4); 1096-1099","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400025&lang=pt" 
"S0102-33062010000400026-scl","Seed germination ecophysiology of the wild pineapple, Ananas ananassoides (Baker) L.B.Sm. (Bromeliaceae)","Silveira, Fernando Augusto Oliveira, Santos, Jean Carlos, Fernandes, Geraldo Wilson","Acta Botanica Brasilica; 24(4); 1100-1103","Acta Botanica Brasilica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400026&lang=pt" 
"S1139-76322010000600005-esp","Litiasis biliar en el lactante: A propósito de un caso","Fernández Martínez, M.N., Ramallo Hermo, J., González Conde, MV., Cameán Hermo, MS.","Pediatría Atención Primaria; 12(48); 615-619","Pediatría Atención Primaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322010000600005&lang=pt" 
"S1139-76322010000600006-esp","Hematocolpos por himen imperforado: causa infrecuente de dolor abdominal y retención aguda de orina","González Álvarez, C.M., García Reymundo, M., Real Terrón, R., Hawed Ahmed, F.","Pediatría Atención Primaria; 12(48); 621-626","Pediatría Atención Primaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322010000600006&lang=pt" 
"S1139-76322010000600012-esp","El timerosal en la práctica pediátrica","Fernández Cuesta, L.M.","Pediatría Atención Primaria; 12(48); 673-683","Pediatría Atención Primaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322010000600012&lang=pt" 
