"S1852-77442008000100009-arg","Paleoambientes lacustres en la sección inferior de la Formación Río Negro, (Mioceno - Plioceno), Río Negro, Argentina","Schillizzi, Roberto, Luna, Liliana","Geoacta; 33(); 91-96","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100009&lang=pt" 
"S1852-77442008000100010-arg","La precipitación de verano en el centro-oeste de Argentina y los fenómenos interanual El Niño/Oscilación Sur (ENOS) e interdecádico &quot;tipo&quot; ENOS","Compagnucci, Rosa Hilda, Agosta, Eduardo Andres","Geoacta; 33(); 97-103","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100010&lang=pt" 
"S1852-77442008000100011-arg","Variaciones de gravedad en el Valle de Tulum, San Juan: aportes a la caracterización sismotectónica de la región","Ruiz, Francisco, Introcaso, Antonio, Gallego G., Álvaro, Laplagne, Alfredo","Geoacta; 33(); 104-109","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100011&lang=pt" 
"S1852-77442008000100012-arg","Examining the plankton acoustic response with a vessel mounted ADCP across oceanic fronts located in the Drake Passage","Blanc, Silvia, Baqués, Michele, Etcheverry de Milou, Marta I.","Geoacta; 33(); 110-121","Geoacta","Inglês","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100012&lang=pt" 
"S1852-77442008000100013-arg","Estación Permanente GPS &quot;ACON&quot;. Instalación y funcionamiento. Monte Aconcagua. Mendoza, Argentina","Lenzano, Luis, Mackern, M.V., Lenzano, María G, Robín, Ana M., Cabrera, Gabriel, Barón, Jorge","Geoacta; 33(); 122-127","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100013&lang=pt" 
"S1851-82652008000300007-arg","Estudio epidemiológico comparativo de la mortalidad por armas de fuego en Brasil y Argentina, 1990-2005","Zunino, Marina Gabriela, de Souza, Edinilsa Ramos, Lauritzen, Bruno","Salud colectiva; 4(3); 349-361","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300007&lang=pt" 
"S1851-82652008000300008-arg","El mal de Chagas en los ojos de la Nación: ciencia y salud en Brasil a comienzos del siglo XX","Kropf, Simone Petraglia","Salud colectiva; 4(3); 363-372","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300008&lang=pt" 
"S1851-82652008000300009-arg","Homenaje a Mario Hamilton: Buenos Aires 1932 - Río de Janeiro 2008","Testa, Mario","Salud colectiva; 4(3); 373-374","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300009&lang=pt" 
"S1851-82652008000300001-arg","La producción de conocimiento en América Latina","Quintanilla-Montoya, Ana Luz","Salud colectiva; 4(3); 253-260","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300001&lang=pt" 
"S1851-37432008000200001-arg","Envenenamiento por múltiples picaduras de abejas y choque anafiláctico secundario: descripción de un caso clínico y revisión de la literatura","Contreras Zuniga, Eduardo, Zuluaga, Sandra Ximena, Casas Quiroga, Isabel Cristina","Acta toxicológica argentina; 16(2); 27-32","Acta toxicológica argentina","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432008000200001&lang=pt" 
"S1851-37432008000200002-arg","Evaluación de la toxicidad aguda oral e irritación sobre mucosa bucal de la solución CM-95 tratada magnéticamente","Díaz Bestard, Jorge, Martínez Manrique, Clara Esther, Alfonso Castillo, Alfredo, Pardo Terga, Ana Maria, Esmérido Betancourt, Juan, Salas Martínez, Hilario, Puente Zapata, Edgar, Sedeño Soularit, Narvis","Acta toxicológica argentina; 16(2); 34-40","Acta toxicológica argentina","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432008000200002&lang=pt" 
"S1851-37432008000200003-arg","Evaluación de la exposición ambiental a plaguicidas orgánicos persistentes en dos barrios de la provincia de Córdoba","Lucero, Patricia, Nassetta, Mirtha, De Romedi, Adriana","Acta toxicológica argentina; 16(2); 41-46","Acta toxicológica argentina","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432008000200003&lang=pt" 
"S1668-298X2008000200001-arg","Aplicación de electroforesis capilar para la caracterización de gliadinas de trigos argentinos","Colombo, A., Ribotta, P.D., León, A.E.","Agriscientia; 25(2); 57-64","Agriscientia","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-298X2008000200001&lang=pt" 
"S1668-298X2008000200002-arg","Análisis de la variabilidad de caracteres de raíz en poblaciones de alfalfa (Medicago sativa L.) con alto número de raíces laterales","Odorizzi, A., Basigalup, D., Arolfo, V., Balzarini, M.","Agriscientia; 25(2); 65-74","Agriscientia","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-298X2008000200002&lang=pt" 
"S1668-298X2008000200003-arg","La biofumigación y el metam sodio como alternativas al uso de bromuro de metilo: Efecto sobre el control de malezas y las características químicas del suelo","Pereyra, S.M., de L. Avila, A., Orecchia, E.","Agriscientia; 25(2); 75-80","Agriscientia","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-298X2008000200003&lang=pt" 
"S1668-298X2008000200004-arg","Efectos de diferentes prácticas de manejo en la nodulación y en el rendimiento del cultivo de soja","Pietrarelli, L., Zamar, J.L., Leguía, H.L., Alessandria, E.E., Sánchez, J., Arborno, M., Luque, S.M.","Agriscientia; 25(2); 81-88","Agriscientia","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-298X2008000200004&lang=pt" 
"S1668-298X2008000200005-arg","Influencia del estrés térmico en la calidad panadera del trigo: progenies con diferentes niveles de sensibilidad","Gaido, Z. A., Dubois, M. E.","Agriscientia; 25(2); 89-96","Agriscientia","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-298X2008000200005&lang=pt" 
"S1668-80902008000100001-arg","La etnohistoria y los estudios regionales","Areces, Nidia R.","Andes; (19); 15-28","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100001&lang=pt" 
"S1668-80902008000100002-arg","¿La casa dividida?: Dinámica de los procesos de construcción de identidades nacionales en Estados Unidos","Núñez Regueiro, M. Clara","Andes; (19); 29-63","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100002&lang=pt" 
"S1668-80902008000100003-arg","Estado, economía y política en Santiago del Estero 1943-1949: Exploración de algunas condiciones estructurales de la cultura política","Martínez, Ana Teresa","Andes; (19); 67-92","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100003&lang=pt" 
"S1668-80902008000100004-arg","Católicos en la prensa profana: Nueva época frente al reformismo liberal, Santa Fe, 1920-1923","Mauro, Diego A.","Andes; (19); 93-117","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100004&lang=pt" 
"S1668-80902008000100005-arg","Doña Silvia: Análisis de redes políticas en el peronismo de la provincia de Misiones durante una campaña electoral municipal","Soprano, Germán","Andes; (19); 119-155","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100005&lang=pt" 
"S1668-80902008000100006-arg","Gabriel Güemes Montero: funcionario ilustrado y vecino respetable","Aramendi, Bárbara M.","Andes; (19); 159-182","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100006&lang=pt" 
"S1668-80902008000100007-arg","Cañete del Perú, ¿para la defensa del reino?: Un caso de burocracia y negociación política, siglo XVI","Rivera, Susana Aldana","Andes; (19); 183-210","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100007&lang=pt" 
"S1668-80902008000100008-arg","Los pueblos de indios del Tucumán colonial revisitados: De la desestructuración a la identidad","Paz, Gustavo L.","Andes; (19); 213-224","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100008&lang=pt" 
"S1668-80902008000100009-arg","Santiago del Estero y sus pueblos de indios: De las ordenanzas de Alfaro (1612) a las guerras de independencia","Farberman, Judith","Andes; (19); 225-250","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100009&lang=pt" 
"S1668-80902008000100010-arg","Caciques y mandones de Malligasta: Autoridad y memoria en un pueblo de indios de la Rioja colonial","Boixadós, Roxana","Andes; (19); 251-278","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100010&lang=pt" 
"S1668-80902008000100011-arg","Los Ingamana en Andalgalá a principios del siglo XVIII: Notas sobre la memoria y la identidad","Rodríguez, Lorena B.","Andes; (19); 279-298","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100011&lang=pt" 
"S1668-80902008000100012-arg","Articulación política y etnogénesis en los Valles Calchaquíes: Los Pulares durante los siglos XVII y XVIII","Quintián, Juan Ignacio","Andes; (19); 299-325","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100012&lang=pt" 
"S1668-80902008000100013-arg","El papel y la memoria: Medios de construcción de los procesos de identificación local en los pueblos de indios de Jujuy. Siglo XVII","Sica, Gabriela","Andes; (19); 327-344","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100013&lang=pt" 
"S1668-80902008000100014-arg","Entre la coerción, la oportunidad y la salvación: Las cofradías de indios de San Antonio de Humahuaca. Siglos XVII y XVIII","Zanolli, Carlos Eduardo","Andes; (19); 345-369","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100014&lang=pt" 
"S1668-80902008000100015-arg","Diagnostico de afecciones respiratorias en Campo Quijano Salta - Argentina","de Viana, Marta Leonor, Cardozo, Claudia Paola","Andes; (19); 373-383","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100015&lang=pt" 
"S1668-80902008000100016-arg","Barral, María Elena, De sotanas por la Pampa. Religión y sociedad en el Buenos Aires rural tardocolonial. Prometeo, Buenos Aires, 2007, 234 pp.","Barriera, Darío G.","Andes; (19); 387-389","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100016&lang=pt" 
"S1668-80902008000100017-arg","Alejandra Cebrelli, El discurso y la práctica de la hechicería en el NOA. Transformaciones entre dos siglos. Contribución al problema de la heterogeneidad sociocultural. Alción, Córdoba, 2008.","Bocco, Andrea","Andes; (19); 391-393","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100017&lang=pt" 
"S1668-80902008000100018-arg","Enrique N. Cruz y Carlos D. Paz (Compiladores), Resistencia y rebelión de la puna argentina al Río de la Plata, Anuario CEIC / 4, Jujuy: Purmamarca Ed., 2008, 288 páginas","Cebrelli, Alejandra","Andes; (19); 395-399","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100018&lang=pt" 
"S1668-80902008000100019-arg","Liliana Suárez Giambra, Huacalera. La finca Monterrey un lugar olvidado en la quebrada de Humahuaca, Editorial Milor talleres Gráficos, Salta, 2007, 205 páginas.","Fernández Distel, Alicia Ana","Andes; (19); 401-404","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100019&lang=pt" 
"S1668-80902008000100020-arg","Herminia Terrón de Bellomo, El saber de los relatos, Ferreyra Editor. Córdoba, 2007. 254 p. Premio Ensayo « Eduardo Mallea » 1999-2001 del Gobierno de la ciudad de Buenos Aires.","Franzone, Mabel","Andes; (19); 405-408","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100020&lang=pt" 
"S1668-80902008000100021-arg","Raúl O. Fradkin (compilador); El poder y la vara. Estudios sobre la justicia y la construcción del estado en el Buenos Aires rural, Editorial Prometeo; Buenos Aires, 2007, 162 páginas.","Galarza, Antonio","Andes; (19); 409-412","Andes","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902008000100021&lang=pt" 
