"S0122-53832009000100003-col","MULTI-SOLID MODEL MODIFIED TO PREDICT PARAFFIN PRECIPITATION IN PETROLEUM FLUIDS AT HIGH TEMPERATURES AND PRESSURES","Escobar-Remolina, Juan-Carlos-M, Barrios-Ortiz, Wilson, Santoyo-Ramírez, Gildardo","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 35-51","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100003&lang=pt" 
"S0122-53832009000100002-col","DEVELOPMENT OF AN ANALYTICAL MODEL FOR STEAMFLOOD IN STRATIFIED RESERVOIRS OF HEAVY OIL","Mercado-Sierra*, Diana-Patricia, Muñoz-Navarro, Samuel-Fernando, Ordóñez-Rodríguez, Aníbal","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 19-34","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100002&lang=pt" 
"S0122-53832009000100009-col","PETROCHEMICAL PROMOTERS IN CATALYTIC CRACKING","Gómez, Maria-Elizabeth, Vargas, Clemencia, Lizcano, Javier","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 143-158","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100009&lang=pt" 
"S0122-53832009000100008-col","PREDICTION OF THE FCC FEEDSTOCKS CRACKABILITY","Martínez-Cruz, Francy-L, Navas-Guzmán, Gustavo, Osorio-Suárez, Juan-Pablo","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 125-142","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100008&lang=pt" 
"S1794-31082009000200005-col","Apuntes para la historia de la antropología física forense en México: Notes for the History of Forensic Physical Anthropology in Mexico","Lagunas Rodríguez, Zaid, Reyes Vázquez, Ana María Isabel","Revista Criminalidad; 51(2); 61-79","Revista Criminalidad","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082009000200005&lang=pt" 
"S1794-31082009000200006-col","La delincuencia organizada: análisis de su repercusión en el ejercicio del poder","Arriaga Ornelas, José Luis","Revista Criminalidad; 51(2); 81-101","Revista Criminalidad","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082009000200006&lang=pt" 
"S1794-31082009000200003-col","Inseguridad urbana y sus efectos: percepción de los jóvenes","Vuanello, Roxana","Revista Criminalidad; 51(2); 33-46","Revista Criminalidad","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082009000200003&lang=pt" 
"S1794-31082009000200002-col","Miedos que se interponen entre la libertad y la seguridad","Vizcaíno G, Milcíades","Revista Criminalidad; 51(2); 15-31","Revista Criminalidad","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082009000200002&lang=pt" 
"S1794-31082009000200007-col","Durkheim: la perspectiva funcionalista del delito en la criminología","Huertas Díaz, Omar","Revista Criminalidad; 51(2); 103-115","Revista Criminalidad","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082009000200007&lang=pt" 
"S1794-31082009000200004-col","Migración, criminalidad y violencia en la frontera norte de México: Migration, Criminality and Violence in the Mexican North Frontier","González Reyes, Pablo Jesús","Revista Criminalidad; 51(2); 47-60","Revista Criminalidad","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082009000200004&lang=pt" 
"S1794-31082009000200001-col","","NARANJO TRUJILLO, OSCAR ADOLFO","Revista Criminalidad; 51(2); 9-10","Revista Criminalidad","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082009000200001&lang=pt" 
"S0034-75152009000300001-cub","XIII Conferencia Internacional de Autoridades Reguladoras Nacionales de Medicamentos","Sánchez González, Celeste, Pérez Cristiá, Rafael","Revista Cubana de Farmacia; 43(3); -","Revista Cubana de Farmacia","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152009000300001&lang=pt" 
