"S0100-39842015000300002-scl","Whole-body magnetic resonance imaging: an effective and underutilized technique","Hochhegger, Bruno","Radiologia Brasileira; 48(3); IX-X","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300002&lang=pt" 
"S0100-39842015000300003-scl","Relevance of imaging in the evaluation of abdominal tuberculosis","Araujo, Antonio Luis Eiras de","Radiologia Brasileira; 48(3); VII-VII","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300003&lang=pt" 
"S0870-82312015000200007-prt","Otimismo, burnout e estados de humor em desportos de competição","Gil, Rosendo Berengüí, Montero, Francisco Ortin, Fayos, Enrique J. Garcés de los, Gullón, José M. López, Pinto, Alessandra","Análise Psicológica; 33(2); 221-233","Análise Psicológica","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312015000200007&lang=pt" 
"S1518-70122015000100013-scl","Riscos socioambientais e cultura política: algumas considerações sobre o caso brasileiro","Borinelli, Benilson, Capelari, Mauro G. M., Gonçalves, Dayanne M.","Interações (Campo Grande); 16(1); 143-153","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100013&lang=pt" 
"S1518-70122015000100010-scl","Strategic planning for dairy cattle: SWOT analysis applied to a property of a farmers&#039; association in Dracena, São Paulo state, Brazil","Sabbag, Omar Jorge, Costa, Sílvia Maria Almeida Lima","Interações (Campo Grande); 16(1); 109-118","Interações (Campo Grande)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100010&lang=pt" 
"S1806-37132015000300209-scl","Bringing the JBP and its readers closer together","Souza, Rogério","Jornal Brasileiro de Pneumologia; 41(3); 209-210","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000300209&lang=pt" 
"S1806-37132015000300286-scl","Reversed halo sign in acute schistosomiasis","Souza Jr., Arthur Soares, Souza, Antonio Soares, Soares-Souza, Luciana, Zanetti, Gláucia, Marchiori, Edson","Jornal Brasileiro de Pneumologia; 41(3); 286-288","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000300286&lang=pt" 
"S1806-37132015000300289-scl","Pulmonary large-cell neuroendocrine carcinoma presenting as multiple cutaneous metastases","Mestre, Tiago, Rodrigues, Ana Maria, Cardoso, Jorge","Jornal Brasileiro de Pneumologia; 41(3); 289-291","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000300289&lang=pt" 
"S0085-56262015000200141-scl","On the nesting biology of eumenine wasps yet again: Minixi brasilianum (de Saussure) is a builder and a renter... at the same time! (Hymenoptera, Vespidae, Eumeninae)","Hermes, Marcel G., Araújo, Gustavo, Antonini, Yasmine","Revista Brasileira de Entomologia; 59(2); 141-142","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000200141&lang=pt" 
"S0100-83582015000200315-scl","Volatility of Different Formulations of Clomazone Herbicide","Schreiber, F., Avila, L.A., Scherner, A., Gehrke, V.R., Agostinetto, D.","Planta Daninha; 33(2); 315-321","Planta Daninha","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582015000200315&lang=pt" 
