"S0188-252X2013000200013-mex","Filosofía y comunicación, diálogos, encuentros y posibilidades","González Reyes, Rodrigo","Comunicación y sociedad; (20); 249-253","Comunicación y sociedad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2013000200013&lang=pt" 
"S1909-24742013000200016-col","ALGUNOS ASPECTOS SOBRE LA INTRODUCCIÓN DE ESPECIES, Y ESTADO DEL CONOCIMIENTO SOBRE LOS PECES INTRODUCIDOS EN EL DEPARTAMENTO DE CALDAS, COLOMBIA","RESTREPO-SANTAMARÍA, DANIEL, ÁLVAREZ-LEÓN, RICARDO","Luna Azul; (37); 268-281","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200016&lang=pt" 
"S1909-24742013000200014-col","ANÁLISIS DE ASPECTOS QUE INCREMENTAN EL RIESGO DE INUNDACIONES EN COLOMBIA","SEDANO-CRUZ, KARIME, CARVAJAL-ESCOBAR, YESID, ÁVILA DÍAZ, ÁLVARO JAVIER","Luna Azul; (37); 219-238","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200014&lang=pt" 
"S1909-24742013000200015-col","DESVIACIONES DEL INSTRUMENTO FORMAL &#039;MANIFESTACIÓN DE IMPACTO AMBIENTAL&#039; EN MÉXICO","LARA GONZÁLEZ, JOSÉ DAVID","Luna Azul; (37); 239-267","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200015&lang=pt" 
"S1909-24742013000200010-col","COMPORTAMIENTO DE MATERIALES DE GUAYABO (Psidium guajava LINNEO) AL PARASITISMO DEL NEMATODO FORMADOR DE AGALLAS [Meloidogyne incognita (KOFOID &amp; WHITE) CHITWOOD Y Meloidogyne javanica (TREUB) CHITWOOD]","DUQUE ARISTIZÁBAL, ALEJANDRA, GUZMÁN PIEDRAHÍTA, ÓSCAR ADRIÁN","Luna Azul; (37); 130-154","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200010&lang=pt" 
"S1909-24742013000200011-col","CONCIENCIA AMBIENTAL DE LOS HABITANTES DE LA COLONIA EMILIO PORTES GIL EN LA H. MATAMOROS, TAMAULIPAS","VARGAS RAMOS, CATALINA, BRIONES RAMÍREZ, CYNTHIA DINORAH, MANCHA SÁNCHEZ, MARÍA DEL PERPETUO SOCORRO, MÚZQUIZ NOVOA, PATRICIA GUADALUPE, GAXIOLA, ANTONIO VARGAS","Luna Azul; (37); 155-161","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200011&lang=pt" 
"S1909-24742013000200012-col","LA COMUNA SAN JOSÉ EN LA MIRA: TRANSFORMACIONES URBANAS Y REDES SOCIALES VISTAS A TRAVÉS DE LA FOTOGRAFÍA","CANTOR AMADOR, FERNANDO, RIVERA FELLNER, MIGUEL ÁNGEL, RAMÍREZ LÓPEZ, JULIÁN ARIEL","Luna Azul; (37); 162-195","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200012&lang=pt" 
"S1909-24742013000200013-col","HÁBITAT Y VULNERABILIDAD, REFLEXIONES DESDE LO CONCEPTUAL","JIMÉNEZ GARCÍA, WILLIAMS GILBERTO","Luna Azul; (37); 196-218","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200013&lang=pt" 
"S1909-24742013000200005-col","ECOPEDAGOGÍA PARA PRESERVAR LAS ÁREAS PROTEGIDAS Y EL PAISAJE CULTURAL CAFETERO","CORREA VALERO, DIANA MAGALLY","Luna Azul; (37); 49-62","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200005&lang=pt" 
"S1909-24742013000200004-col","PÉRDIDA DE LA COBERTURA VEGETAL Y DE OXÍGENO EN LA MEDIA MONTAÑA DEL TRÓPICO ANDINO, CASO CUENCA URBANA SAN LUIS (MANIZALES)","ÁLVAREZ DEL CASTILLO, JAVIER, AGREDO CARDONA, GUSTAVO ADOLFO","Luna Azul; (37); 30-48","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200004&lang=pt" 
"S1909-24742013000200007-col","RECUPERACIÓN DE ÁREAS DAÑADAS POR LA MINERÍA EN LA CANTERA LOS GUAOS, SANTIAGO DE CUBA, CUBA","MONTES DE OCA-RISCO, ALEXIS, ULLOA-CARCASSÉS, MAYDA","Luna Azul; (37); 74-88","Luna Azul","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742013000200007&lang=pt" 
