"S0718-34372016000300004-chl","LAS INFECCIONES NOSOCOMIALES COMO UN NUEVO EVENTO DE RESPONSABILIDAD OBJETIVA EN EL SISTEMA COLOMBIANO: REFLEXIÓN SOBRE SU FUNDAMENTO A PARTIR DE LA EXPERIENCIA FRANCESA","Fernández M, Mónica L","Revista chilena de derecho; 43(3); 849-875","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000300004&lang=pt" 
"S0718-34372016000300013-chl","LA INTERPRETACIÓN DE LA CLÁUSULA EIUS REI NOMINE DE LOS EDICTOS DE EXERCITORIA Y DE INSTITORIA ACTIONE","Lazo, Patricio","Revista chilena de derecho; 43(3); 1081-1099","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000300013&lang=pt" 
"S0102-69922016000300693-scl","Interdependências e interpenetrações civilizatórias: os aromas e sua magia","Nery, Salete","Sociedade e Estado; 31(3); 693-716","Sociedade e Estado","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69922016000300693&lang=pt" 
"S0101-32622016000300319-scl","LIBROS DE TEXTO Y CONTROL DEL CURRICULUM EN EL CONTEXTO DE LA SOCIEDAD DIGITAL","Rodríguez, Jesús Rodríguez, Bonafé, Jaume Martínez","Cadernos CEDES; 36(100); 319-336","Cadernos CEDES","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622016000300319&lang=pt" 
"S0717-71942016000200001-chl","Salud pública, vacuna y prevención: La difusión de la vacuna antivariólica en Chile, 1805-1830","Caffarena Barcenilla, Paula","Historia (Santiago); 49(2); 347-370","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000200001&lang=pt" 
"S0102-30982016000300679-scl","Análise de paradados do Censo Demográfico 2010: uma investigação de fatores associados a erros não amostrais do levantamento de dados","Duarte, Luciano Tavares, Silva, Denise Britz do Nascimento, Brito, José André de Moura","Revista Brasileira de Estudos de População; 33(3); 679-701","Revista Brasileira de Estudos de População","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982016000300679&lang=pt" 
"S0718-34372016000300012-chl","REPARACIÓN INTEGRAL DE NINOS VÍCTIMAS DE LOS DELITOS SEXUALES EN COLOMBIA. RESTRICCIONES Y POSIBILIDADES A LA LUZ DE LA JURISPRUDENCIA","Cepeda, Emerson, Rodríguez, , Ramírez, Claudio, Arévalo, ","Revista chilena de derecho; 43(3); 1057-1080","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000300012&lang=pt" 
"S0102-30982016000300517-scl","Bolsa Família e assimetrias de gênero: reforço ou mitigação?","Passos, Luana, Waltenberg, Fábio","Revista Brasileira de Estudos de População; 33(3); 517-539","Revista Brasileira de Estudos de População","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982016000300517&lang=pt" 
"S0717-71942016000200002-chl","Enrique Onofroff, Leovigildo Maurcica y el acecho de los hipnotizadores: El control de la hipnosis y el cuidado de la medicina en Santiago de Chile, 1887-1913","Correa Gómez, María José","Historia (Santiago); 49(2); 371-394","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000200002&lang=pt" 
"S0080-62342016000600961-scl","The pilot study of radiology nursing intervention in abdominal 3-T Magnetic Resonance examination","Dong, Gui-qing, Wang, Wen-wen, Deng, Kai, Wang, Guang-li","Revista da Escola de Enfermagem da USP; 50(6); 961-964","Revista da Escola de Enfermagem da USP","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000600961&lang=pt" 
"S0080-62342016000600890-scl","Processes for construction and evaluation of qualitative articles: possible paths?","Costa, António Pedro","Revista da Escola de Enfermagem da USP; 50(6); 890-895","Revista da Escola de Enfermagem da USP","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000600890&lang=pt" 
"S0101-32622016000300259-scl","Estandarización educativa y sus alternativas: una perspectiva crítica","Oliva, María Angélica, Cavieres-Fernández, Eduardo","Cadernos CEDES; 36(100); 259-262","Cadernos CEDES","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622016000300259&lang=pt" 
"S0717-71942016000200004-chl","La lectura de los autores romanos y la construcción del discurso republicano: Citas, traducciones y adaptaciones. Chile, 1810-1833","Gazmuri, Susana","Historia (Santiago); 49(2); 429-453","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000200004&lang=pt" 
"S0717-71942016000200009-chl","Un lobo marino en controversia: Materialidad, taxonomía y disputa científica (segunda mitad del siglo XIX)","Sanhueza, Carlos, Valderrama, Lorena","Historia (Santiago); 49(2); 579-594","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000200009&lang=pt" 
"S0717-71942016000200006-chl","&quot;Un verdadero centro de la cultura nacional&quot;: Dlfusión de la lectura e internacionalización del conocimiento en la Biblioteca Nacional de Chile (1900-1925)","Hernández Toledo, Sebastián","Historia (Santiago); 49(2); 487-507","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000200006&lang=pt" 
"S0101-32622016000300375-scl","(DES)ESTANDARIZACIÓN DE LA CULTURA: DIÁLOGOS ENTRE EDUCACIÓN Y POLÍTICAS PÚBLICAS PARA PENSAR LA ESCUELA","Tranier, José, Goity, José","Cadernos CEDES; 36(100); 375-392","Cadernos CEDES","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622016000300375&lang=pt" 
"S0718-34372016000300017-chl","AVANCES EN LA CONSTRUCCIÓN DEL DERECHO ECLESIÁSTICO COMO DISCIPLINA JURÍDICA EN PERÚ","Mosquera, Susana","Revista chilena de derecho; 43(3); 1117-1120","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000300017&lang=pt" 
"S0102-30982016000300703-scl","Relações raciais nas famílias brasileiras","Tomás, Maria Carolina","Revista Brasileira de Estudos de População; 33(3); 703-710","Revista Brasileira de Estudos de População","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982016000300703&lang=pt" 
"S0717-71942016000200010-chl","Trabajo y políticas culturales sobre el tiempo libre: Santiago de Chile, década de 1930","Yáñez Andrade, Juan Carlos","Historia (Santiago); 49(2); 595-629","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000200010&lang=pt" 
"S0101-32622016000300337-scl","CRÍTICA A LA RENDICIÓN DE CUENTAS: NARRATIVA DE RESISTENCIA AL SISTEMA DE EVALUACIÓN EN CHILE","Yancovic, Mauricio Pino, Vargas, Gonzalo Oyarzún, Barrios, Iván Salinas","Cadernos CEDES; 36(100); 337-354","Cadernos CEDES","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622016000300337&lang=pt" 
"S0080-62342016000600937-scl","Factors associated with glycemic control in people with diabetes at the Family Health Strategy in Pernambuco","Lima, Rodrigo Fonseca, Fontbonne, Annick, Carvalho, Eduardo Maia Freese de, Montarroyos, Ulisses Ramos, Barreto, Maria Nelly Sobreira de Carvalho, Cesse, Eduarda Ângela Pessoa","Revista da Escola de Enfermagem da USP; 50(6); 937-945","Revista da Escola de Enfermagem da USP","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000600937&lang=pt" 
"S0080-62342016000600973-scl","Validation of the Comply with Post-Exposure Management Among Health Care Workers Instrument for Brazil","Jansen, Adriane Corrêa, Marziale, Maria Helena Palucci, Santos, Cláudia Benedita dos, Dantas, Rosana Aparecida Spadotti, Santos, Danielle Maria de Souza Serio dos","Revista da Escola de Enfermagem da USP; 50(6); 973-981","Revista da Escola de Enfermagem da USP","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000600973&lang=pt" 
