"S0120-04882015000100017-col","Floral visitors and pollinators in wild population of Andean blueberry (Vaccinium meridionale) in Colombian Andean forest","PINILLA-GALLEGO, MARIO SIMÓN, NATES-PARRA, GUIOMAR","Revista Colombiana de Entomología; 41(1); 112-119","Revista Colombiana de Entomología","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100017&lang=pt" 
"S1690-32932015000100001-ven","Repensar las políticas públicas desde el enfoque integrador transcomplejo de la violencia juvenil delincuencial","Terán López, Iris","Comunidad y Salud; 13(1); 1-2","Comunidad y Salud","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932015000100001&lang=pt" 
"S0121-750X2015000100008-col","A hybrid column generation and clustering approach to the school bus routing problem with time windows","López Santana, Eduyn Ramiro, Romero Carvajal, José de Jesús","Ingeniería; 20(1); 101-117","Ingeniería","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-750X2015000100008&lang=pt" 
"S0121-750X2015000100002-col","Fuzzy entropy relevance analysis in DWT and EMD for BCI motor imagery applications","Medina Salgado, Boris, Duque Muñoz, Leonardo","Ingeniería; 20(1); 9-19","Ingeniería","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-750X2015000100002&lang=pt" 
"S0121-750X2015000100010-col","Evaluación de políticas de protección en el sector papicultor mediante sistemas dinámicos: caso Villapinzón (Cundinamarca)","Farfán Pinzón, Nidya Milena, Peña Ardila, Geimar","Ingeniería; 20(1); 101-119","Ingeniería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-750X2015000100010&lang=pt" 
"S0121-750X2015000100006-col","Aplicación móvil de realidad aumentada para la enseñanza de la clasificación de los seres vivos a niños de tercer grado","Solano Villanueva, César Augusto, Casas Díaz, Johan Fabiel, Guevara Bolaños, Juan Carlos","Ingeniería; 20(1); 101-105","Ingeniería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-750X2015000100006&lang=pt" 
"S0121-750X2015000100009-col","On the fuzzy extension principle for LP problems with Interval Type-2 Technological Coefficients","Figueroa García, Juan Carlos","Ingeniería; 20(1); 101-110","Ingeniería","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-750X2015000100009&lang=pt" 
"S0121-750X2015000100005-col","Segmentación y conteo de las líneas de la nariz del feto en imágenes ecográficas de las 11-13+6 semanas de gestación","Ballesteros Maldonado, Angee Paola, López Alza, Laura Catalina, Herrera García, Rodrido Javier","Ingeniería; 20(1); 21-34","Ingeniería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-750X2015000100005&lang=pt" 
"S0121-750X2015000100003-col","Diseño y evaluación del desempeño de una red de comunicaciones para medición inteligente en Network Simulator-2","Aranda, Juan Manuel","Ingeniería; 20(1); 21-35","Ingeniería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-750X2015000100003&lang=pt" 
"S0121-750X2015000100004-col","Optimización multiobjetivo en la gestión de cadenas de suministro de biocombustibles","Aranda Pinilla, Johan Alexander, Orjuela Castro, Javier Arturo","Ingeniería; 20(1); 21-47","Ingeniería","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-750X2015000100004&lang=pt" 
