"S0188-46112013000200014-mex","","Fagoaga Hernández, Ricardo A.","Investigaciones geográficas; (81); 146-149","Investigaciones geográficas","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112013000200014&lang=pt" 
"S1984-46702013000400011-scl","Paecilaema batman, a new species of Brazilian troglophilous harvestman that exhibits a remarkable color patches variation (Opiliones: Cosmetidae)","Pinto-da-Rocha, Ricardo, Yamaguti, Humberto","Zoologia (Curitiba); 30(4); 441-446","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400011&lang=pt" 
"S1984-46702013000400003-scl","Selection of habitat by the jaguar, Panthera onca (Carnivora: Felidae), in the upper Paraná River, Brazil","Cullen Junior, Laury, Sana, Dênis A., Lima, Fernando, Abreu, Kauê C. de, Uezu, Alexandre","Zoologia (Curitiba); 30(4); 379-387","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400003&lang=pt" 
"S1984-46702013000400013-scl","A new species of Bogidiella (Crustacea: Amphipoda: Bogidiellidae) from bore wells in Andhra Pradesh, Southern India","Senna, André R., Mugnai, Riccardo, Reddy, Yenumula Ranga","Zoologia (Curitiba); 30(4); 451-457","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400013&lang=pt" 
"S1984-46702013000400012-scl","Two new species of Costatrichia (Trichoptera: Hydroptilidae: Leucotrichiinae)","Santos, Allan Paulo Moreira, Takiya, Daniela Maeda, Nessimian, Jorge Luiz","Zoologia (Curitiba); 30(4); 447-450","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400012&lang=pt" 
"S1984-46702013000400010-scl","Masteria manauara sp. nov., the first masteriine species from Brazil (Araneae: Dipluridae: Masteriinae)","Bertani, Rogério, Cruz, Wanessa Ribeiro, Oliveira, Maria Ermelinda do Espírito Santo","Zoologia (Curitiba); 30(4); 437-440","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400010&lang=pt" 
"S1984-46702013000400015-scl","Equipment based on high power UV and white light LEDs to collect and observe scorpions (Arachnida: Scorpiones) and other fluorescent organisms","Ramires, Eduardo N., Peracetta, Luiz F., Nogas, Cláudio, Navarro-Silva, Mário A., Paladini, Edson P.","Zoologia (Curitiba); 30(4); 463-466","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400015&lang=pt" 
"S1984-46702013000400016-scl","Indirect evidence of predation and intraspecific agression in three sympatric lizard species from a semi-arid area in northeastern Brazil","Passos, Daniel C., Galdino, Conrado A. B., Bezerra, Castiele H., Zanchi, Djan","Zoologia (Curitiba); 30(4); 467-469","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400016&lang=pt" 
"S1984-46702013000400001-scl","Vocal repertory of Scinax littoreus (Anura: Hylidae) with comments on the advertisement call of the Scinax perpusillus species group","Pontes, Rafael, Mattedi, Camila, Baêta, Délio","Zoologia (Curitiba); 30(4); 363-370","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400001&lang=pt" 
"S1984-46702013000400005-scl","Effects of moonlight on the capturability of frugivorous phyllostomid bats (Chiroptera: Phyllostomidae) at different time scales","Mello, Marco A. R., Kalko, Elisabeth K. V., Silva, Wesley R.","Zoologia (Curitiba); 30(4); 397-402","Zoologia (Curitiba)","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702013000400005&lang=pt" 
