"S1415-65552014000500710-scl","Réplica 1 ? Clássicos &amp; formação em administração: O que, quando, para que","Brunstein, Janette, Jaime, Pedro","Revista de Administração Contemporânea; 18(5); 710-718","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500710&lang=pt" 
"S1415-65552014000500736-scl","Tréplica ? A transcendência dos clássicos","Meneghetti, Francis Kanashiro, Guarido Filho, Edson Ronaldo, Azevêdo, Ariston","Revista de Administração Contemporânea; 18(5); 736-744","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500736&lang=pt" 
"S1415-65552014000500726-scl","Réplica 3 ? Clássicos... Quais clássicos? ? Antinomias e tensões no ?fazer ciência? em administração","Peci, Alketa","Revista de Administração Contemporânea; 18(5); 726-735","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500726&lang=pt" 
"S1516-05722014000300019-scl","Brazilian scientific production on herbal medicines used in dentistry","Castro, R.D., Oliveira, J.A., Vasconcelos, L.C., Maciel, P.P., Brasil, V.L.M.","Revista Brasileira de Plantas Medicinais; 16(3); 618-627","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300019&lang=pt" 
"S1516-05722014000300017-scl","Aspectos botânicos, químicos, farmacológicos e terapêuticos do Hypericum perforatum L.","Alves, A.C.S., Moraes, D.C, De Freitas, G.B.L., Almeida, D.J.","Revista Brasileira de Plantas Medicinais; 16(3); 593-606","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300017&lang=pt" 
"S1516-05722014000300013-scl","Preliminary phytochemical and antileishmanial studies of the ethanolic extracts of Pterodon pudescens","Arrais-Silva, W.W., Nunes, P.S.G., Carvalho, J.D., Brune, M.W., Arrais-Lima, C., Batalini, C.","Revista Brasileira de Plantas Medicinais; 16(3); 561-565","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300013&lang=pt" 
"S1516-05722014000300003-scl","Determination of phenolic compounds and antioxidant activity of green, black and white teas of Camellia sinensis (L.) Kuntze, Theaceae","Pereira, V.P, Knor, F.J, Vellosa, J.C.R, Beltrame, F.L","Revista Brasileira de Plantas Medicinais; 16(3); 490-498","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300003&lang=pt" 
"S1415-65552014000500745-scl","Qualidade de vida no trabalho: Uma abordagem centrada no olhar dos trabalhadores. Mário César Ferreira. Brasília: Paralelo 15, 2012. 341 p. ISBN978-85-86315-79-4","Pacheco, Veruska Albuquerque","Revista de Administração Contemporânea; 18(5); 745-747","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500745&lang=pt" 
"S1415-65552014000500551-scl","Redes, inovação e desempenho exportador: uma abordagem institucional","Mais, Ilisangela, Carvalho, Luciano Castro de, Amal, Mohamed","Revista de Administração Contemporânea; 18(5); 551-576","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500551&lang=pt" 
"S1415-65552014000500001-scl","Editorial","","Revista de Administração Contemporânea; 18(5); 1-2","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500001&lang=pt" 
"S2236-34592014000200010-scl","Orphanato Municipal de Belém: acolhimento, educação e instrução a meninas (1893-1911)","Duarte, Antonio Valdir Monteiro","História da Educação; 18(43); 163-182","História da Educação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200010&lang=pt" 
"S2236-34592014000200011-scl","Lições de coisas e ensino das ciências na França no fim do século 19: contribuição a uma história da cultura","Kahn, Pierre","História da Educação; 18(43); 183-201","História da Educação","Francês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200011&lang=pt" 
"S2236-34592014000200006-scl","Escola como agência de civilização: projetos formativos e práticas pedagógicas para a educação rural no Brasil (1946-1964)","Andrade, Flávio Anício","História da Educação; 18(43); 93-108","História da Educação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200006&lang=pt" 
"S2236-34592014000200005-scl","Da roça para a escola: institucionalização e expansão das escolas primárias rurais no Paraná (1930-1960)","Schelbauer, Analete Regina","História da Educação; 18(43); 71-91","História da Educação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200005&lang=pt" 
"S2236-34592014000200003-scl","Programa único o diferenciado: especificidad curricular de la escuela rural uruguaya","Santos, Limber Elbio","História da Educação; 18(43); 33-48","História da Educação","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200003&lang=pt" 
"S2236-34592014000200002-scl","As disputas em torno do ensino primário rural (São Paulo, 1931-1947)","Souza, Rosa Fátima de, Ávila, Virgínia Pereira da Silva de","História da Educação; 18(43); 13-32","História da Educação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200002&lang=pt" 
"S2236-34592014000200009-scl","Modos de fazer história da educação: pensando a operação historiográfica em temas regionais","Luchese, Terciane Ângela","História da Educação; 18(43); 145-161","História da Educação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200009&lang=pt" 
"S2236-34592014000200008-scl","Genealogia feminina: diálogo silencioso entre gerações","Werle, Flávia Obino Corrêa","História da Educação; 18(43); 127-143","História da Educação","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200008&lang=pt" 
"S2236-34592014000200004-scl","O espírito de horror à vida educativa nos campos: a educação rural paulista nas décadas de 1930 e 1940","Celeste Filho, Macioniro","História da Educação; 18(43); 49-70","História da Educação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200004&lang=pt" 
"S2236-34592014000200007-scl","Pensar o homem como corpo: a cunhagem simbólica em Portugal e Espanha (século 19)","Brás, José Viegas, Gonçalves, Maria Leal, Hernandez Dias, José","História da Educação; 18(43); 109-126","História da Educação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592014000200007&lang=pt" 
"S1807-86722014000300002-scl","Effects of stocking-density in flow-through system on the mussel Perna perna larval survival","Turini, Caio Silva, Sühnel, Simone, Lagreze-Squella, Francisco José, Ferreira, Jaime Fernando, Melo, Claudio Manoel Rodrigues de","Acta Scientiarum. Animal Sciences; 36(3); 247-252","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300002&lang=pt" 
"S1807-86722014000300012-scl","Intake, digestibility of nutrients, milk production and composition in dairy cows fed on diets containing cashew nut shell liquid","Coutinho, Diogo Antignani, Branco, Antonio Ferriani, Santos, Geraldo Tadeu dos, Osmari, Milene Puntel, Teodoro, Ana Lucia, Diaz, Tatiana Garcia","Acta Scientiarum. Animal Sciences; 36(3); 311-316","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300012&lang=pt" 
"S1807-86722014000300011-scl","Carcass characteristics of sheep fed diets with slow-release urea replacing conventional urea","Alves, Evanilton Moura, Pedreira, Márcio dos Santos, Moreira, Beatriz Silva, Freire, Leile Daiane Ribeiro, Lima, Thiago Ramos, Santos-Cruz, Cristiane Leal dos","Acta Scientiarum. Animal Sciences; 36(3); 303-310","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300011&lang=pt" 
"S1807-86722014000300015-scl","Performance of steers supplemented with mineral mixtures in the State of Mato Grosso","Oliveira, Euclides Reuter de, Paiva, Paulo César de Aguiar, Babilônia, José Libêncio, Gabriel, Andréa Maria de Araújo, Monção, Flávio Pinto, Nascimento, Felipe de Almeida","Acta Scientiarum. Animal Sciences; 36(3); 329-336","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300015&lang=pt" 
"S1807-86722014000300007-scl","Tiller dynamics of ryegrass managed under two stocking rates","Stivanin, Sheila Cristina Bosco, Rocha, Marta Gomes da, Potter, Luciana, Hampel, Viviane da Silva, Alves, Marcos Bernardino, Salvador, Paulo Roberto","Acta Scientiarum. Animal Sciences; 36(3); 279-283","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300007&lang=pt" 
"S1807-86722014000300004-scl","Nutritional characteristics of BMR mutant and normal sorghum genotypes used for cutting and grazing","Aguilar, Poliana Batista de, Pires, Daniel Ananias de Assis, Frota, Benara Carla Barros, Rodrigues, José Avelino Santos, Reis, Sidney Tavares dos, Rocha Júnior, Vicente Ribeiro","Acta Scientiarum. Animal Sciences; 36(3); 259-264","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300004&lang=pt" 
"S1807-86722014000300005-scl","Nutritional and fermentation parameters of Xaraés grass silage produced with bacterial additive","Silva, Erickson Tiago Pinheiro da, Guimarães, Kátia Cylene, Marques, Karolyna Oliveira, Carvalho, Thony Assis, Antonio, Patricia, Vieira Junior, Marcos Ires Rodrigues","Acta Scientiarum. Animal Sciences; 36(3); 265-269","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300005&lang=pt" 
"S1807-86722014000300003-scl","Stocking densities of juvenile Brycon orthotaenia: production parameters and economic benefits in net cages","Lago, Aline de Assis, Freitas, Rilke Tadeu Fonseca de, Pimenta, Maria Emília de Sousa Gomes, Mattos, Bruno Olivetti de, Reis Neto, Rafael Vilhena, Costa, Adriano Carvalho","Acta Scientiarum. Animal Sciences; 36(3); 253-258","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300003&lang=pt" 
"S1807-86722014000300001-scl","Effect of estradiol-17β on the sex ratio, growth and survival of juvenile common snook (Centropomus undecimalis)","Carvalho, Cristina Vaz Avelar de, Passini, Gabriel, Costa, Wanessa de Melo, Vieira, Beatriz Nunes, Cerqueira, Vinicius Ronzani","Acta Scientiarum. Animal Sciences; 36(3); 239-245","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300001&lang=pt" 
"S1807-86722014000300009-scl","Dry and wet diets with and without phytase for growing and finishing pigs","Oliveira, Luiz Alberto Garcia de, Nunes, Romão da Cunha, Rufino, Luciana Moura, Roner, Márcia Nunes Bandeira, Stringhini, José Henrique, Castro, Izabela Cruvinel Di","Acta Scientiarum. Animal Sciences; 36(3); 291-296","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300009&lang=pt" 
"S1807-86722014000300013-scl","Adaptive parameters and thermal comfort of postpartum ewes fed on concentrate supplementation in grazing system","Rocha, Ronne-von Ribeiro da, Oliveira, Petrônio Batista de, Nunes, Amaury Guimarães, Silva, Tairon Pannunzio Dias e, Pereira, Alécio Matos, Torreão, Jacira Neves da Costa","Acta Scientiarum. Animal Sciences; 36(3); 317-321","Acta Scientiarum. Animal Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722014000300013&lang=pt" 
