"S0036-36342015000600006-spa","End-of-life decisions in perinatal care: A view from health-care providers in Mexico","Grether, Patricia, Lisker, Rubén, Loria, Alvar, Álvarez-del-Río, Asunción","Salud Pública de México; 57(6); 489-495","Salud Pública de México","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342015000600006&lang=pt" 
"S0001-37652015000501939-scl","Coral-based climate records from tropical South Atlantic: 2009/2010 ENSO event in C and O isotopes from Porites corals (Rocas Atoll, Brazil)","Pereira, Natan S., Sial, Alcídes N., Kikuchi, Ruy K.P., Ferreira, Valderez P., Ullmann, Clemens V., Frei, Robert, Cunha, Adriana M.C.","Anais da Academia Brasileira de Ciências; 87(4); 1939-1957","Anais da Academia Brasileira de Ciências","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000501939&lang=pt" 
"S1516-14392015000601331-scl","Modelling the Hot Flow Behaviors of AZ80 Alloy by BP-ANN and the Applications in Accuracy Improvement of Computations","Quan, Guo-Zheng, Zhang, Zhi-hua, Pan, Jia, Xia, Yu-feng","Materials Research; 18(6); 1331-1345","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000601331&lang=pt" 
"S1516-14392015000601414-scl","Development and Applications of Highly Functional Al-based Materials by Use of Metastable Phases","Inoue, Akihisa, Kong, Fanli, Zhu, Shengli, Liu, Chain Tsuan, Al-Marzouki, Fahad","Materials Research; 18(6); 1414-1425","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000601414&lang=pt" 
"S0001-37652015000502031-scl","Floristic units and their predictors unveiled in part of the Atlantic Forest hotspot: implications for conservation planning","SAITER, FELIPE Z., EISENLOHR, PEDRO V., FRANÇA, GLAUCO S., STEHMANN, JOÃO R., THOMAS, WILLIAM W., OLIVEIRA-FILHO, ARY T. DE","Anais da Academia Brasileira de Ciências; 87(4); 2031-2046","Anais da Academia Brasileira de Ciências","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000502031&lang=pt" 
"S0001-37652015000502001-scl","Physiological and biochemical changes during the loss of desiccation tolerance in germinating Adenanthera pavonina L. seeds","SOARES, GIULIANA C.M., DIAS, DENISE C.F.S., FARIA, JOSÉ M.R., BORGES, EDUARDO E.L.","Anais da Academia Brasileira de Ciências; 87(4); 2001-2011","Anais da Academia Brasileira de Ciências","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000502001&lang=pt" 
"S0001-37652015000502013-scl","Environmental factors related to the production of a complex set of spicules in a tropical freshwater sponge","MATTEUZZO, MARCELA C., VOLKMER-RIBEIRO, CECÍLIA, VARAJÃO, ANGÉLICA F.D.C., VARAJÃO, CÉSAR A.C., ALEXANDRE, ANNE, GUADAGNIN, DEMETRIO L., ALMEIDA, ARIANA C.S.","Anais da Academia Brasileira de Ciências; 87(4); 2013-2029","Anais da Academia Brasileira de Ciências","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000502013&lang=pt" 
"S1516-14392015000601140-scl","Effect of Tetraethoxy-silane (TEOS) Amounts on the Corrosion Prevention Properties of Siloxane-PMMA Hybrid Coatings on Galvanized Steel Substrates","Longhi, Marielen, Kunsta, Sandra Raquel, Beltrami, Lilian Vanessa Rossa, Kerstner, Estela Knopp, Silva Filho, Cícero Inácio, Sarmento, Victor Hugo Vitorino, Malfatti, Célia","Materials Research; 18(6); 1140-1155","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000601140&lang=pt" 
"S0001-37652015000502097-scl","Soil-vegetation relationships on a banded ironstone &#039;island&#039;, Carajás Plateau, Brazilian Eastern Amazonia","Nunes, Jaquelina A., Schaefer, Carlos E.G.R., Ferreira Júnior, Walnir G., Neri, Andreza V., Correa, Guilherme R., Enright, Neal J.","Anais da Academia Brasileira de Ciências; 87(4); 2097-2110","Anais da Academia Brasileira de Ciências","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652015000502097&lang=pt" 
"S1516-14392015000601163-scl","Properties and Performance of Ultrafine Grained Titanium for Biomedical Applications","Fernandes, Daniel Jogaib, Elias, Carlos Nelson, Valiev, Ruslan Zufarovich","Materials Research; 18(6); 1163-1175","Materials Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392015000601163&lang=pt" 
