"S1981-81222012000200010-scl","Hunting practices among the Awá-Guajá: towards a long-term analysis of sustainability in an Amazonian indigenous community","Prado, Helbert Medeiros, Forline, Louis Carlos, Kipnis, Renato","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 479-491","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200010&lang=pt" 
"S1981-81222012000200013-scl","Possibilidades e limitações interpretativas da Hipótese Saxe/Goldstein","Strauss, André","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 525-546","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200013&lang=pt" 
"S1981-81222012000200014-scl","Joseph Leidy entre dois paradigmas da Paleontologia","Faria, Felipe","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 547-561","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200014&lang=pt" 
"S0104-06182012000200002-scl","Mercado de terras e trajetórias tecnológicas na Amazônia","Costa, Francisco de Assis","Economia e Sociedade; 21(2); 245-273","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000200002&lang=pt" 
"S0104-06182012000200003-scl","Investimento direto externo no Brasil: uma análise para o período de alta inflação","Curado, Marcelo, Cruz, Márcio","Economia e Sociedade; 21(2); 275-300","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000200003&lang=pt" 
"S0104-06182012000200006-scl","O debate acerca dos objetivos e condução da política fiscal: uma abordagem crítica à visão convencional","Montes, Gabriel Caldas, Alves, Romulo do Couto","Economia e Sociedade; 21(2); 363-386","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000200006&lang=pt" 
"S0104-06182012000200008-scl","La regulación de los servicios de electricidad en Argentina y Brasil (1890-1962)","Saes, Alexandre Macchione, Lanciotti, Norma Silvana","Economia e Sociedade; 21(2); 409-447","Economia e Sociedade","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000200008&lang=pt" 
"S0034-737X2012000400019-scl","Vida útil pós-colheita do repolho roxo minimamente processado, armazenado em diferentes embalagens","Gioppo, Mariane, Souza, Adenilson Mroginski de, Gonçalves, Jaciara, Ayub, Ricardo Antonio","Revista Ceres; 59(4); 560-564","Revista Ceres","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2012000400019&lang=pt" 
"S1678-77572012000400003-scl","Influence of root canal sealer on the radiographic appearance of filling voids in maxillary single-rooted teeth","Bodanezi, Augusto, Munhoz, Etiene Andrade, Capelozza, Ana Lúcia Álvares, Bernardineli, Norberti, Moraes, Ivaldo Gomes de, Garcia, Roberto Brandão, Bramante, Clovis Monteiro","Journal of Applied Oral Science; 20(4); 404-409","Journal of Applied Oral Science","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572012000400003&lang=pt" 
"S1678-77572012000400005-scl","Evaluation of tissue reaction to Aroeira (Myracrodruon urundeuva) extracts: a histologic and edemogenic study","Machado, Alessandra Cury, Dezan Junior, Eloi, Gomes-Filho, João Eduardo, Cintra, Luciano Tavares Angelo, Ruviére, Denise Belucio, Zoccal, Renata, Damante, Carla Andreotti, Jardim Junior, Elerson Gaetti","Journal of Applied Oral Science; 20(4); 414-418","Journal of Applied Oral Science","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572012000400005&lang=pt" 
