"S1519-566X2003000400004-scl","Effects of larval diet on the development and reproduction of Argyrotaenia sphaleropa (Meyrick) (Lepidoptera: Tortricidae)","Bentancourt, Carlos M., Scatoni, Iris B., Gonzalez, Alvaro, Franco, Jorge","Neotropical Entomology; 32(4); 551-557","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400004&lang=pt" 
"S1519-566X2003000400007-scl","Diversidade de ácaros em aceroleira (Malpighia emarginata A.DC.) na Universidade Federal Rural de Pernambuco em Recife, PE","Barbosa, Daisi G.F., Gondim Jr., Manoel G.C., Barros, Reginaldo, Oliveira, José V.","Neotropical Entomology; 32(4); 577-583","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400007&lang=pt" 
"S1519-566X2003000400029-scl","Larvicidal activity of Copaifera reticulata ducke oil-resin against Culex quinquefasciatus Say (Diptera: Culicidae)","Silva, Ionizete G., Zanon, Valéria O.M., Silva, Heloisa H.G.","Neotropical Entomology; 32(4); 729-732","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400029&lang=pt" 
"S1519-566X2003000400012-scl","Thrips species (Thysanoptera) collected at Parque Estadual de Itapuã, Viamão, RS, Brazil","Pinent, Silvia M.J., Romanowski, Helena P., Redaelli, Luiza R., Mound, Laurence A.","Neotropical Entomology; 32(4); 619-623","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400012&lang=pt" 
"S1519-566X2003000400014-scl","Bacillus thuringiensis survey in Brazil: geographical distribution and insecticidal activity against Spodoptera frugiperda (J.E. Smith) (Lepidoptera: Noctuidae)","Valicente, Fernando H., Barreto, Marliton R.","Neotropical Entomology; 32(4); 639-644","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400014&lang=pt" 
"S1519-566X2003000400015-scl","Development of Melittobia australica Girault and M. digitata Dahms (Parker) (Hymenoptera: Eulophidae) parasitizing Neobellieria bullata (Parker) (Diptera: Sarcophagidae) puparia","Silva-Torres, Christian S.A., Matthews, Robert W.","Neotropical Entomology; 32(4); 645-651","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400015&lang=pt" 
"S1519-566X2003000400016-scl","Suscetibilidade de Plutella xylostella (L.) (Lepidoptera: Plutellidae) aos fungos Beauveria bassiana (Bals.) Vuill. e Metarhizium anisopliae (Metsch.) Sorok","Silva, Valda C.A., Barros, Reginaldo, Marques, Edmilson J., Torres, Jorge B.","Neotropical Entomology; 32(4); 653-658","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400016&lang=pt" 
"S1519-566X2003000400018-scl","Bioatividade de extratos aquosos de Trichilia spp. sobre Spodoptera frugiperda (J.E. Smith) (Lepidoptera: Noctuidae) em milho","Bogorni, Paulo C., Vendramim, José D.","Neotropical Entomology; 32(4); 665-669","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400018&lang=pt" 
"S1519-566X2003000400019-scl","Performance of an oligophagous insect in relation to the age of the host plant","Campos, Wellington G., Schoereder, José H., Picanço, Marcelo C.","Neotropical Entomology; 32(4); 671-676","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400019&lang=pt" 
"S1519-566X2003000400020-scl","Efeito de plantas daninhas e do algodoeiro no desenvolvimento, reprodução e preferência para oviposição de Podisus nigrispinus (Dallas) (Heteroptera: Pentatomidae)","Evangelista Jr., Walter S., Gondim Jr., Manoel G.C., Torres, Jorge B., Marques, Edmilson J.","Neotropical Entomology; 32(4); 677-684","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400020&lang=pt" 
