"S0066-782X2015000500003-scl","Evolution of Cardiovascular Diseases Mortality in the Counties of the State of Rio de Janeiro from 1979 to 2010","Soares, Gabriel Porto, Klein, Carlos Henrique, Silva, Nelson Albuquerque de Souza e, Oliveira, Glaucia Maria Moraes de","Arquivos Brasileiros de Cardiologia; 104(5); 356-365","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500003&lang=pt" 
"S0066-782X2015000500002-scl","Education to a Healthy Lifestyle Improves Symptoms and Cardiovascular Risk Factors – AsuRiesgo Study","Chaves, Graciela, Britez, Nidia, Munzinger, Judith, Uhlmann, Lorenz, Gonzalez, Graciela, Oviedo, Guillermo, Chaparro, Victoria, Achon, Oscar, Bruckner, Thomas, Kieser, Meinhard, Katus, Hugo A., Mereles, Derliz","Arquivos Brasileiros de Cardiologia; 104(5); 347-355","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500002&lang=pt" 
"S0066-782X2015000500001-scl","Biomarkers in Cardiology - Part 2: In Coronary Heart Disease, Valve Disease and Special Situations","","Arquivos Brasileiros de Cardiologia; 104(5); 337-346","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500001&lang=pt" 
"S0066-782X2015000500006-scl","Association Between Hemodynamic Profile, Physical Capacity and Quality of Life in Pulmonary Hypertension","Torres, Diego de Faria Magalhães, Zin, Walter Araujo, Lopes, Agnaldo José, Vigário, Patrícia dos Santos, Garcia, Marcelo Iorio, Waetge5, Daniel, Bandeira, Marcelo Luiz da Silva, Bessa, Luiz Gustavo Pignataro, Guimarães, Fernando Silva","Arquivos Brasileiros de Cardiologia; 104(5); 387-393","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500006&lang=pt" 
"S0066-782X2015000500007-scl","Assessment of Myocardial Ischemia in Obese Individuals Undergoing Physical Stress Echocardiography (PSE)","Silveira, Mara Graziele Maciel, Sousa, Antônio Carlos Sobral, Santos, Marcos Antônio Almeida, Tavares, Irlaneide da Silva, Andrade, Stephanie Macedo, Melo, Luiza Dantas, Andrade, Loren Suyane Oliveira de, Santos, Emmanuel Lima Almeida, Oliveira, Joselina Luzia Menezes","Arquivos Brasileiros de Cardiologia; 104(5); 394-400","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500007&lang=pt" 
"S0066-782X2015000500004-scl","4-Second Exercise Test: Reference Values for Ages 18–81 Years","Araújo, Claudio Gil, Castro, Claudia Lucia Barros de, Franca, João Felipe, Ramos, Plínio Santos","Arquivos Brasileiros de Cardiologia; 104(5); 366-374","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500004&lang=pt" 
"S0066-782X2015000500005-scl","Clinical Coronary In-Stent Restenosis Follow-Up after Treatment and Analyses of Clinical Outcomes","Marino, Barbara Campos Abreu, Nascimento, Guilherme Abreu, Rabelo, Walter, Marino, Marcos Antônio, Marino, Roberto Luiz, Ribeiro, Antonio Luiz Pinho","Arquivos Brasileiros de Cardiologia; 104(5); 375-386","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500005&lang=pt" 
"S0066-782X2015000500009-scl","Male Gender and Arterial Hypertension are Plaque Predictors at Coronary Computed Tomography Angiography","Oliveira, Joselina Luzia Menezes, Hirata, Mario Hiroyuki, Sousa, Amanda Guerra de Moraes Rego, Gabriel, Fabíola Santos, Hirata, Thiago Dominguez Crespo, Tavares, Irlaneide da Silva, Melo, Luiza Dantas, Dória, Fabiana de Santana, Sousa, Antônio Carlos Sobral, Pinto, Ibraim Masciarelli Francisco","Arquivos Brasileiros de Cardiologia; 104(5); 409-416","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500009&lang=pt" 
"S0066-782X2015000500010-scl","Meta-Analysis of Ultrafiltration versus Diuretics Treatment Option for Overload Volume Reduction in Patients with Acute Decompensated Heart Failure","Ebrahim, Barkoudah, Sindhura, Kodali, Okoroh, Juliet, Sethi, Rosh, Hulten, Edward, Suemoto, Claudia, Bittencourt, Marcio Sommer","Arquivos Brasileiros de Cardiologia; 104(5); 417-425","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500010&lang=pt" 
"S0100-40422015000400518-scl","TUNGSTOPHOSPHORIC ACID HETEROGENIZED ONTO NH4ZSM5 AS AN EFFICIENT AND RECYCLABLE CATALYST FOR THE PHOTOCATALYTIC DEGRADATION OF DYES","Leal Marchena, Candelaria, Gomez, Silvina, Saux, Clara, Pierella, Liliana B., Pizzio, Luis R.","Química Nova; 38(4); 518-525","Química Nova","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400518&lang=pt" 
"S0100-40422015000400478-scl","ISOLATION AND CHARACTERIZATION OF NANOFIBRILLATED CELLULOSE FROM OAT HULLS","Paschoal, Giovanni B., Muller, Carmen M. O., Carvalho, Gizilene M., Tischer, Cesar A., Mali, Suzana","Química Nova; 38(4); 478-482","Química Nova","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400478&lang=pt" 
"S0100-40422015000400510-scl","PREDICTING THE BOILING POINT OF PCDD/Fs BY THE QSPR METHOD BASED ON THE MOLECULAR DISTANCE-EDGE VECTOR INDEX","Jiao, Long, Wang, Xiaofei, Bing, Shan, Xue, Zhiwei, Li, Hua","Química Nova; 38(4); 510-517","Química Nova","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400510&lang=pt" 
"S0100-40422015000400459-scl","SYNGAS PRODUCTION FROM CO2-REFORMING OF CH4 OVER SOL-GEL SYNTHESIZED Ni-Co/Al2O3-MgO-ZrO2 NANOCATALYST: EFFECT OF ZrO2 PRECURSOR ON CATALYST PROPERTIES AND PERFORMANCE","Sajjadi, Seyed Mehdi, Haghighi, Mohammad, Rahmani, Farhad","Química Nova; 38(4); 459-465","Química Nova","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400459&lang=pt" 
"S0100-40422015000400526-scl","APROVEITAMENTO DE RESÍDUO DE BIODIESEL PARA PREPARAÇÃO DE CARVÕES ÁCIDOS COM ELEVADA ATIVIDADE CATALÍTICA NA REAÇÃO DE ETERIFICAÇÃO DO GLICEROL","Mantovani, Michelle, Aguiar, Erik Moda, Carvalho, Wagner Alves, Mandelli, Dalmo, Gonçalves, Maraisa","Química Nova; 38(4); 526-532","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400526&lang=pt" 
"S0100-40422015000400533-scl","ADAPTAÇÃO DA METODOLOGIA DE ANÁLISE DE METEMOGLOBINA COMO BIOMARCADOR DE EFEITO DA EXPOSIÇÃO AO AGROTÓXICO DIFLUBENZURON","Barata-Silva, Cristiane, Santos, Tatyane P. dos, Gouvêa, Adherlene V., Larentis, Ariane L., Moreira, Josino C., Sarcinelli, Paula N.","Química Nova; 38(4); 533-537","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400533&lang=pt" 
"S0100-40422015000400538-scl","CURCUMINA, O PÓ DOURADO DO AÇAFRÃO-DA-TERRA: INTROSPECÇÕES SOBRE QUÍMICA E ATIVIDADES BIOLÓGICAS","Sueth-Santiago, Vitor, Mendes-Silva, Gustavo Peron, Decoté-Ricardo, Débora, Lima, Marco Edilson Freire de","Química Nova; 38(4); 538-552","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400538&lang=pt" 
"S0100-40422015000400553-scl","COMUNICAÇÃO CIENTÍFICA NO ENSINO SUPERIOR DE QUÍMICA: UMA REVISÃO","Oliveira, Jane Raquel Silva de, Queiroz, Salete Linhares","Química Nova; 38(4); 553-562","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400553&lang=pt" 
"S0100-40422015000400493-scl","RAPID AND SENSITIVE DETERMINATION OF PALLADIUM USING HOMOGENEOUS LIQUID-LIQUID MICROEXTRACTION VIA FLOTATION ASSISTANCE FOLLOWED BY GRAPHITE FURNACE ATOMIC ABSORPTION SPECTROMETRY","Rezaee, Mohammad, Shadaniyan, Reyhaneh, Hosseini, Majid Haji, Khalilian, Faezeh","Química Nova; 38(4); 493-497","Química Nova","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400493&lang=pt" 
"S0100-40422015000400498-scl","ANÁLISE COMPARATIVA DO CONTEÚDO EM ESTEROIDES LIVRES DE DIFERENTES ÓLEOS, GORDURAS E BIODIESEIS POR CROMATOGRAFIA GASOSA","Bezerra, Kelly da S., Antoniosi Filho, Nelson R.","Química Nova; 38(4); 498-505","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400498&lang=pt" 
"S0100-40422015000400563-scl","DETERMINAÇÃO DO TEOR DE BIODIESEL EM DIESEL EMPREGANDO O ENSAIO COLORIMÉTRICO DO ÁCIDO HIDROXÂMICO","Costa, Roberta P. M. da, Khalil, Thaiane C., Santos, Amanda P. F. dos, Andrade, Débora F. de, d&#039;Avila, Luiz A.","Química Nova; 38(4); 563-569","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400563&lang=pt" 
"S0100-40422015000400488-scl","PARÂMETROS TERMODINÂMICOS DA CASCA DE LARANJA DESIDRATADA","Santos, Carolina M., Morais, Leandro Cardoso de","Química Nova; 38(4); 488-492","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400488&lang=pt" 
"S0100-40422015000400483-scl","Zingiber officinale (GENGIBRE) COMO FONTE ENZIMÁTICA NA REDUÇÃO DE COMPOSTOS CARBONÍLICOS","Alves, Leonardo A., Bertini, Luciana M., Bizerra, Ayla Márcia C., Mattos, Marcos Carlos de, Monte, Francisco José Q., Lemos, Telma L. G.","Química Nova; 38(4); 483-487","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400483&lang=pt" 
"S0100-40422015000400580-scl","ANÁLISE DA ABORDAGEM HISTÓRICA PARA A TABELA PERIÓDICA EM LIVROS DE QUÍMICA GERAL PARA O ENSINO SUPERIOR USADOS NO BRASIL NO SÉCULO XX","Leite, Helena S. A., Porto, Paulo A.","Química Nova; 38(4); 580-587","Química Nova","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400580&lang=pt" 
"S0100-40422015000400588-scl","BIOORGANIC CONCEPTS INVOLVED IN THE DETERMINATION OF GLUCOSE, CHOLESTEROL AND TRIGLYCERIDES IN PLASMA USING THE ENZYMATIC COLORIMETRIC METHOD","Menezes, Fabrício G., Neves, Ana C. O., Lima, Djalan F. de, Lourenço, Sheeza D., Silva, Lilian C. da, Lima, Kássio M. G. de","Química Nova; 38(4); 588-594","Química Nova","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400588&lang=pt" 
"S0100-40422015000400599-scl","THE ROLE OF NANOMATERIALS IN COSMETICS: NATIONAL AND INTERNATIONAL LEGISLATIVE ASPECTS","Melo, Adriana, Amadeu, Marcela Seragiotto, Lancellotti, Marcelo, Hollanda, Luciana Maria de, Machado, Daisy","Química Nova; 38(4); 599-603","Química Nova","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000400599&lang=pt" 
"S0066-782X2015000500008-scl","Predictors of Conversion from Radial Into Femoral Access in Cardiac Catheterization","Carvalho, Maria Salomé, Calé, Rita, Gonçalves, Pedro de Araújo, Vinhas, Hugo, Raposo, Luís, Teles, Rui, Martins, Cristina, Gabriel, Henrique Mesquita, Pereira, Helder, Almeida, Manuel","Arquivos Brasileiros de Cardiologia; 104(5); 401-408","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000500008&lang=pt" 
"S0718-18762015000200001-chl","An Ontology of E-Commerce - Mapping a Relevant Corpus of Knowledge","La Paz, Ariel I, Ramaprasad, Arkalgud, Syn, Thant, Vasquez, Jonathan","Journal of theoretical and applied electronic commerce research; 10(2); i-ix","Journal of theoretical and applied electronic commerce research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-18762015000200001&lang=pt" 
"S0718-18762015000200005-chl","Managing Dynamic Identity Federations using Security Assertion Markup Language","Ferdous, Sadek, Poet, Ron","Journal of theoretical and applied electronic commerce research; 10(2); 53-76","Journal of theoretical and applied electronic commerce research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-18762015000200005&lang=pt" 
"S0102-311X2015000501119-scl","Erratum","","Cadernos de Saúde Pública; 31(5); 1119-1119","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015000501119&lang=pt" 
"S0102-311X2015000500014-scl","Características clínicas e sociais determinantes para o idoso sair de casa","Morsch, Patricia, Pereira, Gustavo Nunes, Navarro, Joel Hirtz do Nascimento, Trevisan, Margarete Diprat, Lopes, Diene Gomes Colvara, Bós, Ângelo José Gonçalves","Cadernos de Saúde Pública; 31(5); 1025-1034","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015000500014&lang=pt" 
