"S0034-737X2014000700002-scl","Health promoting and sensory properties of phenolic compounds in food","Oliveira, Lívia de Lacerda de, Carvalho, Mariana Veras de, Melo, Lauro","Revista Ceres; 61(); 764-779","Revista Ceres","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000700002&lang=pt" 
"S1413-82712014000300008-scl","Atletas de base de futebol: a experiência de viver em alojamento","Salomão, Rodrigo Lourenço, Ottoni, Giovanna Pereira, Barreira, Cristiano Roque Antunes","Psico-USF; 19(3); 443-455","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300008&lang=pt" 
"S0104-07072014000401145-scl","Collaborative care in health institutions: the nurse as integrator","Waldow, Vera Regina","Texto &amp; Contexto - Enfermagem; 23(4); 1145-1152","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401145&lang=pt" 
"S1413-82712014000300002-scl","Palhaços de hospital como estratégia de amenização da experiência de hospitalização infantil","Caires, Susana, Esteves, Carla Hiolanda, Correia, Susana, Almeida, Isabel","Psico-USF; 19(3); 377-386","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300002&lang=pt" 
"S1413-82712014000300007-scl","Ser avó na família contemporânea: que jeito é esse?","Cardoso, Andreia Ribeiro, Brito, Leila Maria Torraca de","Psico-USF; 19(3); 433-441","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300007&lang=pt" 
"S1413-82712014000300006-scl","Saúde autopercebida e qualidade de vida de homens participantes de intervenção psicoeducativa para idosos","Borges, Lilian Maria, Seidl, Eliane Maria Fleury","Psico-USF; 19(3); 421-431","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300006&lang=pt" 
"S1413-82712014000300005-scl","Estudo do &quot;Ages and Stages Questionnaires&quot; com cuidadores de crianças institucionalizadas","Cruz, Edson Junior Silva da, Dias, Greicyani Brarymi, Pedroso, Janari da Silva","Psico-USF; 19(3); 411-420","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300005&lang=pt" 
"S0104-07072014000400845-scl","Nursing care in a hematopoietic stem cells transplantation unit","Lima, Kaoana, Bernardino, Elizabeth","Texto &amp; Contexto - Enfermagem; 23(4); 845-853","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400845&lang=pt" 
"S0104-07072014000401087-scl","Vulnerability in child development: influence of weak family bonds, substance abuse and domestic violence","Silva, Daniel Ignacio da, Maftum, Mariluci Alves, Mazza, Verônica de Azevedo","Texto &amp; Contexto - Enfermagem; 23(4); 1087-1094","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401087&lang=pt" 
"S0104-07072014000401004-scl","Cultural meanings of hypertension in pregnancy according to pregnant women","Martins, Marialda, Monticelli, Marisa, Diehl, Eliana","Texto &amp; Contexto - Enfermagem; 23(4); 1004-1012","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401004&lang=pt" 
"S0001-37652014000402077-scl","Effect of storage in overcoming seed dormancy of Annona coriacea Mart. seeds","DRESCH, DAIANE M., SCALON, SILVANA P.Q., MASETTO, TATHIANA E.","Anais da Academia Brasileira de Ciências; 86(4); 2077-2085","Anais da Academia Brasileira de Ciências","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000402077&lang=pt" 
"S0001-37652014000401999-scl","Spatial variability of soil potassium in sugarcane areas subjected to the application of vinasse","CARVALHO, LAÉRCIO A. DE, MEURER, ISMAEL, JUNIOR, CARLOS A. DA SILVA, SANTOS, CRISTIANE F.B., LIBARDI, PAULO L.","Anais da Academia Brasileira de Ciências; 86(4); 1999-2012","Anais da Academia Brasileira de Ciências","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000401999&lang=pt" 
