"S1414-98931986000100011-scl","Contraponto","Andrade, Jairo E. Borges","Psicologia: Ciência e Profissão; 6(1); 32-32","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100011&lang=pt" 
"S1414-98931986000100010-scl","Formação e atuação em Psicologia Organizacional","Zanelli, José Carlos","Psicologia: Ciência e Profissão; 6(1); 31-32","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100010&lang=pt" 
"S1414-98931986000100007-scl","A sociedade dos descartáveis","Arruda, Sílvia Maria de Barros Olyntho de","Psicologia: Ciência e Profissão; 6(1); 19-20","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100007&lang=pt" 
"S1414-98931986000100003-scl","O ensino da Psicologia no 2º grau","Leite, Sérgio A. Silva","Psicologia: Ciência e Profissão; 6(1); 9-12","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100003&lang=pt" 
"S1414-98931986000100002-scl","Como aprendem os meninos de rua?","","Psicologia: Ciência e Profissão; 6(1); 5-8","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100002&lang=pt" 
"S1414-98931986000100001-scl","","","Psicologia: Ciência e Profissão; 6(1); 4-4","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100001&lang=pt" 
"S1414-98931986000100006-scl","A luta dos aposentados","Lima, Luis Firmino de","Psicologia: Ciência e Profissão; 6(1); 18-19","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100006&lang=pt" 
"S1414-98931986000100005-scl","Nossos velhos","","Psicologia: Ciência e Profissão; 6(1); 17-17","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100005&lang=pt" 
"S1414-98931986000100014-scl","A mulher na Constituinte","Suplicy, Marta","Psicologia: Ciência e Profissão; 6(1); 36-37","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100014&lang=pt" 
"S1414-98931986000100013-scl","A Psicanálise como saber e prática","Guirado, Marlene","Psicologia: Ciência e Profissão; 6(1); 35-36","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100013&lang=pt" 
"S1414-98931986000200011-scl","Terapia de família","Gomes, Heloisa Szymanski Ribeiro","Psicologia: Ciência e Profissão; 6(2); 29-32","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200011&lang=pt" 
"S1414-98931986000200008-scl","As alternativas para o psicólogo","Sollero Neto, José","Psicologia: Ciência e Profissão; 6(2); 24-26","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200008&lang=pt" 
"S1414-98931986000200007-scl","A Psicologia Social e o trânsito","Rozestraten, Reinier J. A.","Psicologia: Ciência e Profissão; 6(2); 22-23","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200007&lang=pt" 
