"S0102-64451999000100001-scl","Apresentação","","Lua Nova: Revista de Cultura e Política; (46); 3-3","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100001&lang=pt" 
"S0102-64451999000100005-scl","A segurança global multidimensional","Villa, Rafael Duarte","Lua Nova: Revista de Cultura e Política; (46); 99-118","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100005&lang=pt" 
"S0102-64451999000100004-scl","O Brasil e a reforma da ONU","Herz, Monica","Lua Nova: Revista de Cultura e Política; (46); 77-98","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100004&lang=pt" 
"S0102-64451999000100003-scl","Sociedade internacional e governança global","Hurrell, Andrew","Lua Nova: Revista de Cultura e Política; (46); 55-75","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100003&lang=pt" 
"S0102-64451999000100009-scl","A Europa unida entre a associação e a barbárie","Morin, Edgar","Lua Nova: Revista de Cultura e Política; (46); 197-213","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100009&lang=pt" 
"S0102-64451999000100011-scl","O neoliberal disfarçado ou os percalços de uma certa lógica","Pereira, Luiz Carlos Bresser","Lua Nova: Revista de Cultura e Política; (46); 221-225","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100011&lang=pt" 
"S0102-64451999000100010-scl","Globalização e refugo humano","Fridman, Luis Carlos","Lua Nova: Revista de Cultura e Política; (46); 215-219","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100010&lang=pt" 
"S0102-64451999000100002-scl","Ciclos longos e cenários contemporâneos da sociedade internacional","Vigevani, Tullo","Lua Nova: Revista de Cultura e Política; (46); 5-53","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100002&lang=pt" 
"S0102-64451999000100007-scl","Participação cidadã na sociedade civil global","Teixeira, Elenaldo Celso","Lua Nova: Revista de Cultura e Política; (46); 135-168","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100007&lang=pt" 
"S0102-64451999000100008-scl","A formação da diplomacia econômica do Brasil","Almeida, Paulo Roberto de","Lua Nova: Revista de Cultura e Política; (46); 169-195","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100008&lang=pt" 
"S0102-64451999000100006-scl","A avaliação de poder nas relações internacionais","Rochman, Alexandre Ratner","Lua Nova: Revista de Cultura e Política; (46); 119-134","Lua Nova: Revista de Cultura e Política","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-64451999000100006&lang=pt" 
"S0101-31731999000100010-scl","O que há de real e de irreal com o realismo: Searle versus Rorty","Ghiraldelli Júnior, Paulo","Trans/Form/Ação; 21-22(1); 119-129","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100010&lang=pt" 
"S0101-31731999000100007-scl","Teatro e pensamento","Bolognesi, Mário Fernando","Trans/Form/Ação; 21-22(1); 53-65","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100007&lang=pt" 
"S0101-31731999000100006-scl","A fenomenologia e a epochê","Martini, Renato da S.","Trans/Form/Ação; 21-22(1); 43-51","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100006&lang=pt" 
"S0101-31731999000100005-scl","Popper e o &quot;efeito Édipo&quot;","Oliveira, Marcos Barbosa de","Trans/Form/Ação; 21-22(1); 33-42","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100005&lang=pt" 
"S0101-31731999000100003-scl","Do sagrado ao lúdico: a festa do asno","Netto, Francisco Benjamin de Souza","Trans/Form/Ação; 21-22(1); 21-26","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100003&lang=pt" 
"S0101-31731999000100001-scl","Simpósio &quot;O riso: diferentes perspectivas&quot;","Machline, Vera Cecília","Trans/Form/Ação; 21-22(1); 9-10","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100001&lang=pt" 
"S0101-31731999000100004-scl","Rir é o próprio do homem","Nascimento, Carlos Arthur R. do","Trans/Form/Ação; 21-22(1); 27-32","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100004&lang=pt" 
"S0101-31731999000100012-scl","Bergson: intuição e método intuitivo","Coelho, Jonas Gonçalves","Trans/Form/Ação; 21-22(1); 151-164","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100012&lang=pt" 
"S0101-31731999000100015-scl","Cinco prefácios para cinco livros não escritos","Fonseca, Thelma Lessa da","Trans/Form/Ação; 21-22(1); 195-200","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100015&lang=pt" 
"S0101-31731999000100013-scl","O estatuto temporal e social do signo","Bortolotti, Ricardo Gião","Trans/Form/Ação; 21-22(1); 165-179","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100013&lang=pt" 
"S0101-31731999000100002-scl","Como o riso era concebido no século XVI","Machline, Vera Cecília","Trans/Form/Ação; 21-22(1); 11-19","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100002&lang=pt" 
"S0101-31731999000100008-scl","Autoconsciência pura, identidade e existência em Kant","Martins, Clélia Aparecida","Trans/Form/Ação; 21-22(1); 67-89","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100008&lang=pt" 
"S0101-31731999000100009-scl","A lógica da compaixão","Caponi, Sandra","Trans/Form/Ação; 21-22(1); 91-117","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100009&lang=pt" 
"S0101-31731999000100011-scl","Simiente de lobo: Celan, Adorno y la poesía después de Auschwitz","Ibarlucía, Ricardo","Trans/Form/Ação; 21-22(1); 131-150","Trans/Form/Ação","Espanhol","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100011&lang=pt" 
"S0101-31731999000100014-scl","Da metamatemática para a ciência cognitiva","Ribeiro, Henrique de Morais","Trans/Form/Ação; 21-22(1); 181-193","Trans/Form/Ação","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31731999000100014&lang=pt" 
"S0101-47141999000100007-scl","Reflexões sobre a cor na conservação/restauração","Paula, Teresa Cristina Toledo de","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 149-159","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100007&lang=pt" 
"S0101-47141999000100002-scl","O Parque do Ibirapuera e a construção da identidade paulista","Marins, Paulo César Garcez","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 9-36","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100002&lang=pt" 
"S0101-47141999000100006-scl","Da Palavra à Imagem: sobre o programa decorativo de Affonso Taunay para o Museu Paulista","Mattos, Claudia Valladão de","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 123-145","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100006&lang=pt" 
"S0101-47141999000100003-scl","O registro dos limites da cidade: imagens da várzea do Carmo no século XIX","Oliveira, Maria Luiza Ferreira de","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 37-59","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100003&lang=pt" 
"S0101-47141999000100004-scl","Pátio do Colégio, Largo do Palácio","Lima, Solange Ferraz de","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 61-82","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100004&lang=pt" 
"S0101-47141999000100005-scl","Circulação e mediação da obra de arte na Belle Époque paulistana","Rossi, Mirian Silva","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 83-119","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100005&lang=pt" 
"S0101-47141999000100010-scl","Um balanço bibliográfico e de fontes da estereoscopia","Adams, Gavin","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 207-225","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100010&lang=pt" 
"S0101-47141999000100001-scl","Apresentação","Glezer, Raquel","Anais do Museu Paulista: História e Cultura Material; 6-7(1); -","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100001&lang=pt" 
"S0101-47141999000100009-scl","Once upon a time: uma história da História da Fotografia brasileira","Mendes, Ricardo","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 183-205","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100009&lang=pt" 
"S0101-47141999000100008-scl","Restauração da fotopintura &quot;Retrato em tamanho natural de Santos Dumont&quot;, do fotógrafo Giovanni Sarracino","Petrella, Yara Lígia Mello Moreira, Coury, Nazareth, Spigolon, Sônia Maria, Ricardo, Beatriz Carvalho","Anais do Museu Paulista: História e Cultura Material; 6-7(1); 161-180","Anais do Museu Paulista: História e Cultura Material","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47141999000100008&lang=pt" 
