"S0103-90162003000400001-scl","Diets for feed training peacock bass Cichla sp.","Cyrino, José Eurico Possebon, Kubitza, Fernando","Scientia Agricola; 60(4); 609-613","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400001&lang=pt" 
"S0103-90162003000400003-scl","Performance of Holstein cows fed sugarcane or corn silages of different grain textures","Corrêa, Clóvis Eduardo Sidnei, Pereira, Marcos Neves, Oliveira, Simone Gisele de, Ramos, Marcelo Hentz","Scientia Agricola; 60(4); 621-629","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400003&lang=pt" 
"S0103-90162003000400005-scl","Quality characteristics of Longissimus dorsi muscle from Bos indicus animals treated with vitamin D3","Pedreira, Aparecida Carla de Moura Silveira, Luchiari Filho, Albino, Leite, Vanderley Benedito de Oliveira, Carvalho, Marina Hojaij","Scientia Agricola; 60(4); 637-642","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400005&lang=pt" 
"S0001-37652003000400001-scl","A metric property of umbilic points","Garcia, Ronaldo, Sotomayor, Jorge","Anais da Academia Brasileira de Ciências; 75(4); 405-413","Anais da Academia Brasileira de Ciências","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652003000400001&lang=pt" 
"S0103-90162003000400008-scl","Biological aspects and life table of Uroleucon ambrosiae (Thomas, 1878) as a function of temperature","Auad, Alexander Machado, Moraes, Jair Campos de","Scientia Agricola; 60(4); 657-662","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400008&lang=pt" 
"S0103-90162003000400027-scl","Cold storage of &#039;Tahiti&#039; lime treated with 1-methylcyclopropene","Jomori, Maria Luiza Lye, Kluge, Ricardo Alfredo, Jacomino, Angelo Pedro","Scientia Agricola; 60(4); 785-788","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400027&lang=pt" 
"S0103-90162003000400010-scl","Identification of a non-host plant of Xylella fastidiosa to rear healthy sharpshooter vectors","Marucci, Rosangela Cristina, Giustolin, Teresinha Augusta, Miranda, Marcelo Pedreira de, Miquelote, Helen, Almeida, Rodrigo Piacentini Paes de, Lopes, João Roberto Spotti","Scientia Agricola; 60(4); 669-675","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400010&lang=pt" 
"S0103-90162003000400020-scl","Oxisol subsurface chemical attributes related to sugarcane productivity","Landell, Marcos Guimarães de Andrade, Prado, Hélio do, Vasconcelos, Antônio Carlos Machado de, Perecin, Dilermando, Rossetto, Raffaella, Bidoia, Márcio Aurélio Pitta, Silva, Marcelo de Almeida, Xavier, Mauro Alexandre","Scientia Agricola; 60(4); 741-745","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400020&lang=pt" 
"S0103-90162003000400018-scl","Intermittent warming of &#039;Tahiti&#039; lime to prevent chilling injury during cold storage","Kluge, Ricardo Alfredo, Jomori, Maria Luiza Lye, Jacomino, Angelo Pedro, Vitti, Maria Carolina Dario, Vitti, Daniela Cristina Clemente","Scientia Agricola; 60(4); 729-734","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400018&lang=pt" 
"S0103-90162003000400006-scl","Colored polyethylene soil covers and grafting effects on cucumber flowering and yield","Fonseca, Inês Cristina de Batista, Klar, Antonio Evaldo, Goto, Rumy, Neves, Carmen Silvia Vieira Janeiro","Scientia Agricola; 60(4); 643-649","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400006&lang=pt" 
"S0103-90162003000400009-scl","Compatibility between the entomopathogenic fungus Beauveria bassiana and insecticides used in coffee plantations","Oliveira, Carolina Natali de, Neves, Pedro Manuel Oliveira Janeiro, Kawazoe, Lídio Sueki","Scientia Agricola; 60(4); 663-667","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400009&lang=pt" 
"S0103-90162003000400007-scl","Rhipsalis grandiflora Haw. (Cactaceae) propagation by setem cuttings","Stancato, Giulio Cesare, Aguiar, Francismar Francisco Alves, Kanashiro, Shoey, Tavares, Armando Reis, Catharino, Eduardo Luís Martins, Silveira, Rosiris Bergemann de Aguiar","Scientia Agricola; 60(4); 651-656","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400007&lang=pt" 
"S0103-90162003000400016-scl","Cloning and expression of cellulase XF-818 of Xylella fastidiosa in Escherichia Coli","Wulff, Nelson Arno, Carrer, Helaine, Pascholati, Sérgio Florentino","Scientia Agricola; 60(4); 715-721","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400016&lang=pt" 
"S0001-37652003000400008-scl","U-Pb evidence for late Neoarchean crustal reworking in the Southern São Francisco Craton (Minas Gerais, Brazil)","Campos, José C.S., Carneiro, Maurício A., Basei, Miguel A.S.","Anais da Academia Brasileira de Ciências; 75(4); 497-511","Anais da Academia Brasileira de Ciências","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652003000400008&lang=pt" 
"S0001-37652003000400009-scl","The Botrychiopsis genus and its biostratigraphic implications in Southern Paraná Basin","Jasper, André, Guerra-Sommer, Margot, Cazzulo-Klepzig, Miriam, Menegat, Rualdo","Anais da Academia Brasileira de Ciências; 75(4); 513-535","Anais da Academia Brasileira de Ciências","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652003000400009&lang=pt" 
"S0100-879X2003001200016-scl","Comparison of the efficacy of biodegradable and non-biodegradable scintillation liquids on the counting of tritium- and [14C]-labeled compounds","Medeiros, R.B., Godinho, R.O., Mattos, M.F.S.S.","Brazilian Journal of Medical and Biological Research; 36(12); 1733-1739","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003001200016&lang=pt" 
"S0100-879X2003001200015-scl","Effect of the establishment of dominance relationships on cortisol and other metabolic parameters in Nile tilapia (Oreochromis niloticus)","Corrêa, S.A., Fernandes, M.O., Iseki, K.K., Negrão, J.A.","Brazilian Journal of Medical and Biological Research; 36(12); 1725-1731","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003001200015&lang=pt" 
"S0100-879X2003001200013-scl","Effect of electrolytic lesion of the dorsal raphe nucleus on water intake and sodium appetite","Olivares, E.L., Costa-e-Sousa, R.H., Cavalcante-Lima, H.R., Lima, H.R.C., Cedraz-Mercez, P.L., Reis, L.C.","Brazilian Journal of Medical and Biological Research; 36(12); 1709-1716","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003001200013&lang=pt" 
