"S2179-975X2016000100314-scl","Diel variation in the structure of fish assemblages in south western Amazon streams","Costa, Igor David da, Nogueira, Wesclen Vilar","Acta Limnologica Brasiliensia; 28(); -","Acta Limnologica Brasiliensia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2016000100314&lang=pt" 
"S0104-11692016000100614-scl","Integrative review of factors related to the nursing diagnosis nausea during antineoplastic chemotherapy","Moysés, Aline Maria Bonini, Durant, Lais Corsino, Almeida, Ana Maria de, Gozzo, Thais de Oliveira","Revista Latino-Americana de Enfermagem; 24(); -","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692016000100614&lang=pt" 
"S1984-46702016000500600-scl","Heterogeneity of bird communities in a mosaic of habitats on a restinga ecosystem in southeast Brazil","Gomes, Verônica S. da M., Vecchi, Maurício B., Loiselle, Bette A., Missagia, Caio C.C., Alves, Maria Alice S.","Zoologia (Curitiba); 33(5); -","Zoologia (Curitiba)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702016000500600&lang=pt" 
"S0303-76572016000100402-scl","Perda auditiva associada à exposição ocupacional a solventes orgânicos: uma revisão sistemática","Mont&#039;Alverne, Lucienne Rezende, Corona, Ana Paula, Rêgo, Marco Antônio Vasconcelos","Revista Brasileira de Saúde Ocupacional; 41(); -","Revista Brasileira de Saúde Ocupacional","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572016000100402&lang=pt" 
"S0718-221X2016000400020-chl","Wood under fresh water: Effect on the chemical properties and on decay resistance","Lourençon, Tainise V, dos Santos, Patrícia S. B, Labidi, Jalel, Gatto, Darci A, Gonçalves, Margarete R. F","Maderas. Ciencia y tecnología; 18(4); 733-742","Maderas. Ciencia y tecnología","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000400020&lang=pt" 
"S0718-221X2016000400021-chl","Preparation and characterization of nanofibrillated Cellulose/Poly (Vinyl Alcohol) composite films","Kord, Behzad, Malekian, Behrouz, Yousefi, Hossein, Najafi, Abdollah","Maderas. Ciencia y tecnología; 18(4); 743-752","Maderas. Ciencia y tecnología","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000400021&lang=pt" 
"S2176-94512016005000002-scl","ERRATUM: Effect of supplementary zinc on orthodontic tooth movement in a rat model","","Dental Press Journal of Orthodontics; (ahead); -","Dental Press Journal of Orthodontics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-94512016005000002&lang=pt" 
"S0718-221X2016000400009-chl","CO2 adsorption on agricultural biomass combustion ashes","Lira-Zúñiga, Sebastián, Sáez-Navarrete, César, Rodríguez-Córdova, Leonardo, Herrera-Zeppelin, Leandro, Herrera-Urbina, Ronaldo","Maderas. Ciencia y tecnología; 18(4); 607-616","Maderas. Ciencia y tecnología","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000400009&lang=pt" 
"S0718-221X2016000400004-chl","Planificación agregada en la cosecha forestal: Un modelo de programacion matemática y solucion","Linfati-Medina, Rodrigo, Pradenas-Rojas, Lorena, Ferland, Jacques","Maderas. Ciencia y tecnología; 18(4); 555-566","Maderas. Ciencia y tecnología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000400004&lang=pt" 
"S0718-221X2016000400003-chl","Analysing the drying behavior of juvenile and mature Eucalyptus saligna wood in drastic drying test for optimal drying schedule","Dias Soares, Bruno Charles, Tarcísio Lima, José, Moreira da Silva, José Reinaldo","Maderas. Ciencia y tecnología; 18(4); 543-554","Maderas. Ciencia y tecnología","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000400003&lang=pt" 
"S0718-221X2016000400010-chl","Effect of weathering on physical and mechanical properties of hybrid nanocomposite based on polyethylene, woodflour and nanoclay","Eshraghi, Amir, Khademieslam, Habibollah, Ghasemi, Ismaeil","Maderas. Ciencia y tecnología; 18(4); 617-626","Maderas. Ciencia y tecnología","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000400010&lang=pt" 
"S0718-221X2016000400001-chl","CONTRIBUCIÓN AL DESARROLLO DE LA INDUSTRIA MADERERA DE ALTO VALOR: FORTALECIENDO LAS CAPACIDADES HUMANAS CIENTÍFICAS Y TECNOLÓGICAS","ANANIAS, Rubén A","Maderas. Ciencia y tecnología; 18(4); 531-532","Maderas. Ciencia y tecnología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000400001&lang=pt" 
"S0718-221X2016000400006-chl","Mechanical parameters of thermally modified ash wood determined by compression in radial direction","Moliński, Waldemar, Roszyk, Edward, Jabloński, Aleksander, Puszyński, Jakub, Cegiela, Janusz","Maderas. Ciencia y tecnología; 18(4); 577-586","Maderas. Ciencia y tecnología","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000400006&lang=pt" 
"S1809-29502016005001101-scl","Errata: Frequência semanal de um programa de intervenção motora para bebês de berçário","","Fisioterapia e Pesquisa; (ahead); -","Fisioterapia e Pesquisa","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502016005001101&lang=pt" 
"S2179-975X2016000100501-scl","Where should I publish my next manuscript on Limnology?","Neiff, Juan Josè","Acta Limnologica Brasiliensia; 28(); -","Acta Limnologica Brasiliensia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2016000100501&lang=pt" 
"S0037-80542016000300008-sza","Relational aspects of family functioning and family satisfaction with a sample of families in the Western Cape","Roman, Nicolette V, Schenck, Catherina, Ryan, Jill, Brey, Fairoza, Henderson, Neil, Lukelelo, Novuyo, Minnaar-McDonald, Marie, Saville, Valerie","Social Work; 52(3); 303-312","Social Work","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0037-80542016000300008&lang=pt" 
"S1806-11172016000400303-scl","A teoria da relatividade de Einstein apresentada para a Amazônia","Crispino, Luís Carlos Bassalo, Lima, Marcelo Costa de","Revista Brasileira de Ensino de Física; 38(4); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000400303&lang=pt" 
"S0037-80542016000300001-sza","Challenges couples face in managing family routines after the transition to parenthood","de Goede, Christine, Greeff, Abraham","Social Work; 52(3); 313-331","Social Work","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0037-80542016000300001&lang=pt" 
"S0037-80542016000300004-sza","Exploring adolescents&#039; participation in decision-making in the home schooling context","van der Merwe, Aloise, van der Merwe, Mariette, Yates, Hannelie","Social Work; 52(3); 370-390","Social Work","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0037-80542016000300004&lang=pt" 
"S0037-80542016000300005-sza","Operationalising cluster foster care schemes as an alternative form of care","du Toit, Willem, van der Westhuizen, Marichen, Alpaslan, Nicky","Social Work; 52(3); 391-413","Social Work","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0037-80542016000300005&lang=pt" 
"S0037-80542016000300006-sza","Risk factors for relapse among young African adults following in-patient treatment for drug abuse in the Gauteng Province","Swanepoel, Ilze, Geyer, Stephan, Crafford, Gretel","Social Work; 52(3); 414-438","Social Work","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0037-80542016000300006&lang=pt" 
"S0037-80542016000300007-sza","The social functioning of women with breast cancer in the context of the life world: a social work perspective","van Wyk, Jonita, Carbonatto, Charlene","Social Work; 52(3); 439-458","Social Work","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0037-80542016000300007&lang=pt" 
"S0037-80542016000300002-sza","Parents&#039; understanding of temperament and preference functions of their children","Jansen van Rensburg, Beatrix, Strydom, Corinne, Grobler, Herman","Social Work; 52(3); 332-349","Social Work","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0037-80542016000300002&lang=pt" 
"S0037-80542016000300003-sza","Risks and vulnerabilities of children in Zambia: mooting responsive social protection interventions","Moonga, Fred, Green, Sulina","Social Work; 52(3); 350-369","Social Work","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0037-80542016000300003&lang=pt" 
"S1984-46702016000500601-scl","Review of thirty-two years of toothed whale strandings in Santa Catarina, southern Brazil (Cetacea: Odontoceti)","Vianna, Thaís dos S., Loch, Carolina, Castilho, Pedro V. de, Gaidzinski, Morgana C., Cremer, Marta J., Simões-Lopes, Paulo C.","Zoologia (Curitiba); 33(5); -","Zoologia (Curitiba)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702016000500601&lang=pt" 
"S0211-95362016000200010-esp","Rafael Vilar Fiol (1885-1971) y el intento de fundación de una escuela de odontología en Valencia antes de la Guerra Civil","García Ferrandis, Xavier, Martínez Vidal, Àlvar","Dynamis; 36(2); 467-489","Dynamis","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362016000200010&lang=pt" 
"S1678-91992016000100318-scl","Heterologous expression, protein folding and antibody recognition of a neurotoxin from the Mexican coral snake Micrurus laticorallis","Clement, Herlinda, Flores, Vianey, la Rosa, Guillermo De, Zamudio, Fernando, Alagon, Alejandro, Corzo, Gerardo","Journal of Venomous Animals and Toxins including Tropical Diseases; 22(); -","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992016000100318&lang=pt" 
