"S1516-635X2016000500027-scl","Development and Application of Est-Ssr Markers in Quails","Bai, JY, Pang, YZ, Qi, YX, Zhang, XH, Yun, XY","Revista Brasileira de Ciência Avícola; 18(spe); 27-32","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500027&lang=pt" 
"S2318-03312016000300576-scl","Método de determinação de pressões em bacias de dissipação a jusante de vertedores tipo salto esqui","Buffon, Franco Turco, Marques, Marcelo Giulian","RBRH; 21(3); 576-586","RBRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300576&lang=pt" 
"S2318-03312016000300537-scl","Application of ecological indicators in coastal watershed under high pressure during summer period","Silva, Aichely Rodrigues da, Fonseca, Alessandra Larissa D’ Oliveira, Rodrigues, Claudinei José, Beltrame, Ângela da Veiga","RBRH; 21(3); 537-548","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300537&lang=pt" 
"S2318-03312016000300587-scl","Ensemble flood forecasting based on operational forecasts of the regional Eta EPS in the Taquari-Antas basin","Siqueira, Vinícius Alencar, Collischonn, Walter, Fan, Fernando Mainardi, Chou, Sin Chan","RBRH; 21(3); 587-602","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300587&lang=pt" 
"S2318-03312016000300636-scl","Qualitative characteristics of water resulting from the introduction of Eucalyptus silviculture in Pampa biome, RS","Cruz, Jussara Cabral, Valente, Mirian Lago, Baggiotto, Carine, Baumhardt, Edner","RBRH; 21(3); 636-645","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300636&lang=pt" 
"S2318-03312016000300556-scl","Representação dos processos hidrológicos em bacia hidrográfica do semiárido paraibano com modelagem hidrológica distribuída","Felix, Vagner de Souza, Paz, Adriano Rolim da","RBRH; 21(3); 556-569","RBRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300556&lang=pt" 
"S2318-03312016000300514-scl","Water quality change of rivers during rainy events in a watershed with different land uses in Southern Brazil","Girardi, Rubia, Pinheiro, Adilson, Garbossa, Luis Hamilton Pospissil, Torres, Édson","RBRH; 21(3); 514-524","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300514&lang=pt" 
"S2318-03312016000300603-scl","Occurrence and risk assessment of parabens and triclosan in surface waters of southern Brazil: a problem of emerging compounds in an emerging country","Santos, Mauricius Marques dos, Brehm, Franciane de Almeida, Filippe, Tais Cristina, Knapik, Heloise Garcia, Azevedo, Júlio César Rodrigues de","RBRH; 21(3); 603-617","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300603&lang=pt" 
"S0188-25032016000300409-mex","Miradas recíprocas: representaciones de la desigualdad en México","Saraví, Gonzalo A.","Revista mexicana de sociología; 78(3); 409-436","Revista mexicana de sociología","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032016000300409&lang=pt" 
"S2179-80872016000300406-scl","Efeito da Temperatura e do KNO3 na Germinação de Acnistus arborescens (Solanaceae)","Brito, Selma Freire de, Bezerra, Antonio Marcos Esmeraldo, Pereira, Diego de Sousa","Floresta e Ambiente; 23(3); 406-412","Floresta e Ambiente","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-80872016000300406&lang=pt" 
