"S0103-50532004000600018-scl","Ruthenium dioxide nanoparticles in ionic liquids: synthesis, characterization and catalytic properties in hydrogenation of olefins and arenes","Rossi, Liane M., Dupont, Jairton, Machado, Giovanna, Fichtner, Paulo F. P., Radtke, Claúdio, Baumvol, Israel J. R., Teixeira, Sergio R.","Journal of the Brazilian Chemical Society; 15(6); 901-910","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600018&lang=pt" 
"S0103-50532004000600021-scl","A novel chlorin derivative of Meso-tris(pentafluorophenyl)-4-pyridylporphyrin: synthesis, photophysics and photochemical properties","Maestrin, Ana Paula J., Ribeiro, Anderson O., Tedesco, Antonio Cláudio, Neri, Cláudio R., Vinhado, Fábio S., Serra, Osvaldo A., Martins, Patrícia R., Iamamoto, Yassuko, Silva, Ana Margarida G., Tomé, Augusto C., Neves, Maria G. P. M. S., Cavaleiro, José A. S.","Journal of the Brazilian Chemical Society; 15(6); 923-930","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600021&lang=pt" 
"S0103-50532004000600022-scl","Changes in lead and mercury atmospheric deposition due to industrial emissions in Southeastern Brazil","Lacerda, L. D., Ribeiro, M. G.","Journal of the Brazilian Chemical Society; 15(6); 931-937","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600022&lang=pt" 
"S0103-50532004000600023-scl","Palladium-catalyzed double cross-coupling of E-vinylic dibromides with PhZnCl and the synthesis of tamoxifen","Pilli, Ronaldo A., Robello, Luís Gustavo","Journal of the Brazilian Chemical Society; 15(6); 938-944","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600023&lang=pt" 
"S0103-50532004000600026-scl","Factors that influence the yield and composition of Brazilian propolis extracts","Cunha, Ildenize B. S., Sawaya, Alexandra C. H. F., Caetano, Fabio M., Shimizu, Mario T., Marcucci, Maria C., Drezza, Flavia T., Povia, Giovanna S., Carvalho, Patricia de O.","Journal of the Brazilian Chemical Society; 15(6); 964-970","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600026&lang=pt" 
"S0103-50532004000600014-scl","Equilibria and catalytic properties of a chloro-bridged Diimine copper(II) complex in the N,N,N&#039;,N&#039;-tetramethyl-p-phenylenediamine (TMPD) oxidation","Alves, Wendel A., Almeida-Filho, Saulo A. de, Santos, Regina H. de Almeida, Paduan-Filho, Armando, Ferreira, Ana M. da Costa","Journal of the Brazilian Chemical Society; 15(6); 872-883","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600014&lang=pt" 
"S0103-50532004000600025-scl","Vibrational spectra of bis(dmit) complexes of main group metals: IR, Raman and ab initio calculations","Ferreira, Glaucio B., Comerlato, Nadia M., Wardell, James L., Hollauer, Eduardo","Journal of the Brazilian Chemical Society; 15(6); 951-963","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600025&lang=pt" 
"S0101-73302004000400008-scl","Repensando e ressignificando a gestão democrática da educação na &quot;cultura globalizada&quot;","Ferreira, Naura Syria Carapeto","Educação &amp; Sociedade; 25(89); 1227-1249","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400008&lang=pt" 
"S0101-73302004000400011-scl","Do Estado-Nação ao Espaço-Mundo: as condições históricas da renovação da educação comparada","Malet, Régis","Educação &amp; Sociedade; 25(89); 1301-1332","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400011&lang=pt" 
"S0718-13372004000200001-chl","LA INVESTIGACIÓN CIENTÍFICA Y TECNOLÓGICA EN CHILE","","Revista Facultad de Ingeniería - Universidad de Tarapacá; 12(2); 5-7","Revista Facultad de Ingeniería - Universidad de Tarapacá","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-13372004000200001&lang=pt" 
