"S1516-93322005000300006-scl","Avaliação da disponibilidade de medicamentos genéricos em farmácias e drogarias de Maringá (PR) e comparação de seus preços com os de referência e similares","Monteiro, Wuelton Marcelo, Melo, Gisely Cardoso de, Massunari, Gustavo Kiyoshi, Hübner, Dirce Vendrametto, Tasca, Raquel Soares","Revista Brasileira de Ciências Farmacêuticas; 41(3); 333-343","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300006&lang=pt" 
"S1516-93322005000300013-scl","Efeito do teor de soro, açúcar e de frutooligossacarídeos sobre a população de bactérias lácticas probióticas em bebidas fermentadas","Thamer, Karime Giannetti, Penna, Ana Lúcia Barretto","Revista Brasileira de Ciências Farmacêuticas; 41(3); 393-400","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300013&lang=pt" 
"S1516-93322005000300018-scl","Errata","","Revista Brasileira de Ciências Farmacêuticas; 41(3); 409-409","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300018&lang=pt" 
"S1413-41522005000300001-scl","","Ferreira Filho, Sidney Seckler","Engenharia Sanitaria e Ambiental; 10(3); 184-184","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300001&lang=pt" 
"S1413-41522005000300007-scl","Simulação e avaliação do desempenho hidrológico da drenagem horizontal de percolado em aterro sanitário","Capelo Neto, José, Castro, Marco Aurélio Holanda de","Engenharia Sanitaria e Ambiental; 10(3); 229-235","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300007&lang=pt" 
"S1413-41522005000300005-scl","Remoção de matéria orgânica, coliformes totais e nitrificação no tratamento de esgotos domésticos por filtros de areia","Tonetti, Adriano Luiz, Coraucci Filho, Bruno, Stefanutti, Ronaldo, Figueiredo, Roberto Feijó de, São Pedro, Camilla Cristina Okano","Engenharia Sanitaria e Ambiental; 10(3); 209-218","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300005&lang=pt" 
"S1413-41522005000300003-scl","Influência das características das substâncias húmicas na eficiência da coagulação com sulfato de alumínio","Campos, Sandro Xavier, Di Bernardo, Luiz, Vieira, Eny M.","Engenharia Sanitaria e Ambiental; 10(3); 194-199","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300003&lang=pt" 
"S1413-41522005000300002-scl","Proposta de um método de cálculo do tempo de sedimentação no tratamento de esgotos por lodos ativados em bateladas","Santos, Rafael Carvalho de Oliveira, Barbosa Filho, Olavo, Giordano, Gandhi","Engenharia Sanitaria e Ambiental; 10(3); 185-193","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300002&lang=pt" 
"S1413-41522005000300004-scl","Desinfecção de efluentes sanitários através de dióxido de cloro","Lapolli, Flávio Rubens, Hassemer, Maria Eliza Nagel, Camargo, Jefferson Greyco, Damásio, Diedre Lauffer, Lobo-Recio, María Ángeles","Engenharia Sanitaria e Ambiental; 10(3); 200-208","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300004&lang=pt" 
"S1413-41522005000300006-scl","A dimensão da qualidade de água: avaliação da relação entre indicadores sociais, de disponibilidade hídrica, de saneamento e de saúde pública","Libânio, Paulo Augusto Cunha, Chernicharo, Carlos Augusto de Lemos, Nascimento, Nilo de Oliveira","Engenharia Sanitaria e Ambiental; 10(3); 219-228","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300006&lang=pt" 
"S1413-41522005000300008-scl","Inibição de lodo biológico anaeróbio por constituintes de efluente de laboratório de controle de poluição","Alves, Larissa de Carvalho, Cammarota, Magali Christe, França, Francisca Pessôa de","Engenharia Sanitaria e Ambiental; 10(3); 236-242","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300008&lang=pt" 
"S1413-41522005000300009-scl","Interferência do processo de coagulação na remoção de compostos orgânicos causadores de gosto e odor em águas de abastecimento mediante a aplicação de carvão ativado em pó","Marchetto, Margarida, Ferreira Filho, Sidney Seckler","Engenharia Sanitaria e Ambiental; 10(3); 243-252","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300009&lang=pt" 
"S1413-41522005000300010-scl","Aplicação conjunta de tratamento anaeróbio termofílico por lodo granular e de mediadores redox na remoção de cor de águas residuárias têxteis","Santos, André Bezerra dos","Engenharia Sanitaria e Ambiental; 10(3); 253-259","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300010&lang=pt" 
"S1413-41522005000300011-scl","Tratamento de esgoto para uso na agricultura do semi-árido nordestino","Sousa, José Tavares de, van Haandel, Adrianus Cornelius, Cavalcanti, Paula Frassinetti Feitosa, Figueiredo, Anna Mitchielle Fernandes de","Engenharia Sanitaria e Ambiental; 10(3); 260-265","Engenharia Sanitaria e Ambiental","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522005000300011&lang=pt" 
"S0103-97332005000400014-scl","A Mössbauer effect study of the Soledade meteorite","Paduani, C., Pérez, C. A. Samudio, Ardisson, J. D.","Brazilian Journal of Physics; 35(3a); 667-669","Brazilian Journal of Physics","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332005000400014&lang=pt" 
"S0103-97332005000400001-scl","Fluctuation conductivity of polycrystalline Y1-xPr xBa2Cu3O7-delta superconductors","Jurelo, Alcione Roberto, Araújo, Celmir Lupack de, Siqueira, Ezequiel Costa, Cantão, Maurício Pereira","Brazilian Journal of Physics; 35(3a); 587-591","Brazilian Journal of Physics","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332005000400001&lang=pt" 
"S0100-736X2005000300004-scl","Sobre um surto de envenenamento por derivado cumarínico em bovinos","Brito, Marilene F., Seixas, Josilene N., Jabour, Flávia F., Andrade, Gisele B., Cunha, Bernardo R.M., França, Ticiana N., Peixoto, Paulo V.","Pesquisa Veterinária Brasileira; 25(3); 143-149","Pesquisa Veterinária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300004&lang=pt" 
"S0100-736X2005000300006-scl","Comportamento da condutividade elétrica e do conteúdo de cloretos do leite como métodos auxiliares de diagnóstico na mastite subclínica bovina","Zafalon, Luiz Francisco, Nader Filho, Antonio, Oliveira, José Victor de, Resende, Flávio Dutra de","Pesquisa Veterinária Brasileira; 25(3); 159-163","Pesquisa Veterinária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300006&lang=pt" 
"S0100-736X2005000300011-scl","Princípios de suplementação mineral em ruminantes","Peixoto, Paulo Vargas, Malafaia, Pedro, Barbosa, José Diomedes, Tokarnia, Carlos Hubinger","Pesquisa Veterinária Brasileira; 25(3); 195-200","Pesquisa Veterinária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2005000300011&lang=pt" 
"S0066-782X2005002200001-scl","I Diretriz Latino-Americana para avaliação e conduta na insuficiência cardíaca descompensada","Bocchi, Edimar Alcides, Vilas-Boas, Fábio, Perrone, Sergio, Caamaño, Angel G, Clausell, Nadine, Moreira, Maria da Consolação V, Thierer, Jorge, Grancelli, Hugo Omar, Serrano Junior, Carlos Vicente, Albuquerque, Denilson, Almeida, Dirceu, Bacal, Fernando, Moreira, Luís Felipe, Mendonza, Adonay, Magaña, Antonio, Tejeda, Arturo, Chafes, Daniel, Gomez, Efraim, Bogantes, Erick, Azeka, Estela, Mesquita, Evandro Tinoco, Reis, Francisco José Farias B, Mora, Hector, Vilacorta, Humberto, Sanches, Jesus, Souza Neto, David de, Vuksovic, José Luís, Paes Moreno, Juan, Aspe y Rosas, Júlio, Moura, Lidia Zytynski, Campos, Luís Antonio de Almeida, Rohde, Luis Eduardo, Parioma Javier, Marcos, Garrido Garduño, Martin, Tavares, Múcio, Castro Gálvez, Pablo, Spinoza, Raul, Miranda, Reynaldo Castro de, Rocha, Ricardo Mourilhe, Paganini, Roberto, Guerra, Rodolfo Castano, Rassi, Salvador, Lagudis, Sofia, Bordignon, Solange, Navarette, Solon, Fernandes, Waldo, Barretto, Antonio Carlos Pereira, Issa, Victor, Guimarães, Jorge Ilha","Arquivos Brasileiros de Cardiologia; 85(); 1-48","Arquivos Brasileiros de Cardiologia","Inglês, Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2005002200001&lang=pt" 
