"S0034-75312013000400003-cub","Evolución del sobrepeso en preescolares cubanos en un período de diez años","Jiménez Acosta, Santa Magaly, Rodríguez Suárez, Armando","Revista Cubana de Pediatría; 85(4); 428-438","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400003&lang=pt" 
"S0034-75312013000400004-cub","Algunas variables bioquímicas en adolescentes obesos con antecedente de bajo peso al nacer","Valdés Alonso, María del Carmen, Rodríguez Suárez, Armando, Basain Valdés, José María, Piñeiro Lamas, Regino, Ladrón de Guevara, Annia","Revista Cubana de Pediatría; 85(4); 439-447","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400004&lang=pt" 
"S0034-75312013000400005-cub","Complicaciones infecciosas de la diálisis peritoneal ambulatoria en niños","Durán Casal, Diana Patricia, Florín Yrabién, José, Carrillo, Belkis Adam, Hernández Alfonso, Hermes","Revista Cubana de Pediatría; 85(4); 448-454","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400005&lang=pt" 
"S0034-75312013000400006-cub","Comportamiento de la otitis media aguda","Fuentes Fernández, Gladys, Just Matos, Carmen Cecilia, Hernández Rodríguez, José Francisco, Muñoz Peña, Liván","Revista Cubana de Pediatría; 85(4); 455-465","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400006&lang=pt" 
"S0034-75312013000400007-cub","Factores biológicos asociados al retardo primario del lenguaje en niños menores de cinco años","Valdivia Álvarez, Ileana, Abadal Borges, Gisela Victoria, Gárate Sánchez, Elizabeth, Regal Cabrera, Norma, Castillo Izquierdo, Gladys, Sáez, Zenaida María, Lozano Pérez, Teresa","Revista Cubana de Pediatría; 85(4); 466-475","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400007&lang=pt" 
"S0034-75312013000400008-cub","Tratamiento ambulatorio de la neumonía no complicada adquirida en la comunidad","Mesa Herrera, María Elena, Lafita Gámez, Yoanka, Alfonso Delis, Odalys","Revista Cubana de Pediatría; 85(4); 476-485","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400008&lang=pt" 
"S0034-75312013000400009-cub","Riesgo de reinfección después de primera infección del tracto urinario en el período neonatal","Díaz Álvarez, Manuel, Arango Arias, María Isabel, Acosta Batista, Bárbara, Pérez Córdova, Rodolfo, Rodríguez Robledo, Ernesto","Revista Cubana de Pediatría; 85(4); 486-496","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400009&lang=pt" 
"S0034-75312013000400010-cub","Tratamiento con medicamentos antiepilépticos en el niño","Pozo Alonso, Albia Josefina, Pozo Lauzán, Desiderio","Revista Cubana de Pediatría; 85(4); 497-516","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400010&lang=pt" 
"S0034-75312013000400011-cub","Caracterización actualizada del síndrome de ALTE","Hevia Bernal, Daisy, Perea Hevia, Leisy, Povea Alfonso, Elena, Broche Cando, Regla, Ortega Perdomo, Leicy, Perea Ruiz, Carlos Alberto","Revista Cubana de Pediatría; 85(4); 517-522","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400011&lang=pt" 
"S0034-75312013000400012-cub","Frenillo labial superior doble","López del Castillo, Carlos Albornoz, Bencomo Basulto, Heberto, Areas Socarrás, Dunier, Rivero Pérez, Oscar, Fernández García, Giselle","Revista Cubana de Pediatría; 85(4); 523-528","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400012&lang=pt" 
"S0034-75312013000400013-cub","Oclusión intestinal por hernia de Bochdalek","Ferro Moreira, María Eugenia, Martínez Ortega, Evenildo, Valle Garrido, Luis, González Yoli, Edel, Cárdenas Herrera, María de las Mercedes","Revista Cubana de Pediatría; 85(4); 529-538","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400013&lang=pt" 
"S0034-75312013000400014-cub","Hernia diafragmática congénita atascada","Endis Miranda, Miurkis, Llanes Céspedes, Ruperto, Graverán Sánchez, Luis Alexis, Rodríguez Fernández, Ana Luisa","Revista Cubana de Pediatría; 85(4); 539-543","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400014&lang=pt" 
"S0034-75312013000400015-cub","Necrolisis epidérmica tóxica y lupus eritematoso sistémico","Noda Albelo, Amauri Lázaro, Sabido Toledo, Lisbet, Galindo Gutiérrez, Maylin, Montell Hernández, Oscar Antonio, Vidal Tallet, Lázaro Arturo, Piñeiro Andux, Inocencia, Sánchez Landa, Caridad, Abreu Álvarez, Héctor, Noda Pulido, Alejandro","Revista Cubana de Pediatría; 85(4); 544-551","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400015&lang=pt" 
"S0034-75312013000400016-cub","Recomendaciones para la fotoprotección en la edad pediátrica, una propuesta basada en evidencias científicas","Acuña Aguilarte, Pilar María, Esquivel Lauzurique, Mercedes, Izquierdo Izquierdo, María Elena, Fundora Hernández, Hermes, Álvarez Rivero, Mirta Beatriz","Revista Cubana de Pediatría; 85(4); 552-558","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400016&lang=pt" 
"S1853-17842013000200012-arg","Información bibliográfica para el estudio del Derecho Canónico Indiano","Danwerth, Otto","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200012&lang=pt" 
"S1853-17842013000200013-arg","","Mejía, Pilar","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200013&lang=pt" 
"S1853-17842013000200010-arg","La enfiteusis en la Argentina (siglos XVII-XX): Estudio histórico-jurídico","Cacciavillani, Pamela Alejandra","Revista de historia del derecho; (46); -","Revista de historia del derecho","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-17842013000200010&lang=pt" 
