"S0718-686X2016000200002-chl","Biodiversidad marina en Magallanes: equinodermos del Pabellón de Colecciones Edmundo Pisano V","Mutschke, Erika, Ríos, Carlos, Aldea, Cristian, Montiel, Américo, Silva, Fernanda","Anales del Instituto de la Patagonia; 44(2); 23-33","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000200002&lang=pt" 
"S0718-686X2016000100003-chl","Social Ecology of the huemul at Torres Del Paine National Park, Chile","Garay, Gladys, Ortega, Isaac M, Guineo, Oscar","Anales del Instituto de la Patagonia; 44(1); 25-38","Anales del Instituto de la Patagonia","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000100003&lang=pt" 
"S0718-686X2016000200008-chl","Primer registro de Rara (Phytotoma rara Molina, 1782) en Isla Riesco, Magallanes","Simonetti, Javier A, Stipicic, Gregor J","Anales del Instituto de la Patagonia; 44(2); 77-79","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000200008&lang=pt" 
"S0718-686X2016000100006-chl","Un caso teratológico en un curculiónido (Coleóptera: Curculiooidea) de la Región de Magallanes (Chile)","Faúndez, Eduardo I, Carvajal, Mariom A","Anales del Instituto de la Patagonia; 44(1); 47-49","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000100006&lang=pt" 
"S0718-686X2016000100008-chl","Primer registro de la especie Myotis chiloensis (Waterhouse, 1838) (Chiroptera, Vespertilionidae) en el Parque Nacional Alberto de Agostini (Región de Magallanes y Antártica Chilena)","Ossa, Gonzalo","Anales del Instituto de la Patagonia; 44(1); 85-88","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000100008&lang=pt" 
"S0718-686X2016000100004-chl","The Coreoidea Leach, 1815 (Hemiptera: Heteroptera) of Magallanes Region: Checklist and identification key to the species","Faúndez, Eduardo I","Anales del Instituto de la Patagonia; 44(1); 39-42","Anales del Instituto de la Patagonia","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000100004&lang=pt" 
"S0718-686X2016000100007-chl","Nuevo registro de Sphagnum falcatulum Besch (Sphagnaceae) en Isla Navarino, Reserva de la Biósfera Cabo de Hornos","Mackenzie, Roy, Lewis, Lily R, Rozzi, Ricardo","Anales del Instituto de la Patagonia; 44(1); 79-84","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000100007&lang=pt" 
"S0718-686X2016000200006-chl","Resultados del Taller &quot;Actualización del Plan de Acción para la conservación del huemul Hippocamelus bisulcus (Molina, 1782) en la zona austral de Chile&quot;","Kusch, Alejandro, Ramírez, Irene, Vila, Alejandro, Droguett, Daniela, Paulsen, Katheryne, Cabello, José, Repetto, Fiorella, Silva, Alejandra, Chauveau, Michelle","Anales del Instituto de la Patagonia; 44(2); 61-72","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000200006&lang=pt" 
"S0718-07642016000300006-chl","Optimización de un Sistema de Abastecimiento de Pintura a Concesionarios de Baja y Media Demanda","Taboada-González, Paul, Aguilar-Virgen, Quetzalli, Ibarra-TrujiMo, Jose, Ramírez-Barreto, María","Información tecnológica; 27(3); 53-60","Información tecnológica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642016000300006&lang=pt" 
"S0718-686X2016000200005-chl","El género Planois Signoret, 1864 (Heteroptera: Acanthosomatidae) en la Patagonia Chilena","Faúndez, Eduardo I, Carvajal, Mariom A","Anales del Instituto de la Patagonia; 44(2); 55-59","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000200005&lang=pt" 
