"S1669-68402012000100008-arg","Transmisión transplacentaria de Neospora caninum en bovinos de cría de la Provincia de Corrientes, Argentina","Martínez, D., Jacobo, R., Cipolini, F., Martínez, I., Echaide, I.","Revista veterinaria; 23(1); 43-45","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100008&lang=pt" 
"S1851-98142012000100001-arg","Guerra al agio: El problema de la domesticación del comercio en la Argentina del primer peronismo, 1943-1945","Elena, Eduardo","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100001&lang=pt" 
"S1851-98142012000100010-arg","La política leída como simulacro","Canal, Mariano","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100010&lang=pt" 
"S1851-98142012000100003-arg","¿Herederos de Mayo y la Constitución de 1853? Liberalismo y antiliberalismo en el debate sobre la reforma constitucional de 1949","Martínez Mazzola, Ricardo","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100003&lang=pt" 
"S1851-98142012000100008-arg","Ser o no ser: Qué hacer con Perón y el peronismo","Casco, José M","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100008&lang=pt" 
"S1851-98142012000100006-arg","Los espacios de sociabilidad en la estructuración de la Juventud Peronista post &#039;55 en la ciudad de Buenos Aires","Ehrlich, Laura","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100006&lang=pt" 
"S1851-98142012000100009-arg","En torno a lo &quot;nacional&quot;: un diálogo posible entre Juan José H. Arregui y Héctor P. Agosti","Massholder, Alexia","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100009&lang=pt" 
"S1851-98142012000100005-arg","El kirchnerismo y su estatuto como movimiento político (2003-2007)","Natalucci, Ana","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100005&lang=pt" 
"S1851-98142012000100004-arg","Sociología y planificación en el primer peronismo: El caso del El Instituto de Sociografía y Planeación de Tucumán (1940- 1957)","Pereyra, Diego","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100004&lang=pt" 
"S1851-98142012000100002-arg","&quot;General, si usted me permite, yo le voy a fabricar automóviles en el país&quot;: Un nuevo abordaje sobre la producción automotriz en la Argentina (1946-1952)","Picabea, Facundo, Lalouf, Alberto","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100002&lang=pt" 
"S1851-98142012000100007-arg","Acerca de &quot;Los espacios de sociabilidad en la estructuración de la Juventud Peronista post &#039;55 en la ciudad de Buenos Aires&quot;","Rubinich, Lucas","Apuntes de investigación del CECYP; (21); -","Apuntes de investigación del CECYP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-98142012000100007&lang=pt" 
"S2362-20242012000100004-arg","La convivencia imposible: una capital para dos estados: Buenos Aires (1880-1888)","Shmidt, Claudia","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 27-36","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100004&lang=pt" 
"S2362-20242012000100006-arg","Buenos Aires: el poder de la anticipación, 1900-1920","Gutman, Margarita","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 53-70","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100006&lang=pt" 
"S2362-20242012000100005-arg","Cuerpo y ciudad: Una metáfora orgánica para Buenos Aires a fines del siglo XIX","Caride Bartrons, Horacio","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 37-52","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100005&lang=pt" 
"S2362-20242012000100003-arg","Figuras y paradigmas: Las formas de Buenos Aires (1740-1870)","Favelukes, Graciela","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 11-26","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100003&lang=pt" 
"S2362-20242012000100012-arg","Recorridos","Zicovich Wilson, Sergio","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo; 41(1); 232-233","Anales del Instituto de Arte Americano e Investigaciones Estéticas. Mario J. Buschiazzo","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2362-20242012000100012&lang=pt" 
