"S0103-11042016000400302-scl","Navegando por mares nunca dantes navegados: os grupos e seus movimentos","Diniz, Denise Scofano, Teixeira, Eliane dos Santos","Saúde em Debate; 40(111); 302-311","Saúde em Debate","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042016000400302&lang=pt" 
"S1415-790X2016000400702-spa","Adesão dos profissionais de saúde a práticas pré- e neonatais de redução da mortalidade neonatal: 2004 versus 2012","Freitas, Renata Jaccottet, Munhoz, Tiago Neuenfeld, Santos, Iná da Silva dos, Chiuchetta, Flávio Sérgio, Barros, Fernando, Coletto, Aline, Matijasevich, Alicia","Revista Brasileira de Epidemiologia; 19(4); 702-712","Revista Brasileira de Epidemiologia","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2016000400702&lang=pt" 
"S0103-11042016000400292-scl","Assistência de enfermagem e o enfoque da segurança do paciente no cenário brasileiro","Silva, Aline Teixeira, Alves, Mateus Goulart, Sanches, Roberta Seron, Terra, Fábio de Souza, Resck, Zélia Marilda Rodrigues","Saúde em Debate; 40(111); 292-301","Saúde em Debate","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042016000400292&lang=pt" 
"S1517-45222016000300176-scl","A questão negra entre continentes: possibilidades de tradução intercultural a partir das práticas de luta?","Meneses, Maria Paula","Sociologias; 18(43); 176-206","Sociologias","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222016000300176&lang=pt" 
"S1807-17752016000300515-scl","FACTORS INFLUENCIG SOFTWARE MIGRATION DECISION: CASE STUDIES OF ACERLORMITTAL TUBARÃO AND THE CITY GOVERNMENT OF SERRA, ESPIRITO SANTO","Merlo, Elizabeth, Carneiro, Teresa Cristina Janes, Araujo, Claudia Affonso Silva","JISTEM - Journal of Information Systems and Technology Management; 13(3); 515-532","JISTEM - Journal of Information Systems and Technology Management","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752016000300515&lang=pt" 
"S0100-54052016000400363-scl","Redução da severidade do mofo cinzento em mudas de Eucalyptus benthamii tratadas com Trichoderma atroviride","Sbravatti Junior, José Antonio, Poitevin, Carolina Gracia, Robl, Diogo, Santos, Álvaro Figueredo dos, Pimentel, Ida Chapaval, Dalzoto, Patrícia do Rocio, Auer, Celso Garcia","Summa Phytopathologica; 42(4); 363-365","Summa Phytopathologica","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052016000400363&lang=pt" 
"S1516-635X2016000600049-scl","The Effect of Eggshell Thickness on the Hatchability of Guinea Fowl and Pheasants","Yamak, US, Boz, MA, Ucar, A, Sarica, M, Onder, H","Revista Brasileira de Ciência Avícola; 18(spe2); 49-53","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000600049&lang=pt" 
"S1809-98232016000600987-scl","Correlations between low back pain and functional capacity among the elderly","Nasrala Neto, Elias, Bittencourt, Walkiria Shimoya, Nasrala, Mara Lilian Soares, Oliveira, Andre Luiz Lopes de, Souza, Ana Carolina Gaudencio de, Nascimento, Jéssica Fialho do","Revista Brasileira de Geriatria e Gerontologia; 19(6); 987-994","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000600987&lang=pt" 
"S0001-37652016000602029-scl","Understanding the Cerrado biome, medicinal properties of a Piperaceae, and consequences of seasonal variation in Amazonian upland lakes","KELLNER, ALEXANDER W.A.","Anais da Academia Brasileira de Ciências; 88(4); 2029-2030","Anais da Academia Brasileira de Ciências","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652016000602029&lang=pt" 
"S0102-77862016000500610-scl","Uso do Modelo WRF-CHEM para a Simulação da Dispersão de Gases no Centro de Lançamento de Alcântara.","Iriart, Paulo Geovani, Fisch, Gilberto","Revista Brasileira de Meteorologia; 31(4); 610-625","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000500610&lang=pt" 
