"S0259-01902012000100008-sza","Picturing the beloved country: Margaret Bourke-White, Life Magazine, and South Africa, 1949-1950","Mason, John Edwin","Kronos; 38(1); 154-176","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100008&lang=pt" 
"S0259-01902012000100010-sza","Wounding apertures: violence, affect and photography during and after apartheid","Thomas, Kylie","Kronos; 38(1); 204-218","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100010&lang=pt" 
"S0259-01902012000100011-sza","The &#039;Nevergiveups&#039; of Grandmothers Against Poverty and AIDS: scholar-journalism-activism as social documentary","Miller, Eric, Smetherham, Jo-Anne, Fish, Jennifer","Kronos; 38(1); 219-248","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100011&lang=pt" 
"S0259-01902012000100012-sza","Native Work: an artwork by Andrew Putter consisting of 38 portrait photographs (with photography by Hylton Boucher, Kyle Weeks and Andrew Putter)","Putter, Andrew","Kronos; 38(1); 249-260","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100012&lang=pt" 
"S0259-01902012000100006-sza","Imagining National Unity: South African propaganda efforts during the Second World War","Chetty, Suryakanthie","Kronos; 38(1); 106-130","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100006&lang=pt" 
"S0259-01902012000100007-sza","Lounge photography and the politics of township interiors: the representation of the black South African home in the Ngilima photographic collection, East Rand, 1950s","Feyder, Sophie","Kronos; 38(1); 131-153","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100007&lang=pt" 
"S1413-81232012010200001-scl","","Cotta, Rosângela Minardi Mitre","Ciência &amp; Saúde Coletiva; 17(1); -","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012010200001&lang=pt" 
"S0103-64402012000100008-scl","Fluoride concentration in the top-selling Brazilian toothpastes purchased at different regions","Ricomini Filho, Antônio Pedro, Tenuta, Livia Maria Andaló, Fernandes, Frederico Silva de Freitas, Calvo, Ana Flávia Bissoto, Kusano, Sandro Carvalho, Cury, Jaime Aparecido","Brazilian Dental Journal; 23(1); 45-48","Brazilian Dental Journal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402012000100008&lang=pt" 
"S0103-64402012000100006-scl","Bacteriostatic effect of copaiba oil (Copaifera officinalis) against Streptococcus mutans","Pieri, Fábio Alessandro, Mussi, Maria Carolina Martins, Fiorini, João Evangelista, Moreira, Maria Aparecida Scatamburlo, Schneedorf, José Mauricio","Brazilian Dental Journal; 23(1); 36-38","Brazilian Dental Journal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402012000100006&lang=pt" 
"S0103-64402012000100015-scl","Giant sialocele following facial trauma","Medeiros Júnior, Rui, Rocha Neto, Alípio Miguel da, Queiroz, Isaac Vieira, Cauby, Antônio de Figueiredo, Gueiros, Luiz Alcino Monteiro, Leão, Jair Carneiro","Brazilian Dental Journal; 23(1); 82-86","Brazilian Dental Journal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402012000100015&lang=pt" 
"S0103-84782012000100018-scl","Colopexia videoassistida com dois portais para o tratamento de prolapso retal recidivante","Guedes, Rogério Luizari, Linhares, Marcella Teixeira, Castro Junior, Ialo Ferro de, Simeoni, Caroline Posser, Cunha, Thiago de Oliveira, Gomes, Cristiano, Brun, Maurício Veloso, Pippi, Ney Luis","Ciência Rural; 42(1); 112-115","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000100018&lang=pt" 
