"S0187-893X2012000100002-mex","Utilización de tecnología multimedia para la enseñanza de estereoquímica en el ámbito universitario","Ugliarolo, Esteban Ariel, Muscia, Gisela Celeste","Educación química; 23(1); 6-10","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100002&lang=pt" 
"S0187-893X2012000100012-mex","Cuasicristales","Bedolla, Carlos Amador","Educación química; 23(1); 69-70","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100012&lang=pt" 
"S0187-893X2012000300010-mex","Las opciones del profesor","Gómez Moliné, Margarita R.","Educación química; 23(3); 390-395","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300010&lang=pt" 
"S0187-893X2012000100014-mex","Ensino de distribuição normal na disciplina de Estatística aplicada a Química utilizando palitos de fósforos","Gomes, Maron Stanley Silva Oliveira, Lima, Camila de Araújo","Educación química; 23(1); 81-84","Educación química","Português","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100014&lang=pt" 
"S0187-893X2012000100015-mex","As relações ciência-tecnologia-sociedade-ambiente (CTSA) e as atitudes dos licenciandos em química","Nunes, Albino Oliveira, Dantas, Josivânia Marisa","Educación química; 23(1); 85-90","Educación química","Português","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100015&lang=pt" 
"S0187-893X2012000100008-mex","Termoquímica: validez de la definición del cambio de entalpía aplicado a una reacción química","Gsponer, Héctor E.","Educación química; 23(1); 45-48","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100008&lang=pt" 
"S0187-893X2012000100004-mex","Química a distancia para alumnos del ciclo básico de Ingeniería","Jubert, Alicia, Pogliani, Cristina, Tocci, Ana María, Vallejo, Alcira","Educación química; 23(1); 16-22","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100004&lang=pt" 
"S0187-893X2012000100007-mex","Determinação de ácidos e bases por meio de extratos de flores","Palácio, Soraya Moreno, Olguin, Conceição de Fátima Alves, da Cunha, Márcia Borin","Educación química; 23(1); 41-44","Educación química","Português","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100007&lang=pt" 
"S0187-893X2012000400011-mex","Adsorción de colorantes sobre tierra de diatomeas: Un trabajo de laboratorio con enfoque ambiental","Sosa, Griselda L., Zalts, Anita","Educación química; 23(4); 492-497","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400011&lang=pt" 
"S0187-893X2012000600005-mex","De la construcción del conocimiento científico a su enseñanza: Distintas explicaciones sobre la estructura del benceno","Farré, Andrea Soledad, Lorenzo, María Gabriela","Educación química; 23(); 271-279","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000600005&lang=pt" 
"S0187-893X2012000600002-mex","Algunas características clave de los modelos científicos relevantes para la educación química","Adúriz-Bravo, Agustín","Educación química; 23(); 248-256","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000600002&lang=pt" 
"S0187-893X2012000600004-mex","Uso del origen de las ideas químicas para mejorar la comprensión de la química del aire: Asuntos y desafíos para la inclusión de las matemáticas en la enseñanza y el aprendizaje de la química","de Berg, Kevin C.","Educación química; 23(); 265-270","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000600004&lang=pt" 
"S0187-893X2012000400002-mex","La indagación y la enseñanza de las ciencias","Reyes-Cárdenas, Flor, Padilla, Kira","Educación química; 23(4); 415-421","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400002&lang=pt" 
"S0187-893X2012000600001-mex","Filosofía de la química o historia y filosofía de la ciencia como guía para comprender el desarrollo de la química","Niaz, Mansoor","Educación química; 23(); 244-247","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000600001&lang=pt" 
