"S0100-736X2010000900014-scl","Morphology of the male agouti accessory genital glands (Dasyprocta prymnolopha Wagler, 1831)","Menezes, Danilo J. Ayres de, Assis Neto, Antonio C., Oliveira, Moacir F., Farias, E.C.","Pesquisa Veterinária Brasileira; 30(9); 793-797","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000900014&lang=pt" 
"S0100-736X2010000900015-scl","Intraocular pressure and tear secretion in Saanen goats with different ages","Ribeiro, Alexandre Pinto, Piso, Dunia Yisela Trujillo, Padua, Ivan Ricardo Martinez, Silva, Miguel Ladino, Laus, José Luiz","Pesquisa Veterinária Brasileira; 30(9); 798-802","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000900015&lang=pt" 
"S0101-20612010000300041-scl","Effect of wheat flour protein variations on sensory attributes, texture and staling of Taftoon bread","Salehifar, Mania, Ardebili, Mehdi Seyedein, Azizi, Mohammad Hosein","Food Science and Technology (Campinas); 30(3); 833-837","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300041&lang=pt" 
"S0256-95742010000900001-sza","South Africa&#039;s first century","Ncayiyana, Daniel J","SAMJ: South African Medical Journal; 100(9); 541-541","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900001&lang=pt" 
"S0256-95742010000900002-sza","","","SAMJ: South African Medical Journal; 100(9); 543-543","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900002&lang=pt" 
"S0256-95742010000900003-sza","Traditional circumcision: the unkindest cut of all","Lazarus, John","SAMJ: South African Medical Journal; 100(9); 544-544","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900003&lang=pt" 
"S0256-95742010000900004-sza","Clinical haematology training in South Africa","Coetzee, M J","SAMJ: South African Medical Journal; 100(9); 544-546","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900004&lang=pt" 
"S0256-95742010000900005-sza","Vuvuzelas: ex Africa semper aliquid novis - again?","Zaaijman, J du T","SAMJ: South African Medical Journal; 100(9); 546-546","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900005&lang=pt" 
"S0256-95742010000900006-sza","CRP and toxic granulation","Wiwanitkit, Viroj","SAMJ: South African Medical Journal; 100(9); 546-546","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900006&lang=pt" 
"S0256-95742010000900007-sza","The UCT department of medicine at 90 years: continuity and change","Mayosi, Bongani M","SAMJ: South African Medical Journal; 100(9); 548-550","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900007&lang=pt" 
"S0256-95742010000900008-sza","Haiti tragedy shakes up SA&#039;s emergency response planning","Bateman, Chris","SAMJ: South African Medical Journal; 100(9); 552-553","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900008&lang=pt" 
"S0256-95742010000900009-sza","Silver &#039;porn bullet&#039; for information technology industry?","Bateman, Chris","SAMJ: South African Medical Journal; 100(9); 556-558","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900009&lang=pt" 
"S0256-95742010000900010-sza","Still a long wait for approved HIV-protective gel","Bateman, Chris","SAMJ: South African Medical Journal; 100(9); 560-562","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900010&lang=pt" 
"S0256-95742010000900011-sza","Bullish new medical measures to give more pilots wings","Bateman, Chris","SAMJ: South African Medical Journal; 100(9); 562-564","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900011&lang=pt" 
"S0256-95742010000900012-sza","Prolonged deferral of antiretroviral therapy in the SAPIT trial: did we need a clinical trial to tell us that this would increase mortality?","Boulle, Andrew, Clayden, Polly, Cohen, Karen, Cohen, Ted, Conradie, Francesca, Dong, Krista, Geffen, Nathan, Grimwood, Ashraf, Hurtado, Rocio, Kenyon, Christopher, Lawn, Stephen, Maartens, Gary, Meintjes, Graeme, Mendelson, Marc, Murray, Megan, Rangaka, Molebogeng, Sanne, Ian, Spencer, David, Taljaard, Jantjie, Variava, Ebrahim, Venter, W D Francois, Wilson, Douglas","SAMJ: South African Medical Journal; 100(9); 566-571","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900012&lang=pt" 
"S0256-95742010000900013-sza","Establishing liability for harm caused to patients in a resource-deficient environment","McQuoid-Mason, David","SAMJ: South African Medical Journal; 100(9); 573-575","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900013&lang=pt" 
"S0256-95742010000900015-sza","Communicable disease epidemiology and control: a global perspective. 3rd ed","Archer, Brett N","SAMJ: South African Medical Journal; 100(9); 576-576","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900015&lang=pt" 
"S0256-95742010000900016-sza","Intimate partner violence: are we ready for action?","Baldwin-Ragaven, Laurel","SAMJ: South African Medical Journal; 100(9); 577-578","SAMJ: South African Medical Journal","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742010000900016&lang=pt" 
