"S1413-81232013000900006-scl","Cuidados paliativos: a comunicação como estratégia de cuidado para o paciente em fase terminal","Andrade, Cristiani Garrido de, Costa, Solange Fátima Geraldo da, Lopes, Maria Emília Limeira","Ciência &amp; Saúde Coletiva; 18(9); 2523-2530","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900006&lang=pt" 
"S1413-81232013000900007-scl","Estudio cualitativo a pacientes de cáncer con soporte paliativo en atención hospitalaria","Getino Canseco, María","Ciência &amp; Saúde Coletiva; 18(9); 2531-2539","Ciência &amp; Saúde Coletiva","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900007&lang=pt" 
"S1413-81232013000900008-scl","Cuidados paliativos: entre la humanización y la medicalización del final de la vida","Alonso, Juan Pedro","Ciência &amp; Saúde Coletiva; 18(9); 2541-2548","Ciência &amp; Saúde Coletiva","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900008&lang=pt" 
"S1413-81232013000900009-scl","O trabalho de cuidar de pacientes terminais com câncer","Kappaun, Nádia Roberta Chaves, Gomez, Carlos Minayo","Ciência &amp; Saúde Coletiva; 18(9); 2549-2557","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900009&lang=pt" 
"S1413-81232013000900010-scl","Cuidados paliativos em pacientes com HIV/AIDS: princípios da bioética adotados por enfermeiros","Vasconcelos, Monica Ferreira de, Costa, Solange Fátima Geraldo da, Lopes, Maria Emília Limeira, Abrão, Fátima Maria da Silva, Batista, Patricia Serpa de Souza, Oliveira, Regina Celia","Ciência &amp; Saúde Coletiva; 18(9); 2559-2566","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900010&lang=pt" 
"S1413-81232013000900011-scl","Luto antecipatório em pacientes com indicação para o Transplante de Células-Tronco Hematopoéticas","Cardoso, Érika Arantes de Oliveira, Santos, Manoel Antônio dos","Ciência &amp; Saúde Coletiva; 18(9); 2567-2575","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900011&lang=pt" 
"S1413-81232013000900012-scl","Cuidados paliativos: uma abordagem a partir das categorias profissionais de saúde","Hermes, Hélida Ribeiro, Lamarca, Isabel Cristina Arruda","Ciência &amp; Saúde Coletiva; 18(9); 2577-2588","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900012&lang=pt" 
"S1413-81232013000900013-scl","Percepção dos enfermeiros sobre o significado dos cuidados paliativos em pacientes com câncer terminal","Fernandes, Maria Andréa, Evangelista, Carla Braz, Platel, Indiara Carvalho dos Santos, Agra, Glenda, Lopes, Marineide de Souza, Rodrigues, Francileide de Araújo","Ciência &amp; Saúde Coletiva; 18(9); 2589-2596","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900013&lang=pt" 
"S1413-81232013000900014-scl","Concepções da equipe multiprofissional sobre a implementação dos cuidados paliativos na unidade de terapia intensiva","Silva, Ceci Figueredo da, Souza, Dalila Melo, Pedreira, Larissa Chaves, Santos, Manuela Ribeiro dos, Faustino, Tássia Nery","Ciência &amp; Saúde Coletiva; 18(9); 2597-2604","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900014&lang=pt" 
"S1413-81232013000900015-scl","Notícias difíceis: sentidos atribuídos por familiares de crianças com fibrose cística","Afonso, Selene Beviláqua Chaves, Mitre, Rosa Maria de Araujo","Ciência &amp; Saúde Coletiva; 18(9); 2605-2613","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900015&lang=pt" 
