"S0100-736X2011000800014-scl","Morfologia do funículo espermático em caprinos da raça Bhuj Brasileira","Costa, Luis A.O. P., Abidu-Figueiredo, Marcelo, Machado-Santos, Clarice, Borelli, Vicente, Pereira, João G. L.","Pesquisa Veterinária Brasileira; 31(8); 711-717","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800014&lang=pt" 
"S0100-736X2011000800015-scl","Apoptose na maturação placentária de vacas em diferentes estágios de gestação: evidenciação imuno-histoquímica e bioquímica","Meça, Karina K.O.L., Del Puerto, Helen L, Rodrigues, Luciana V., Rachid, Milene A., Pereira, Nubia B., Cândido, Márcia G.L., Vasconcelos, Anilton C.","Pesquisa Veterinária Brasileira; 31(8); 718-722","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800015&lang=pt" 
"S1413-65382011000400003-scl","Valores influenciando a visão do ser humano e pesquisa em educação especial: uma reflexão","Cardoso-buckley, Maria Cecília de Freitas","Revista Brasileira de Educação Especial; 17(spe1); 17-22","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400003&lang=pt" 
"S1413-65382011000400001-scl","Vinte anos de educação especial (GTt15) na ANPED","Manzini, Eduardo José, Marquezine, Maria Cristina, Nunes, Leila Regina d&#039; Oliveira de Paula, Mori, Nerli Nonato Ribeiro, Magalhães, Rita de Cássia Barbosa Paiva, Tanaka, Eliza Dieko Oshiro","Revista Brasileira de Educação Especial; 17(spe1); 1-2","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400001&lang=pt" 
"S1413-65382011000400002-scl","O despontar da educação especial na ANPED","Masini, Elcie F. Salzano","Revista Brasileira de Educação Especial; 17(spe1); 3-16","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400002&lang=pt" 
"S1413-65382011000400007-scl","A formação do professor olhada no/pelo GT-15 - educação especial da anped: desvelando pistas","Jesus, Denise Meyrelles de, Barreto, Maria Aparecida Santos Corrêa, Gonçalves, Agda Felipe da Silva","Revista Brasileira de Educação Especial; 17(spe1); 77-92","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400007&lang=pt" 
"S1413-65382011000400006-scl","Ação pedagógica e educação especial: a sala de recursos como prioridade na oferta de serviços especializados","Baptista, Claudio Roberto","Revista Brasileira de Educação Especial; 17(spe1); 59-76","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400006&lang=pt" 
"S1413-65382011000400010-scl","Estigma e currículo oculto","Magalhães, Rita de Cássia Barbosa Paiva, Ruiz, Erasmo Miessa","Revista Brasileira de Educação Especial; 17(spe1); 125-142","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400010&lang=pt" 
"S0004-27302011000600005-scl","Marcadores para o diagnóstico e tratamento de 924 gestações com diabetes melito gestacional","Detsch, Josiane Cristine Melchioretto, Almeida, Ana Cristina Ravazzani de, Bortolini, Luis Gustavo Cambrussi, Nascimento, Denis José, Oliveira Junior, Fernando Cesar, Réa, Rosângela Roginski","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 55(6); 389-398","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302011000600005&lang=pt" 
"S0004-27302011000600007-scl","Análise de custos da assistência à saúde aos portadores de diabetes melito e hipertensão arterial em uma unidade de saúde pública de referência em Recife - Brasil","Marinho, Michelly Geórgia da Silva, Cesse, Eduarda Ângela Pessoa, Bezerra, Adriana Falangola Benjamin, Sousa, Islândia Maria Carvalho de, Fontbonne, Annick, Carvalho, Eduardo Freese de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 55(6); 406-411","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302011000600007&lang=pt" 
"S0004-27302011000600008-scl","Insulin resistance in non-diabetic patients with chronic hepatitis C: what does it mean?","Souza, Aécio Flávio Meirelles de, Pace, Fábio Heleno de Lima, Chebli, Júlio Maria Fonseca, Ferreira, Lincoln Eduardo Villela Vieira de Castro","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 55(6); 412-418","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302011000600008&lang=pt" 
"S1413-65382011000400005-scl","Percursos da constituição de uma política brasileira de educação especial inclusiva","Kassar, Mônica de Carvalho Magalhães","Revista Brasileira de Educação Especial; 17(spe1); 41-58","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400005&lang=pt" 
"S1413-65382011000400008-scl","Educação especial na educação do campo: 20 anos de silêncio no GT 15","Caiado, Katia Regina Moreno, Meletti, Silvia Márcia Ferreira","Revista Brasileira de Educação Especial; 17(spe1); 93-104","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400008&lang=pt" 
"S1413-65382011000400009-scl","A política de educação especial no Brasil (1991-2011): uma análise da produção do GT15 - educação especial da ANPED","Garcia, Rosalba Maria Cardoso, Michels, Maria Helena","Revista Brasileira de Educação Especial; 17(spe1); 105-124","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400009&lang=pt" 
"S1413-65382011000400011-scl","Os 20 anos do GT educação especial: gênese, trajetória e consolidação","Ferreira, Júlio Romero, Bueno, José Geraldo Silveira","Revista Brasileira de Educação Especial; 17(spe1); 143-170","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400011&lang=pt" 
