"S0101-20612003000400035-scl","Qualidade microbiológica de águas minerais","Sant´Ana, Anderson de S., Silva, Shênia C. F. L., Farani, Ivan O. Jr., Amaral, Carlos H. R., Macedo, Vanessa F.","Food Science and Technology (Campinas); 23(); 190-194","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400035&lang=pt" 
"S0101-20612003000400036-scl","Atividade antioxidante de extratos de coentro (Coriandrum sativum L. )","Melo, Enayde de Almeida, Mancini Filho, Jorge, Guerra, Nonete Barbosa, Maciel, Giselle Rabelo","Food Science and Technology (Campinas); 23(); 195-199","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400036&lang=pt" 
"S0101-20612003000400037-scl","Monitoramento da qualidade higiênico-sanitária no processamento do &#039;&#039;leite&#039;&#039; de soja na UNISOJA, Araraquara, SP","Benedetti, Ana Claudia Elias Pião, Falcão, Deise Pasetto","Food Science and Technology (Campinas); 23(); 200-205","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400037&lang=pt" 
"S0101-20612003000400038-scl","Isoflavonas em isolados e concentrados protéicos de soja","Lui, Maria Cristina Y., Aguiar, Cláudio L., Alencar, Severino M. de, Scamparini, Adilma Regina P., Park, Yong K.","Food Science and Technology (Campinas); 23(); 206-212","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400038&lang=pt" 
"S0101-20612003000400039-scl","Validação intralaboratorial de método para determinação de aflatoxina M1 em leite por cromatografia em camada delgada","Souza, Scheilla V. C. de, Vargas, Eugênia A., Castro, Luciana de, Junqueira, Roberto G.","Food Science and Technology (Campinas); 23(); 213-220","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400039&lang=pt" 
"S0101-20612003000400030-scl","Pesquisa de Salmonella sp., Listeria sp. e microrganismos indicadores higiênico-sanitários em queijos produzidos no estado do Rio Grande do Norte","Feitosa, Terezinha, Borges, Maria de Fátima, Nassu, Renata Tieko, Azevedo, Érika Hardy Franco de, Muniz, Celli Rodrigues","Food Science and Technology (Campinas); 23(); 162-165","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400030&lang=pt" 
"S0101-20612003000400013-scl","Cinética de degradação do ácido ascórbico em ameixas liofilizadas","Gabas, Ana Lúcia, Telis-Romero, Javier, Menegalli, Florencia Cecilia","Food Science and Technology (Campinas); 23(); 66-70","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400013&lang=pt" 
"S0101-20612003000400031-scl","Aplicação da metodologia de superfície de resposta para o estudo do efeito da temperatura sobre o comportamento reológico de misturas ternárias de polpa de manga e sucos de laranja e cenoura","Branco, Ivanise Guilherme, Gasparetto, Carlos Alberto","Food Science and Technology (Campinas); 23(); 166-171","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400031&lang=pt" 
"S0100-84042003000400001-scl","Revisão taxonômica de Microlicia sect. Chaetostomoides (Melastomataceae)","Romero, Rosana","Brazilian Journal of Botany; 26(4); 429-435","Brazilian Journal of Botany","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042003000400001&lang=pt" 
"S0100-84042003000400004-scl","Morphology, reproduction and development of Hypoglossum hypoglossoides (Stackhouse) Collins &amp; Hervey (Ceramiales, Rhodophyta) from the south and southeastern Brazilian coast","Horta, Paulo A., Yokoya, Nair S., Guimarães, Silvia M.P.B., Bacci, Denise S., Oliveira, Eurico C.","Brazilian Journal of Botany; 26(4); 453-460","Brazilian Journal of Botany","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042003000400004&lang=pt" 
