"S2224-78902011000100008-sza","Analysing volatility in equity indices – A Markov approach for Botswana domestic company indices","Rao, K.S. Madhava, Moseki, K.K.","South African Journal of Industrial Engineering; 22(1); 83-98","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100008&lang=pt" 
"S1688-74682011000100005-ury","Deserción en el bachillerato y situación laboral: el caso de tres liceos cercanos a Montevideo","Lorenzo, Lucía, Ruiz Díaz, Alicia, Toyos, Verónica, Benitez, Silvia, Santos, Limber","Páginas de Educación; 4(1); 79-101","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100005&lang=pt" 
"S1688-74682011000100007-ury","Dimensiones y conddiciones de la participación: algunas notas para la reflexión","Tenti Fanfani, Emilio","Páginas de Educación; 4(1); 119-136","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100007&lang=pt" 
"S1688-74682011000100013-ury","La investigación en el aula.: Manual del docente investigador, por Marta Ascano.","de Armas Bollazzi, Stella Maris","Páginas de Educación; 4(1); 193-195","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100013&lang=pt" 
"S1688-74682011000100012-ury","Tecnología, educación y sociedad.: Algunos discursos latinoamericanos, de Eduardo García Teske (coordinador).","Silva Muñoz, Alvaro","Páginas de Educación; 4(1); 190-193","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100012&lang=pt" 
"S1688-74682011000100011-ury","Hacia una educación sin apellidos: Aportes al campo de la Educación No Formal, de Marcelo Ubal, Ximena Varón y Pablo Martinis (compiladores).","Rodríguez Bissio, Gabriela","Páginas de Educación; 4(1); 188-190","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100011&lang=pt" 
"S1688-74682011000100010-ury","Primera Jornada de Historia de la Educación Rioplatense: “El Congreso Pedagógico Internacional Americano de 1882”.","Cantarelli, Andrea","Páginas de Educación; 4(1); 183-186","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100010&lang=pt" 
"S1688-74682011000100014-ury","Sobre las ilustraciones","","Páginas de Educación; 4(1); 196-196","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100014&lang=pt" 
"S1688-74682011000100004-ury","El papel de la dirección liceal y los consejos de participación: tensiones y sugerencias prácticas","Echeverriarza, María Paz, Pereda, Cecilia, Silveira, Yanet","Páginas de Educación; 4(1); 56-77","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100004&lang=pt" 
"S1688-74682011000100006-ury","Desafíos de la educación media: inclusión y calidad educativa","Romero, Margarita","Páginas de Educación; 4(1); 105-117","Páginas de Educación","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682011000100006&lang=pt" 
