"S0100-879X2013000600521-scl","Roles of estrogen and progesterone in modulating renal nerve function in the rat kidney","Graceli, J.B., Cicilini, M.A., Bissoli, N.S., Abreu, G.R., Moysés, M.R.","Brazilian Journal of Medical and Biological Research; 46(6); 521-527","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600521&lang=pt" 
"S0100-879X2013000600513-scl","Effects of sciatic nerve transection on ultrastructure, NADPH-diaphorase reaction and serotonin-, tyrosine hydroxylase-, c-Fos-, glucose transporter 1- and 3-like immunoreactivities in frog dorsal root ganglion","Rigon, F., Rossato, D., Auler, V.B., Dal Bosco, L., Faccioni-Heuser, M.C., Partata, W.A.","Brazilian Journal of Medical and Biological Research; 46(6); 513-520","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600513&lang=pt" 
"S0100-879X2013000600465-scl","Target-directed catalytic metallodrugs","Joyner, J.C., Cowan, J.A.","Brazilian Journal of Medical and Biological Research; 46(6); 465-485","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600465&lang=pt" 
"S0100-879X2013000600486-scl","Developments in the use of nanocapsules in oncology","Yurgel, V., Collares, T., Seixas, F.","Brazilian Journal of Medical and Biological Research; 46(6); 486-501","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600486&lang=pt" 
"S0100-879X2013000600507-scl","Effects of propofol on damage of rat intestinal epithelial cells induced by heat stress and lipopolysaccharides","Tang, J., Jiang, Y., Tang, Y., Chen, B., Sun, X., Su, L., Liu, Z.","Brazilian Journal of Medical and Biological Research; 46(6); 507-512","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600507&lang=pt" 
"S0100-879X2013000600546-scl","Identification of microRNAs and mRNAs associated with multidrug resistance of human laryngeal cancer Hep-2 cells","Yin, Wanzhong, Wang, Ping, Wang, Xin, Song, Wenzhi, Cui, Xiangyan, Yu, Hong, Zhu, Wei","Brazilian Journal of Medical and Biological Research; 46(6); 546-554","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600546&lang=pt" 
"S0100-879X2013000600528-scl","Effects of rosiglitazone on serum paraoxonase activity and metabolic parameters in patients with type 2 diabetes mellitus","Atamer, Y., Atamer, A., Can, A.S., Hekimoğlu, A., Ilhan, N., Yenice, N., Koçyiğit, Y.","Brazilian Journal of Medical and Biological Research; 46(6); 528-532","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600528&lang=pt" 
"S0100-879X2013000600539-scl","Differences in prostate cancer detection between Canadian and Saudi populations","Al-Abdin, O.Z., Rabah, D.M., Badr, G., Kotb, A., Aprikian, A.","Brazilian Journal of Medical and Biological Research; 46(6); 539-545","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600539&lang=pt" 
"S1809-29502013000200002-scl","Relação do estado nutricional e dependência de ventilação mecânica em pacientes críticos oncológicos","Schleder, Juliana Carvalho, Suzumura, Doris Naoko, Matioski, Ana Cristina, Wosiacki Filho, Woldir, Costa, Cesar, Wasilewski, José Henrique Schetinni","Fisioterapia e Pesquisa; 20(2); 104-110","Fisioterapia e Pesquisa","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502013000200002&lang=pt" 
"S1809-29502013000200016-scl","Evolução de desempenho físico e força de preensão palmar em idosos assistidos por um programa de assistência domiciliar interdisciplinar em um ano","Ansai, Juliana Hotta, Glisoi, Soraia Fernandes das Neves, Silva, Tamara Oliveira da, Ferreira, Fernanda Pretti Chalet, Lunardi, Adriana Claudia, Sera, Celisa Tiemi Nakagawa","Fisioterapia e Pesquisa; 20(2); 197-202","Fisioterapia e Pesquisa","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502013000200016&lang=pt" 
