"S0103-84782016000601088-scl","Environmental enrichment for rabbits reared in cages reduces abnormal behaviors and inactivity","Ceballos, Maria Camila, Góis, Karen Camille Rocha, Carvalhal, Monique Valéria de Lima, Costa, Franciely de Oliveira, Costa, Mateus Paranhos da","Ciência Rural; 46(6); 1088-1093","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601088&lang=pt" 
"S0103-84782016000600984-scl","Nitrogen dose and type of herbicide used for growth regulation on the green coloration intensity of Emerald grass","Gazola, Raíssa Pereira Dinalli, Buzetti, Salatiér, Gazola, Rodolfo de Niro, Castilho, Regina Maria Monteiro de, Teixeira Filho, Marcelo Carvalho Minhoto, Celestrino, Thiago de Souza, Dupas, Elisângela","Ciência Rural; 46(6); 984-990","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000600984&lang=pt" 
"S0103-84782016000601025-scl","Forage performance of  Paspalum hybrids from an interspecific cross","Motta, Eder Alexandre Minski da, Dall&#039;Agnol, Miguel, Nascimento, Felipe Link, Pereira, Emerson André, Machado, Juliana Medianeira, Barbosa, Marlon Risso, Simioni, Carine, Ferreira, Priscila Becker","Ciência Rural; 46(6); 1025-1031","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601025&lang=pt" 
"S0103-84782016000601076-scl","Phosphorus on performance, hematological, biochemical, and bone parameters of growing pigs","Drews, Jana Euclydes, Haese, Douglas, Kill, João Luís, Lorenzoni, Lucas Lemke, Pimentel, Rafael Bozini, Molino, Juliano Pelição, Saraiva, Alysson, Possatti, Carolina D&#039;Ávila","Ciência Rural; 46(6); 1076-1081","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601076&lang=pt" 
"S0103-84782016000601007-scl","Substrate and irrigation scheme on the growth of Parapiptadenia rigida (angico-vermelho) seedlings","Dutra, Adriana Falcão, Araujo, Maristela Machado, Turchetto, Felipe, Rorato, Daniele Guarienti, Aimi, Suelen Carpenedo, Gomes, Daniele Rodrigues, Nishijima, Toshio","Ciência Rural; 46(6); 1007-1013","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601007&lang=pt" 
"S0103-84782016000601082-scl","Endogenous losses and true digestibility of phosphorus in rice bran with or without phytase determined with piglets","Lucca, Walter, Alves, Débora Aline, Rocha, Leonardo Tombesi da, Shirmann, Graciele Dalise, Camargo, Claudiele Aparecida do Santos, Figueiredo, Andriele Medianeira, Zanella, Irineo, Oliveira, Vladimir de","Ciência Rural; 46(6); 1082-1087","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601082&lang=pt" 
"S0103-84782016000600970-scl","Decomposition and nutrient release of leguminous green manure species in the Jaguaribe-Apodi region, Ceará, Brazil","Pereira, Natanael Santiago, Soares, Ismail, Miranda, Fábio Rodrigues de","Ciência Rural; 46(6); 970-975","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000600970&lang=pt" 
"S0103-84782016000601119-scl","Oral single dose of allopurinol in thoroughbred foals born from mares with placentitis","Araujo, Luciana Oliveira de, Nogueira, Carlos Eduardo Wayne, Pazinato, Fernanda Maria, Frey Junior, Friedrich, Paixão, Silvano Costa, Souza, Letícia da Silva, Curcio, Bruna da Rosa","Ciência Rural; 46(6); 1119-1125","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601119&lang=pt" 
"S0103-84782016000601044-scl","Enzymatic activity in braúna seeds subjected to thermal stress","Ataíde, Glauciana da Mata, Borges, Eduardo Euclydes de Lima e, Flores, Andressa Vasconcelos","Ciência Rural; 46(6); 1044-1049","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601044&lang=pt" 
"S0103-84782016000600957-scl","Biomass and carbon stock from  Pinus  caribaea var.  hondurensis under homogenous stands in southwest Bahia, Brazil","Lima, Máida Cynthia Duca de, Barreto-Garcia, Patrícia Anjos Bittencourt, Sanquetta, Carlos Roberto, Novaes, Adalberto Brito de, Melo, Lara Clímaco de","Ciência Rural; 46(6); 957-962","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000600957&lang=pt" 
