"S1665-12002011000100001-mex","Presentación","Ivanovici, Victor","Tópicos del seminario; (25); 5-13","Tópicos del seminario","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002011000100001&lang=pt" 
"S1665-12002011000100002-mex","Lingüística interpretativa y fundamentos semióticos de la traducción","Rastier, François","Tópicos del seminario; (25); 15-52","Tópicos del seminario","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002011000100002&lang=pt" 
"S1665-12002011000100003-mex","Algunas reflexiones en torno a la traducción como representación","Calfoglou, Christine","Tópicos del seminario; (25); 53-75","Tópicos del seminario","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002011000100003&lang=pt" 
"S1665-12002011000100004-mex","&#039;Textemas&#039; vs. &#039;repertoremas&#039; en la traducción","Even-Zohar, Itamar","Tópicos del seminario; (25); 77-83","Tópicos del seminario","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002011000100004&lang=pt" 
"S1665-12002011000100005-mex","La traducción de proverbios y la búsqueda de equivalencia","Cobelo, Silvia","Tópicos del seminario; (25); 85-111","Tópicos del seminario","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002011000100005&lang=pt" 
"S1665-12002011000100006-mex","Poetas como traductólogos: el caso de los Premios Nobel griegos Yorgos Seferis y Odysseus Elytis","Connolly, David","Tópicos del seminario; (25); 113-138","Tópicos del seminario","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002011000100006&lang=pt" 
"S1665-12002011000100007-mex","Hacia una poética de la traducción","Ivanovici, Victor","Tópicos del seminario; (25); 139-160","Tópicos del seminario","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002011000100007&lang=pt" 
"S1665-12002011000100008-mex","La traducción: entre lo universal y lo local","Venuti, Lawrence","Tópicos del seminario; (25); 161-179","Tópicos del seminario","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002011000100008&lang=pt" 
"S0006-87052011000300008-scl","Espaçamentos entrelinhas e entre plantas no crescimento e na produção de repolho roxo","Silva, Gilson Silverio da, Filho, Arthur Bernardes Cecílio, Barbosa, José Carlos, Alves, Anarlete Ursulino","Bragantia; 70(3); 538-543","Bragantia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052011000300008&lang=pt" 
"S0006-87052011000300017-scl","Modelos espectrais terrestres e orbitais na determinação de teores de atributos dos solos: potencial e custos","Sousa Junior, José Geraldo, Demattê, José A. M, Araújo, Suzana Romeiro","Bragantia; 70(3); 610-621","Bragantia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052011000300017&lang=pt" 
