"S2236-34592017000100011-scl","APRESENTAÇÃO DA ENTREVISTA COM ANTONIO VIÑAO FRAGO","Bastos, Maria Helena Camara","História da Educação; 21(51); 11-13","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100011&lang=pt" 
"S2236-34592017000100015-scl","A PESQUISA EM HISTÓRIA DA EDUCAÇÃO - TESTEMUNHO DE UM AUTOR: ENTREVISTA COM ANTONIO VIÑAO FRAGO","Bastos, Maria Helena Camara","História da Educação; 21(51); 15-31","História da Educação","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100015&lang=pt" 
"S2236-34592017000100005-scl","VER MELHOR PARA COMPREENDER O PRESENTE E O PASSADO: 20 ANOS DE HISTÓRIA DA EDUCAÇÃO","Stephanou, Maria","História da Educação; 21(51); 5-9","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100005&lang=pt" 
"S2236-34592017000100085-scl","ENTRAVES NO ENSINO DA LÍNGUA PORTUGUESA NAS ESCOLAS ITALIANAS PRIVADAS CURITIBANAS E PAULISTANAS (1883-1907)","Maschio, Elaine Cátia Falcade, Prado, Eliane Mimesse","História da Educação; 21(51); 85-100","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100085&lang=pt" 
"S2236-34592017000100377-scl","ESCOLARIZAÇÃO E TERRITORIALIDADE NA CIDADE REPUBLICANA: BELO HORIZONTE (1897-1912)","Gouvea, Maria Cristina Soares, Nicácio, Karina","História da Educação; 21(51); 377-396","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100377&lang=pt" 
"S2236-34592017000100419-scl","CONTENIDOS URBANÍSTICOS EN LA CARRERA DE ABOGACÍA DE LA UNIVERSIDAD NACIONAL DEL LITORAL (ARGENTINA, 1920-1948)","Levrand, Norma Elizabeth","História da Educação; 21(51); 419-434","História da Educação","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100419&lang=pt" 
"S2236-34592017000100033-scl","DA ITÁLIA AO BRASIL: PROCESSOS EDUCATIVOS E FORMATIVOS, SÉCULOS 19 E 20","Barausse, Alberto, Luchese, Terciane Ângela","História da Educação; 21(51); 33-40","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100033&lang=pt" 
"S2236-34592017000100317-scl","ESCOLAS ÉTNICAS POLONESAS NO RIO GRANDE DO SUL (1875-1939)","Malikoski, Adriano, Kreutz, Lúcio","História da Educação; 21(51); 317-331","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100317&lang=pt" 
"S2236-34592017000100187-scl","O ARQUIVO PESSOAL DO PROFESSOR CATARINENSE ELPÍDIO BARBOSA (1909-1966): DO TRAÇADO MANUAL AO REGISTRO DIGITAL","Cunha, Maria Teresa Santos","História da Educação; 21(51); 187-206","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100187&lang=pt" 
"S2236-34592017000100253-scl","VIAGEM EDUCACIONAL AO URUGUAI EM 1913: IMPRESSÕES DOS PROFESSORES RIO-GRANDENSES ACERCA DAS ESCOLAS DE MONTEVIDÉO","Michel, Caroline Braga, Arriada, Eduardo","História da Educação; 21(51); 253-270","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100253&lang=pt" 
"S2236-34592017000100449-scl","A HISTÓRIA DA IMPRENSA PERIÓDICA PARA A INFÂNCIA E A JUVENTUDE ITALIANA","Bastos, Maria Helena Camara","História da Educação; 21(51); 449-452","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100449&lang=pt" 
"S2236-34592017000100229-scl","DISCURSO PEDAGÓGICO Y DEFENSA DEL MAGISTERIO EN RUFINO CARPENA MONTESINOS","Garcia, Bernat Sureda, Gómez, Sara González","História da Educação; 21(51); 229-251","História da Educação","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100229&lang=pt" 
"S2236-34592017000100333-scl","ORÍGENES Y PRINCIPALES EXPONENTES DEL LAICISMO, EN SU VERTIENTE EDUCATIVA, EN CHILE","Caiceo Escudero, Jaime","História da Educação; 21(51); 333-350","História da Educação","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100333&lang=pt" 
"S2236-34592017000100397-scl","LOS MINISTROS DE EDUCACIÓN EN ARGENTINA (1854-2015): ANÁLISIS DE LOS PERFILES PROFESIONALES DE LAS ELITES POLÍTICAS","Rodríguez, Laura Graciela","História da Educação; 21(51); 397-417","História da Educação","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100397&lang=pt" 
