"S1413-81232016000300955-spa","Desempleo y salud mental en la población de origen hispano en Estados Unidos: un análisis epidemiológico","Caicedo, Maritza, van Gameren, Edwin","Ciência &amp; Saúde Coletiva; 21(3); 955-966","Ciência &amp; Saúde Coletiva","Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300955&lang=pt" 
"S1413-81232016000300661-scl","The human right to water and sanitation: a new perspective for public policies","Brown, Colin, Neves-Silva, Priscila, Heller, Léo","Ciência &amp; Saúde Coletiva; 21(3); 661-670","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300661&lang=pt" 
"S1413-81232016000300833-spa","El surgimiento de las profesiones médicas [re]habilitadoras y la infancia: historia entretejida de tensiones teóricas","Pava-Ripoll, Nora Aneth, Granada-Echeverry, Patricia","Ciência &amp; Saúde Coletiva; 21(3); 833-842","Ciência &amp; Saúde Coletiva","Inglês, Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300833&lang=pt" 
"S1413-81232016000300719-scl","Determinants in implementing a public policy for an essential volume of free water in Bogotá and Medellín, Colombia","Vargas, Laura, Heller, Léo","Ciência &amp; Saúde Coletiva; 21(3); 719-730","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300719&lang=pt" 
"S1413-81232016000300853-spa","Sexual violence, mood disorders and suicide risk: a population-based study","Mondin, Thaíse Campos, Cardoso, Taiane de Azevedo, Jansen, Karen, Konradt, Caroline Elizabeth, Zaltron, Rosana Ferrazza, Behenck, Monalisa de Oliveira, Mattos, Luciano Dias de, Silva, Ricardo Azevedo da","Ciência &amp; Saúde Coletiva; 21(3); 853-860","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300853&lang=pt" 
"S1413-81232016000300743-scl","Gestão e uso dos recursos hídricos e a expansão do agronegócio: água para quê e para quem?","Ferreira, Marcelo José Monteiro, Viana Júnior, Mário Martins, Pontes, Andrezza Graziella Veríssimo, Rigotto, Raquel Maria, Gadelha, Diego","Ciência &amp; Saúde Coletiva; 21(3); 743-752","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300743&lang=pt" 
"S1413-81232016000300731-spa","Using satellite data to study the relationship between rainfall and diarrheal diseases in a Southwestern Amazon basin","Fonseca, Paula Andrea Morelli, Hacon, Sandra de Souza, Reis, Vera Lúcia, Costa, Duarte, Brown, Irving Foster","Ciência &amp; Saúde Coletiva; 21(3); 731-742","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300731&lang=pt" 
"S1413-81232016000300977-spa","Situação da alimentação complementar de crianças entre 6 e 24 meses assistidas na Rede de Atenção Básica de Saúde de Macaé, RJ, Brasil","Marinho, Leticia Maia Forte, Capelli, Jane de Carlos Santana, Rocha, Camilla Medeiros Macedo da, Bouskela, Alice, Carmo, Cleber Nascimento do, Freitas, Silvia Eliza Almeida Pereira de, Anastácio, Alexandra da Silva, Almeida, Maria Fernanda Larcher de, Pontes, Juliana da Silva","Ciência &amp; Saúde Coletiva; 21(3); 977-986","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300977&lang=pt" 
"S1413-81232016000300695-scl","Avaliação da qualidade da água de consumo por comunidades ribeirinhas em áreas de exposição a poluentes urbanos e industriais nos municípios de Abaetetuba e Barcarena no estado do Pará, Brasil","Medeiros, Adaelson Campelo, Lima, Marcelo de Oliveira, Guimarães, Raphael Mendonça","Ciência &amp; Saúde Coletiva; 21(3); 695-708","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300695&lang=pt" 
"S0717-95022016000100028-chl","Frontalis Muscle Flap Suspension Surgery for the Treatment of Blepharoptosis Based on the Anatomical Study of the Frontal Muscle Nerve in the Third of the Eyebrow","Zhang, Lianbo, Qin, Haiyan, Chen, Wanying, Wu, Zhuoxia, Li, Zhi, Kong, Jiao, Chen, Feifei, Jiang, Xingchao, Zhang, Guang","International Journal of Morphology; 34(1); 197-204","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000100028&lang=pt" 
"S1413-81232016000300987-scl","Silva GTR. Residência Multiprofissional em Saúde: vivências e cenários da formação . São Paulo: Martinari; 2013.","Souza, Thaísa Anders Carvalho","Ciência &amp; Saúde Coletiva; 21(3); 987-988","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300987&lang=pt" 
"S0001-60022016000100036-cri","El trabajo médico","Gutiérrez-Sotelo, Oswaldo","Acta Médica Costarricense; 58(1); 36-37","Acta Médica Costarricense","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022016000100036&lang=pt" 
"S1413-81232016000300658-spa","Água e saúde coletiva: uma agenda em atualização","Heller, Léo, Buss, Daniel F., Barraqué, Bernard","Ciência &amp; Saúde Coletiva; 21(3); 658-660","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300658&lang=pt" 
"S1413-81232016000300658-scl","Água e saúde coletiva: uma agenda em atualização","Heller, Léo, Buss, Daniel F., Barraqué, Bernard","Ciência &amp; Saúde Coletiva; 21(3); 658-660","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300658&lang=pt" 
"S1413-81232016000300987-spa","Silva GTR. Residência Multiprofissional em Saúde: vivências e cenários da formação . São Paulo: Martinari; 2013.","Souza, Thaísa Anders Carvalho","Ciência &amp; Saúde Coletiva; 21(3); 987-988","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300987&lang=pt" 
"S1413-81232016000300753-spa","Impacto na saúde humana de disruptores endócrinos presentes em corpos hídricos: existe associação com a obesidade?","Pontelli, Regina Célia Nucci, Nunes, Altacilio Aparecido, Oliveira, Sonia Valle Walter Borges de","Ciência &amp; Saúde Coletiva; 21(3); 753-766","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300753&lang=pt" 
"S1413-81232016000300753-scl","Impacto na saúde humana de disruptores endócrinos presentes em corpos hídricos: existe associação com a obesidade?","Pontelli, Regina Célia Nucci, Nunes, Altacilio Aparecido, Oliveira, Sonia Valle Walter Borges de","Ciência &amp; Saúde Coletiva; 21(3); 753-766","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300753&lang=pt" 
"S1413-81232016000300935-scl","Fatores associados ao crescimento linear de crianças socialmente vulneráveis do Estado da Paraíba, Brasil","Pedraza, Dixis Figueroa, Sales, Márcia Cristina, Menezes, Tarciana Nobre de","Ciência &amp; Saúde Coletiva; 21(3); 935-946","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300935&lang=pt" 
"S1413-81232016000300809-spa","Desastres relacionados à seca e saúde coletiva – uma revisão da literatura científica","Alpino, Tais Ariza, Sena, Aderita Ricarda Martins de, Freitas, Carlos Machado de","Ciência &amp; Saúde Coletiva; 21(3); 809-820","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300809&lang=pt" 
"S1413-81232016000300955-scl","Desempleo y salud mental en la población de origen hispano en Estados Unidos: un análisis epidemiológico","Caicedo, Maritza, van Gameren, Edwin","Ciência &amp; Saúde Coletiva; 21(3); 955-966","Ciência &amp; Saúde Coletiva","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300955&lang=pt" 
"S1413-81232016000300809-scl","Desastres relacionados à seca e saúde coletiva – uma revisão da literatura científica","Alpino, Tais Ariza, Sena, Aderita Ricarda Martins de, Freitas, Carlos Machado de","Ciência &amp; Saúde Coletiva; 21(3); 809-820","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300809&lang=pt" 
