"S1414-98932010000400009-scl","Relações entre autoeficácia e motivação acadêmica","Martinelli, Selma de Cássia, Sassi, Adriana de Grecci","Psicologia: Ciência e Profissão; 30(4); 780-791","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400009&lang=pt" 
"S1414-98932010000400011-scl","Debates entre pais e mães divorciados: um trabalho com grupos","Brito, Leila Maria Torraca de, Cardoso, Andréia Ribeiro, Oliveira, Juliane Dominoni Gomes de","Psicologia: Ciência e Profissão; 30(4); 810-823","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400011&lang=pt" 
"S1414-98932010000400014-scl","Encontros e desencontros entre Psicologia e Política: formando, deformando e transformando profissionais de saúde","Reis, Carolina dos, Guareschi, Neuza Maria de Fátima","Psicologia: Ciência e Profissão; 30(4); 854-867","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400014&lang=pt" 
"S1414-98932010000400015-scl","Intervenção grupal em pacientes com obesidade e seus familiares: relato de experiência","Bayer, Aline Attene de Almeida, Vasco, Camila Carrascoza, Lopes, Sandra Ribeiro de Almeida, Teixeira, Cristina Jeldes Carrascosa","Psicologia: Ciência e Profissão; 30(4); 868-881","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400015&lang=pt" 
"S1414-98932010000400016-scl","Programa de intensificação de cuidados: experiência docente-assistencial em Psicologia e reforma Psiquiátrica","Silva, Marcus Vinicius de Oliveira, Costa, Fernanda Rebouças Maia, Neves, Luane Matos","Psicologia: Ciência e Profissão; 30(4); 882-895","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400016&lang=pt" 
"S1414-98932010000400004-scl","Estresse e fatores psicossociais","Reis, Ana Lúcia Pellegrini Pessoa dos, Fernandes, Sônia Regina Pereira, Gomes, Almiralva Ferraz","Psicologia: Ciência e Profissão; 30(4); 712-725","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400004&lang=pt" 
"S1414-98932010000400008-scl","Quando a forma importa: o efeito de configuração de mensagens na tomada de decisão","Tonetto, Leandro Miletto, Brust, Priscila Goergen, Stein, Lilian Milnitsky","Psicologia: Ciência e Profissão; 30(4); 766-779","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400008&lang=pt" 
"S1414-98932010000400007-scl","Relação entre percepção e comportamento de risco e níveis de habilidades cognitivas em um grupo de adolescentes em situação de vulnerabilidade social","Paulino, Janaina Aparecida, Lopes, Renata Ferrarez Fernandes","Psicologia: Ciência e Profissão; 30(4); 752-765","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400007&lang=pt" 
"S1025-55832010000400001-per","","Pacheco Romero, José","Anales de la Facultad de Medicina; 71(4); 221-222","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400001&lang=pt" 
"S1025-55832010000400002-per","La hipertensión arterial: lo que tenemos hasta hoy","Quiroz, Guillermo","Anales de la Facultad de Medicina; 71(4); 223-224","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400002&lang=pt" 
"S1025-55832010000400010-per","Efecto del extracto alcohólico de Mimosa pudica (mimosa) sobre la fertilidad en ratas","Arroyo, Jorge, Almora, Yuan, Condorhuamán, Martín, Barreda, Alejandro, Flores, Marlene, Jurado, Berta, Cisneros, Braulio","Anales de la Facultad de Medicina; 71(4); 265-270","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400010&lang=pt" 
"S1025-55832010000400011-per","Pacientes amputados por accidentes de trabajo: características y años acumulados de vida productiva potencial perdidos","Camacho-Conchucos, Herminio Teófilo","Anales de la Facultad de Medicina; 71(4); 271-275","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400011&lang=pt" 
"S1025-55832010000400012-per","Factores asociados a síntomas depresivos en trabajadoras sexuales","Bohórquez, Ingrid Mercedes, Caballero, Sandy, Carrera, Lourdes, Chávez, Rosario, Espinoza, Rocío, Flores, Letsie, Llanos, Miguel, Luna, Elena, Vega, Juan, Vera, José, Salvatierra, Héctor, Pereyra, Héctor","Anales de la Facultad de Medicina; 71(4); 277-282","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400012&lang=pt" 
"S1025-55832010000400013-per","Influenza A (H1N1) en pacientes pediátricos con comorbilidad crónica","Aranda-Paniora, Franklin, Reaño-Salazar, Rómulo","Anales de la Facultad de Medicina; 71(4); 283-287","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400013&lang=pt" 
