"S0120-25962015000100002-col","Evaluación empírica de una función de reacción fiscal para Colombia en el período 2000-2012","Galvis, Juan","Lecturas de Economía; (82); 57-92","Lecturas de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-25962015000100002&lang=pt" 
"S0120-25962015000100003-col","Tómelo o déjelo! Evidencia experimental sobre racionalidad, preferencias sociales y negociación","Palacio, Luis, Parra, Daniel","Lecturas de Economía; (82); 93-125","Lecturas de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-25962015000100003&lang=pt" 
"S0120-25962015000100001-col","Desagregación temporal: una metodología multivariada alternativa","Hurtado, Jorge, Melo, Luis","Lecturas de Economía; (82); 11-55","Lecturas de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-25962015000100001&lang=pt" 
"S0120-25962015000100006-col","Demografía industrial: un estudio sobre relocalización de firmas en Colombia, 1995-2012","Londoño, Charle","Lecturas de Economía; (82); 189-217","Lecturas de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-25962015000100006&lang=pt" 
"S0120-25962015000100007-col","Beneficio económico de Transmetro sobre la reducción de la accidentalidad vial en el área metropolitana de Barranquilla, Colombia","Perdomo, Jorge, Arzuza, Maria","Lecturas de Economía; (82); 219-245","Lecturas de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-25962015000100007&lang=pt" 
"S0120-25962015000100004-col","Análisis de la actividad femenina y la fecundidad en España mediante modelos de elección discreta","Alonso-Antón, Aurora, Fernández-Sainz, Ana, Rincón-Diez, Virginia","Lecturas de Economía; (82); 127-157","Lecturas de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-25962015000100004&lang=pt" 
"S0120-25962015000100005-col","Impacto del seguro subsidiado en el acceso y el uso de servicios de salud: el caso de Medellín, Colombia","Atehortua, Sara, Palacio, Lina","Lecturas de Economía; (82); 159-188","Lecturas de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-25962015000100005&lang=pt" 
"S0120-25962015000100008-col","Caracterización socioeconómica de la comunidad artesanal de Nariño, Colombia","Ortiz, Manuel, López, Richard","Lecturas de Economía; (82); 247-281","Lecturas de Economía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-25962015000100008&lang=pt" 
"S0100-512X2015000100239-scl","A ORGANIZAÇÃO POLÍTICA NO SÉCULO XIV SEGUNDO O &quot;TRATADO SOBRE A MOEDA&quot; DE NICOLE ORESME","Custódio, Sueli Sampaio Damin","Kriterion: Revista de Filosofia; 56(131); 239-252","Kriterion: Revista de Filosofia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-512X2015000100239&lang=pt" 
"S1809-68912015000200243-scl","CARACTERÍSTICAS DO SÊMEN CAPRINO DESCONGELADO APÓS A ADIÇÃO DE RINGER LACTATO, CITRATO DE SÓDIO E SOLUÇÃO TRIS","Dias, Júlio Cesar Oliveira, Santos, Madriano Christilis da Rocha, Penitente Filho, Jurandy Mauro, Oliveira, Gisele Dias, Mendes, Vivian Rachel Araujo, Mancio, Antonio Bento","Ciência Animal Brasileira; 16(2); 243-250","Ciência Animal Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912015000200243&lang=pt" 
