"S0102-71822016000300552-scl","A ATUALIDADE DAS TEORIAS CRÍTICAS E A REVITALIZAÇÃO DA CATEGORIA ANALÍTICA &quot;IDEOLOGIA&quot; NA PSICOLOGIA SOCIAL","Guareschi, Pedrinho A., Roso, Adriane, Amon, Denise","Psicologia &amp; Sociedade; 28(3); 552-561","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300552&lang=pt" 
"S2175-80262016000300045-scl","O Discurso Citado na Macroestrutura Textual de Artigos Científicos de Jovens Pesquisadores","Bessa, José Cezinaldo Rocha","Ilha do Desterro; 69(3); 45-61","Ilha do Desterro","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300045&lang=pt" 
"S2175-80262016000300125-scl","Ações do Laboratório de Letramento Acadêmico da Universidade de São Paulo: Promovendo a Escrita Acadêmica na Graduação e na Pós-graduação","Ferreira, Marília Mendes, Lousada, Eliane Gouvêa","Ilha do Desterro; 69(3); 125-140","Ilha do Desterro","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300125&lang=pt" 
"S0102-71822016000300537-scl","A PSICOLOGIA SOCIAL DE THEODOR ADORNO NA PRODUÇÃO BRASILEIRA (1984-2015)","Câmara, Rodrigo Siqueira, Franciscatti, Kety Valéria Simões","Psicologia &amp; Sociedade; 28(3); 537-551","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300537&lang=pt" 
"S0102-71822016000300423-scl","REDES EM CONEXÃO COM A TEORIA ATOR-REDE NA PSICOLOGIA NO BRASIL","Méllo, Ricardo Pimentel, Spink, Mary Jane, Menegon, Vera Mincoff","Psicologia &amp; Sociedade; 28(3); 423-432","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300423&lang=pt" 
"S0122-20662016000200008-col","Una memoria incómoda. La guerra de Malvinas en los gobiernos kirchneristas (2003-2015)","Perochena, Camila","Anuario de Historia Regional y de las Fronteras; 21(2); 173-191","Anuario de Historia Regional y de las Fronteras","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-20662016000200008&lang=pt" 
"S0122-20662016000200011-col","Tolerancia religiosa en el republicanismo. El caso de Carlos E. Restrepo","Carballo, Fabio Hernán","Anuario de Historia Regional y de las Fronteras; 21(2); 249-263","Anuario de Historia Regional y de las Fronteras","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-20662016000200011&lang=pt" 
"S0122-20662016000200007-col","La Conquista en la obra de Ernesto Restrepo Tirado. Un pionero de los estudios prehispánicos en la Academia Colombiana de Historia (1902-1934)","Calderón Patiño, Sol Alejandra, Fernández Villa, Alfonso","Anuario de Historia Regional y de las Fronteras; 21(2); 149-171","Anuario de Historia Regional y de las Fronteras","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-20662016000200007&lang=pt" 
"S0122-20662016000200006-col","Revista de las Indias (1938-1950): La difusión cultural y el mundo letrado","Betancourt Mendieta, Alexander","Anuario de Historia Regional y de las Fronteras; 21(2); 125-147","Anuario de Historia Regional y de las Fronteras","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-20662016000200006&lang=pt" 
"S0122-20662016000200013-col","Medicalización y cólera en Córdoba a fines del siglo XIX. Las epidemias de 1867-68 y 1886-87","Carbonetti, Adrián","Anuario de Historia Regional y de las Fronteras; 21(2); 285-309","Anuario de Historia Regional y de las Fronteras","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-20662016000200013&lang=pt" 
"S0122-20662016000200012-col","El río Meta y los proyectos para la integración de los Llanos Orientales colombianos, desde la Colonia hasta el siglo XXI","Ardila Luna, Diana Carolina","Anuario de Historia Regional y de las Fronteras; 21(2); 265-283","Anuario de Historia Regional y de las Fronteras","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-20662016000200012&lang=pt" 
