"S1414-32832015000601101-spa","A Estratégia de Saúde da Família no setor suplementar: a adoção do modelo de atenção primária na empresa de autogestão","Barbosa, Mayara Lima, Celino, Suely Deysny de Matos, Costa, Gabriela Maria Cavalcanti","Interface - Comunicação, Saúde, Educação; 19(55); 1101-1108","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601101&lang=pt" 
"S1414-32832015000601039-spa","Receituário Mais que Especial: uma intervenção urbana para pensar arte e pesquisa no contexto da Reforma Psiquiátrica","Zanchet, Lívia, Palombini, Analice de Lima, Yasui, Silvio","Interface - Comunicação, Saúde, Educação; 19(55); 1039-1050","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601039&lang=pt" 
"S1981-77462015000300709-scl","O TRABALHO EM EQUIPE NA ENFERMAGEM E OS LIMITES E POSSIBILIDADES DA ESTRATÉGIA SAÚDE DA FAMÍLIA","Duarte, Maria de Lourdes Custódio, Boeck, Jocemara Neves","Trabalho, Educação e Saúde; 13(3); 709-720","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000300709&lang=pt" 
"S1414-32832015000401243-scl","Historia de la salud argentina y latinoamericana: una experiencia innovadora en la carrera de Medicina","Sacchetti, Laura, Belardo, Marcela Beatriz","Interface - Comunicação, Saúde, Educação; 19(55); 1243-1252","Interface - Comunicação, Saúde, Educação","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401243&lang=pt" 
"S1414-32832015000601109-spa","Itinerários de cuidados à saúde de mulheres com história de síndromes hipertensivas na gestação","Xavier, Rozânia Bicego, Bonan, Claudia, Silva, Kátia Silveira da, Nakano, Andreza Rodrigues","Interface - Comunicação, Saúde, Educação; 19(55); 1109-1120","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601109&lang=pt" 
"S0100-879X2015001201122-scl","Hypertension is associated with greater heat exchange during exercise recovery in a hot environment","Fonseca, S. F., Teles, M. C., Ribeiro, V. G. C., Magalhães, F. C., Mendonça, V. A., Peixoto, M. F. D., Leite, L. H. R., Coimbra, C. C., Lacerda, A. C. R.","Brazilian Journal of Medical and Biological Research; 48(12); 1122-1129","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001201122&lang=pt" 
"S0100-879X2015001201130-scl","Association between NOx exposure and deaths caused by respiratory diseases in a medium-sized Brazilian city","César, A. C. G., Carvalho Jr., J. A., Nascimento, L. F. C.","Brazilian Journal of Medical and Biological Research; 48(12); 1130-1135","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001201130&lang=pt" 
"S0100-879X2015001201136-scl","Use of the Wasserman equation in optimization of the duration of the power ramp in a cardiopulmonary exercise test: a study of Brazilian men","Costa, D. C., Santi, G. L. de, Crescêncio, J. C., Seabra, L. P., Carvalho, E. E. V., Papa, V., Marques, F., Gallo Junior, L., Schmidt, A.","Brazilian Journal of Medical and Biological Research; 48(12); 1136-1144","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001201136&lang=pt" 
"S0100-879X2015001201145-scl","Computed tomography findings of hepatic veno-occlusive disease caused by Sedum aizoon with histopathological correlation","Shao, H., Chen, H. Z., Zhu, J. S., Ruan, B., Zhang, Z. Q., Lin, X., Gan, M. F.","Brazilian Journal of Medical and Biological Research; 48(12); 1145-1150","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001201145&lang=pt" 
"S0187-73722015000200004-mex","Entre recursos y riesgos compartidos: La necesaria construcción de una visión crítica de cuenca transfronteriza en el río Grijalva","Álvarez Gordillo, Guadalupe del Carmen, Laako, Hanna","Frontera norte; 27(54); 73-98","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000200004&lang=pt" 
"S0187-73722015000200005-mex","Tiempo de salida de la pobreza en áreas urbanas y rurales de México","Lobato Martínez, David","Frontera norte; 27(54); 99-121","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000200005&lang=pt" 
"S0102-44502015000200307-scl","A construção da significação da experiência do abuso sexual infantil através da narrativa: uma perspectiva interacional","SELL, Mariléia, OSTERMANN, Ana Cristina","DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada; 31(2); 307-332","DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-44502015000200307&lang=pt" 
"S0102-44502015000200411-scl","Ensino de língua estrangeira como prática translíngue: articulações com teorizações bakhtinianas","ROCHA, Cláudia Hilsdorf, MACIEL, Ruberval Franco","DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada; 31(2); 411-445","DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-44502015000200411&lang=pt" 
"S1405-22532015000300008-mex","Llamarse Martínez Negrete: Familia, redes y economía en Guadalajara, México, siglo XIX","Valerio Ulloa, Sergio","América Latina en la historia económica; 22(3); 247-253","América Latina en la historia económica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532015000300008&lang=pt" 
"S1405-22532015000300002-mex","Alternativas del intervencionismo estatal en la agroindustria del azúcar: Argentina y Brasil, 1880-1938","Campi, Daniel, Moura Filho, Heitor Pinto de, Bravo, María Celia","América Latina en la historia económica; 22(3); 44-75","América Latina en la historia económica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532015000300002&lang=pt" 
"S1405-22532015000300003-mex","Redimensionando a contribuição de Roberto Simonsen à controvérsia do planejamento (1944-1945)","Curi, Luiz Felipe Bruzzi, Cunha, Alexandre Mendes","América Latina en la historia económica; 22(3); 76-107","América Latina en la historia económica","Português","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532015000300003&lang=pt" 
"S1405-22532015000300005-mex","A internacionalização de empresas brasileiras de bens de capital: o caso da Romi e da Weg","Marson, Michel D., Costa, Armando João Dalla","América Latina en la historia económica; 22(3); 145-176","América Latina en la historia económica","Português","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532015000300005&lang=pt" 
"S1405-22532015000300006-mex","La fiabilidad en la distribución geográfica de las exportaciones argentinas, 1875-1913","Carreras-Marín, Anna, Rayes, Agustina","América Latina en la historia económica; 22(3); 177-212","América Latina en la historia económica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532015000300006&lang=pt" 
"S1405-22532015000300010-mex","El mercado taurino en los inicios de la tauromaquia moderna","Gil Lázaro, Alicia","América Latina en la historia económica; 22(3); 257-263","América Latina en la historia económica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532015000300010&lang=pt" 
"S1405-22532015000300009-mex","Economía, ciencia y política: Estudios sobre Alexander von Humboldt a 200 años del Ensayo político del reino de la Nueva España","Quiroz, Enriqueta","América Latina en la historia económica; 22(3); 253-257","América Latina en la historia económica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532015000300009&lang=pt" 
"S0188-66492015000200004-mex","También explotación, pero no sólo: Un diálogo imprescindible y polémico entre Marx y Karl Polanyi","Polo Blanco, Jorge","Tópicos (México); (49); 81-121","Tópicos (México)","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-66492015000200004&lang=pt" 
"S1981-57942015000300523-scl","Os significados de escrever no ensino superior: a produção textual no discurso de professores e alunos de um curso de Letras","QUEIROZ, Maria Eliete de, BESSA, José Cezinaldo Rocha, JALES, Adriana Morais","Alfa : Revista de Linguística (São José do Rio Preto); 59(3); 523-538","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942015000300523&lang=pt" 
"S1981-57942015000300605-scl","Nouvelles conversations avec Jacques Fontanille","PORTELA, Jean Cristtus","Alfa : Revista de Linguística (São José do Rio Preto); 59(3); 605-633","Alfa : Revista de Linguística (São José do Rio Preto)","Francês, Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942015000300605&lang=pt" 
"S0103-90162015000600535-scl","Characterization of potential CO2 emissions in agricultural areas using magnetic susceptibility","Leal, Fábio Tiraboschi, França, Ana Beatriz Coelho, Siqueira, Diego Silva, Teixeira, Daniel De Bortoli, Marques Júnior, José, Scala Júnior, Newton La","Scientia Agricola; 72(6); 535-539","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000600535&lang=pt" 
"S0103-90162015000600495-scl","Influence of animal fat substitution by vegetal fat on Mortadella-type products formulated with different hydrocolloids","Saldaña, Erick, Lemos, Ana Lúcia da Silva Corrêa, Selani, Miriam Mabel, Spada, Fernanda Papa, Almeida, Marcio Aurélio de, Contreras-Castillo, Carmen Josefina","Scientia Agricola; 72(6); 495-503","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000600495&lang=pt" 
"S0103-90162015000600489-scl","Buttonweed emergence as affected by seed burial depth and straw on the soil surface","Martins, Bianca Assis Barbosa, Christoffoleti, Pedro Jacob","Scientia Agricola; 72(6); 489-494","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000600489&lang=pt" 
"S0103-90162015000600484-scl","Xaraés palisadegrass remains productive after the disappearance of stylo in tropical legume-grass pasture","Menezes, Rodrigo Carvalho, Alves, Eveline Bueno, Casagrande, Daniel Rume, Lara, Márcio André Stefanelli, Evangelista, Antônio Ricardo, Bernardes, Thiago Fernandes","Scientia Agricola; 72(6); 484-488","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000600484&lang=pt" 
"S1981-77462015000300829-scl","Listagem de pareceristas ad hoc do volume 13 (ano 2015)","","Trabalho, Educação e Saúde; 13(3); 829-834","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000300829&lang=pt" 
"S1029-30432015000400013-cub","Prevención del desdentamiento: un reto para los servicios estomatológicos ante el envejecimiento poblacional","Monteagudo Santiago, Janet, Monteagudo Santiago, Daeleé","Medicentro Electrónica; 19(4); 274-276","Medicentro Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30432015000400013&lang=pt" 
