"S1809-29502010000200014-scl","Adaptação à prótese híbrida de extremidade superior: estudo termográfico de um caso","Luz, Soraia Cristina Tonon da, Oliveira, Thessaly Puel de, Andrade, Mário César de, Ávila, Aluísio Otávio Vargas, Rosa, Francisco José Berral de la","Fisioterapia e Pesquisa; 17(2); 173-177","Fisioterapia e Pesquisa","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502010000200014&lang=pt" 
"S1809-29502010000200004-scl","Obesidade em idosos do Município de São Carlos, SP e sua associação com diabetes melito e dor articular","Aurichio, Thaís Rabiatti, Rebelatto, José Rubens, Castro, Alessandra Paiva de","Fisioterapia e Pesquisa; 17(2); 114-117","Fisioterapia e Pesquisa","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502010000200004&lang=pt" 
"S1809-29502010000200002-scl","Avaliação longitudinal do desenvolvimento motor e da habilidade de sentar em crianças nascidas prematuras","Formiga, Cibelle Kayenne Martins Roberto, Cezar, Maristella Elias Nascimento, Linhares, Maria Beatriz Martins","Fisioterapia e Pesquisa; 17(2); 102-107","Fisioterapia e Pesquisa","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502010000200002&lang=pt" 
"S1850-468X2010000100001-arg","Un esquema de estimación de la precipitación estival en la ciudad de Buenos Aires","Cariaga, María L., González, Marcela H.","Meteorologica; 35(1); 5-16","Meteorologica","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2010000100001&lang=pt" 
"S1850-468X2010000100002-arg","Características de la depresión del Noroeste argentino en el período 1997-2003: criterios de selección y análisis estadístico","Ferreira, Lorena, Saulo, Celeste, Seluchi, Marcelo","Meteorologica; 35(1); 17-28","Meteorologica","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2010000100002&lang=pt" 
"S1850-468X2010000100003-arg","Las masas de aire que afectan el sur de la provincia de Santa Fe y su relación con la precipitación diaria en enero","Coronel, Alejandra S., Castañeda, María E.","Meteorologica; 35(1); 29-40","Meteorologica","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2010000100003&lang=pt" 
"S1909-24742010000100001-col","EDITORIAL","Tobasura Acuña, Isaías","Luna Azul; (30); 8-9","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100001&lang=pt" 
"S1909-24742010000100003-col","DETERMINACIÓN DE LA PRODUCCIÓN DE FOLLAJE VERDE DE LA Acacia decurrens EN EL PRIMER AÑO DE SIEMBRA","FLÓREZ-OCHOA, JANCY DARLY, LÓPEZ-DUEÑEZ, ÁLVARO, RENDÓN-VÁSQUEZ, ALEJANDRO, PÉREZ-ZAPATA, JUAN MANUEL","Luna Azul; (30); 24-28","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100003&lang=pt" 
"S1909-24742010000100002-col","MONTAJE Y VALIDACIÓN DEL MÉTODO DE ANÁLISIS POR COMBUSTIÓN Y DETECCIÓN POR INFRARROJO NO DISPERSIVO PARA DETERMINACIÓN DE CARBONO ORGÁNICO TOTAL (COT) EN AGUA","CHAMORRO BOLAÑOS, XIMENA, RODRÍGUEZ MARTÍNEZ, GLORIA, ENRÍQUEZ BRAND, ALBA LUCY, ROSERO MOREANO, MILTON","Luna Azul; (30); 10-23","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100002&lang=pt" 
"S1909-24742010000100005-col","LA POLÍTICA PÚBLICA PARA LA ATENCIÓN AL DESPLAZAMIENTO FORZADO EN EL DEPARTAMENTO DE CALDAS Y EN LOS MUNICIPIOS DE RIOSUCIO Y SAMANÁ (1997-2006)","LÓPEZ BECERRA, MARIO HERNÁN","Luna Azul; (30); 60-72","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100005&lang=pt" 
"S1909-24742010000100004-col","PERCEPCIÓN ACERCA DE LA CIENCIA Y LA TECNOLOGÍA EN ESTUDIANTES Y DOCENTES DE LA UNIVERSIDAD DE CALDAS","GARTNER ISAZA, LORENA","Luna Azul; (30); 29-59","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100004&lang=pt" 
"S1909-24742010000100007-col","LA FILOSOFÍA DE LA ACCIÓN COMO BASE TEÓRICA DE LA INVESTIGACIÓN SOCIAL: EL CASO DE LAS MIGRACIONES","POSADA RAMÍREZ, JORGE GREGORIO","Luna Azul; (30); 97-107","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100007&lang=pt" 
"S1909-24742010000100006-col","DEFENSA DEL TERRITORIO NASA FRENTE A UN PARQUE NACIONAL","CORREA V, DIANA","Luna Azul; (30); 73-96","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100006&lang=pt" 
"S1909-24742010000100009-col","&quot;PRAEIZAR&quot; EL PROYECTO EDUCATIVO INSTITUCIONAL: UNA ALTERNATIVA PARA INCLUIR LA DIMENSIÓN AMBIENTAL EN LA EDUCACIÓN BÁSICA Y MEDIA","SEPÚLVEDA GALLEGO, LUZ ELENA","Luna Azul; (30); 142-163","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100009&lang=pt" 
"S1909-24742010000100008-col","MOVIMIENTO EN DEFENSA DEL LAGO DE LA COCHA, PASTO, NARIÑO, COLOMBIA (1993-2001)","TARAZONA PEDRAZA, ARIEL EDMUNDO","Luna Azul; (30); 108-141","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100008&lang=pt" 
"S1851-46692010000100001-arg","Condiciones generales para una postergación: El matadero","Bergara, Hernán","Anclajes; 14(1); 7-23","Anclajes","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-46692010000100001&lang=pt" 
"S1851-46692010000100002-arg","Sexualidad y ciudad en la poesía de Roberto Piva","Cámara, Mario","Anclajes; 14(1); 25-37","Anclajes","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-46692010000100002&lang=pt" 
"S1851-46692010000100003-arg","Literatura, espacio y poder en La tierra del fuego de Sylvia Iparraguirre","Casini, Silvia","Anclajes; 14(1); 39-50","Anclajes","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-46692010000100003&lang=pt" 
"S1851-46692010000100004-arg","De una isla a otra: intelectuales uruguayos y América Latina como problema a mediados del siglo XX (1952-1962)","Espeche, Ximena","Anclajes; 14(1); 51-72","Anclajes","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-46692010000100004&lang=pt" 
"S1851-46692010000100005-arg","La revista Coirón (Neuquén, 1983): escribir entre la política y la poética","Fanese, Griselda","Anclajes; 14(1); 73-89","Anclajes","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-46692010000100005&lang=pt" 
"S1851-46692010000100006-arg","Desintegración y resistencia: corporalidad, género y escritura en Mano de obra de Diamela Eltit","Forcinito, Ana","Anclajes; 14(1); 91-107","Anclajes","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-46692010000100006&lang=pt" 
"S1909-24742010000100012-col","DISEÑO DE MATERIAL EDUCATIVO PARA LA ENSEÑANZA DE LA CONSERVACIÓN DEL CÓNDOR DE LOS ANDES (Vultur gryphus)","PÉREZ-ZAPATA, JUAN MANUEL, MOLANO-MONSALVE, CARLOS, FLÓREZ-OCHOA, JANCY DARLY, RENDÓN-VÁSQUEZ, ALEJANDRO, FLÓREZ, GLORIA MARCELA","Luna Azul; (30); 197-203","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000100012&lang=pt" 
