"S0101-32622012000300007-scl","Memórias e narrativas de professoras &quot;normalistas&quot; do Instituto de Educação/RJ","Vasconcellos, Vera Maria Ramos de","Cadernos CEDES; 32(88); 351-366","Cadernos CEDES","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622012000300007&lang=pt" 
"S0101-32622012000300001-scl","Apresentação","Silva, Daniele Nunes Henrique, Tejerina, Jorge Castro","Cadernos CEDES; 32(88); 253-259","Cadernos CEDES","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622012000300001&lang=pt" 
"S0101-32622012000300005-scl","Textos literários e a formação do professor: novas possibilidades de narrar","Henriques, Eda Maria de Oliveira","Cadernos CEDES; 32(88); 319-334","Cadernos CEDES","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622012000300005&lang=pt" 
"S0101-20612012000400001-scl","Editorial","Gigante, Mirna L., Matta, Virgínia M.","Food Science and Technology (Campinas); 32(4); -","Food Science and Technology (Campinas)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612012000400001&lang=pt" 
"S1413-70542012000600002-scl","Improved assessment of wheat seeds vigor","Carvalho, Tereza Cristina de, Krzyzanowski, Francisco Carlos, Ohlson, Osvaldo de Castro, Panobianco, Maristela","Ciência e Agrotecnologia; 36(6); 608-614","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000600002&lang=pt" 
"S1413-70542012000600007-scl","Soil attributes under agroecosystems and forest vegetation in the coastal tablelands of northestern Brazil","Gomes, João Bosco Vasconcellos, Fernandes, Marcelo Ferreira, Barreto, Antonio Carlos, Araújo Filho, José Coelho de, Curi, Nilton","Ciência e Agrotecnologia; 36(6); 649-664","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000600007&lang=pt" 
"S0101-20612012000400012-scl","Salmonella Typhimurium, Infantis, Derby, and Enteritidis survival in pasty dulce de leche","Silveira, Débora Rodrigues da, Lopes, Nathalie Almeida, Gonzalez, Helenice de Lima, Timm, Cláudio Dias","Food Science and Technology (Campinas); 32(4); 715-718","Food Science and Technology (Campinas)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612012000400012&lang=pt" 
"S0101-20612012000400026-scl","Optimization of the extraction of carrageenan from Kappaphycus alvarezii using response surface methodology","Webber, Vanessa, Carvalho, Sabrina Matos de, Ogliari, Paulo José, Hayashi, Leila, Barreto, Pedro Luiz Manique","Food Science and Technology (Campinas); 32(4); 812-818","Food Science and Technology (Campinas)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612012000400026&lang=pt" 
"S0101-20612012000400018-scl","Physicochemical and sensory profile of rice bran roasted in microwave","Garcia, Marina Costa, Benassi, Marta de Toledo, Soares Júnior, Manoel Soares","Food Science and Technology (Campinas); 32(4); 754-761","Food Science and Technology (Campinas)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612012000400018&lang=pt" 
"S1984-64872012000600012-scl","Por el culo: políticas anales","Medina Jimenez, Alberto Alejandro","Sexualidad, Salud y Sociedad (Rio de Janeiro); (12); 264-269","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872012000600012&lang=pt" 
"S1984-64872012000600001-scl","Editorial","","Sexualidad, Salud y Sociedad (Rio de Janeiro); (12); 5-8","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872012000600001&lang=pt" 
"S1984-64872012000600002-scl","Walls talk: homoerotic networks and sexual graffiti in public washrooms in Havana","Sierra Madero, Abel","Sexualidad, Salud y Sociedad (Rio de Janeiro); (12); 13-36","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872012000600002&lang=pt" 
"S1984-64872012000600006-scl","Heterossexualidades, contracepção e aborto: Uma pesquisa em quatro capitais latino-americanas","Heilborn, Maria Luiza","Sexualidad, Salud y Sociedad (Rio de Janeiro); (12); 127-134","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872012000600006&lang=pt" 
"S1984-64872012000600007-scl","El lugar de las masculinidades en la decisión del aborto","Vigoya, Mara Viveros, Navia, Ángela Facundo","Sexualidad, Salud y Sociedad (Rio de Janeiro); (12); 135-163","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872012000600007&lang=pt" 
"S1984-64872012000600011-scl","Nossos corpos também mudam: a invenção das categorias &quot;travesti&quot; e &quot;transexual&quot; no discurso científico","Carvalho, Mario Felipe de Lima","Sexualidad, Salud y Sociedad (Rio de Janeiro); (12); 258-263","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872012000600011&lang=pt" 
"S1984-64872012000600009-scl","De la maternidad elegida a no ser madre (por ahora): anticoncepción y aborto en la vida de las mujeres","Rostagnol, Susana","Sexualidad, Salud y Sociedad (Rio de Janeiro); (12); 198-223","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872012000600009&lang=pt" 
"S1984-64872012000600013-scl","Gênero, saúde e aflição: abordagens antropológicas","Silva, Martinho Braga Batista e","Sexualidad, Salud y Sociedad (Rio de Janeiro); (12); 270-279","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872012000600013&lang=pt" 
"S0025-76802012000600020-arg","Las citas de nuestra revista","Dosne Pasqualini, Christiane","Medicina (Buenos Aires); 72(5); 537-537","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000600020&lang=pt" 
"S0025-76802012000600021-arg","","Dosne Pasqualini, Christiane","Medicina (Buenos Aires); 72(5); 538-538","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000600021&lang=pt" 
"S0025-76802012000600022-arg","El gorila invisible: y otras maneras en las que nuestra intuición nos engaña","Barcat, Juan Antonio","Medicina (Buenos Aires); 72(5); 538-539","Medicina (Buenos Aires)","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802012000600022&lang=pt" 
"S1518-76322012000300002-scl","Referenciação e marcas de conhecimento partilhado","Cavalcante, Mônica Magalhães, Santos, Leonor Werneck dos","Linguagem em (Dis)curso; 12(3); 657-681","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000300002&lang=pt" 
"S1518-76322012000300005-scl","Estratégias de referenciação em textos multimodais: uma aplicação em tiras cômicas","Ramos, Paulo","Linguagem em (Dis)curso; 12(3); 743-763","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000300005&lang=pt" 
"S1518-76322012000300006-scl","A construção de objetos de discurso nos perfis fakes do Twitter","Alves Filho, Francisco, Alexandre, Leila Rachel Barbosa","Linguagem em (Dis)curso; 12(3); 765-792","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000300006&lang=pt" 
"S1518-76322012000300007-scl","Objeto de discurso e tópico discursivo: sistematizando relações","Pinheiro, Clemilton Lopes","Linguagem em (Dis)curso; 12(3); 793-812","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000300007&lang=pt" 
"S1518-76322012000300008-scl","Referenciação metadiscursiva no gênero carta pessoal no interior do romance: um estudo de caso","Rezende, Renato Cabral","Linguagem em (Dis)curso; 12(3); 813-838","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000300008&lang=pt" 
"S1518-76322012000300009-scl","Reflexões sobre a recategorização referencial sem menção anafórica","Custódio Filho, Valdinar","Linguagem em (Dis)curso; 12(3); 839-859","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000300009&lang=pt" 
"S1518-76322012000300003-scl","Referenciação e hiperestrutura em textos de divulgação científica para crianças","Giering, Maria Eduarda","Linguagem em (Dis)curso; 12(3); 683-710","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000300003&lang=pt" 
"S1983-41952012000600002-scl","Numerical simulation of the mechanical performance of deep beam","Madureira, E. L., Ávila, J.I.S.L.","Revista IBRACON de Estruturas e Materiais; 5(6); 737-756","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952012000600002&lang=pt" 
"S1983-41952012000600003-scl","Pull Off test to evaluate the compressive strength of concrete: an alternative to Brazilian standard techniques","Pereira, E., Medeiros, M. H. F. de","Revista IBRACON de Estruturas e Materiais; 5(6); 757-780","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952012000600003&lang=pt" 
"S0104-530X2012000400017-scl","ERRATA","","Gestão &amp; Produção; 19(4); 893-893","Gestão &amp; Produção","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2012000400017&lang=pt" 
"S1518-76322012000300001-scl","Apresentação","Bentes, Anna Christina, Alves Filho, Francisco","Linguagem em (Dis)curso; 12(3); 649-655","Linguagem em (Dis)curso","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322012000300001&lang=pt" 
