"S2237-101X2012000200112-scl","Governo colonial, distância e espera nas minas e capitania de Goiás","Lemes, Fernando Lobo","Topoi (Rio de Janeiro); 13(25); 112-129","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200112&lang=pt" 
"S2237-101X2012000200094-scl","Brasil anos 1990: teleficção e ditadura - entre memórias e história","Abdala Junior, Roberto","Topoi (Rio de Janeiro); 13(25); 94-111","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200094&lang=pt" 
"S2237-101X2012000200185-scl","História, crime e cultura de massa","Kalifa, Dominique","Topoi (Rio de Janeiro); 13(25); 185-192","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200185&lang=pt" 
"S2237-101X2012000200054-scl","Aspectos econômicos em uma sociedade agrária (Rio Pardo, século XIX): evidências na composição da riqueza local","Chaves, Edneila Rodrigues","Topoi (Rio de Janeiro); 13(25); 54-76","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200054&lang=pt" 
"S2237-101X2012000200077-scl","&quot;Tem servido na governança, e tem todas as qualidades para continuar&quot;: perfil social de oficiais da Câmara de Porto Alegre (1767-1828)","Comissoli, Adriano","Topoi (Rio de Janeiro); 13(25); 77-93","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200077&lang=pt" 
"S2237-101X2012000200228-scl","O uso político dos cadáveres na França da primeira metade do século XIX","Lustosa, Isabel","Topoi (Rio de Janeiro); 13(25); 228-230","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200228&lang=pt" 
"S2237-101X2012000200207-scl","As capitais no palco: teatro e sociedade na Europa oitocentista","Berçot, Fernando Santos","Topoi (Rio de Janeiro); 13(25); 207-210","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200207&lang=pt" 
"S0185-16592012000300015-mex","El ocaso de la diosa","Escalante Gonzalbo, María de la Paloma","Cuicuilco; 19(55); 275-278","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300015&lang=pt" 
"S0185-16592012000300014-mex","Descifrar la Revolución","Yankelevich, Pablo","Cuicuilco; 19(55); 269-274","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300014&lang=pt" 
"S0185-16592012000300012-mex","La indianización de la nueva era en Guadalajara","García Medina, Jesús, Gutiérrez Zúñiga, Cristina","Cuicuilco; 19(55); 219-244","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300012&lang=pt" 
"S0185-16592012000300013-mex","Del turismo al neochamanismo: ejemplo de la reserva natural sagrada de Wirikuta en México","Basset, Vincent","Cuicuilco; 19(55); 245-266","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300013&lang=pt" 
"S0185-16592012000300010-mex","El retorno virtual de Quetzalcóatl: una netnografía de la mexicanidad y neomexicanidad","Campechano Moreno, Lizette Y.","Cuicuilco; 19(55); 171-194","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300010&lang=pt" 
"S0185-16592012000300011-mex","Significados y apropiaciones mexicas de la Danza del Sol: Estudio de caso de Axixik Temazkalpul-li","Arias Yerena, Aldo Daniel","Cuicuilco; 19(55); 195-217","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300011&lang=pt" 
"S0185-16592012000300009-mex","Las danzas aztecas en la nueva era: Estudio de caso en Guadalajara","Torre, Renée de la","Cuicuilco; 19(55); 145-170","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300009&lang=pt" 
"S0185-16592012000300008-mex","Profecías de la mexicanidad: entre el milenarismo nacionalista y la new age","Peña, Francisco de la","Cuicuilco; 19(55); 127-143","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300008&lang=pt" 
"S0185-16592012000300005-mex","Lingüística e investigación musical en México","Mendoza Huerta, Yasbil Y. B.","Cuicuilco; 19(55); 89-109","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300005&lang=pt" 
"S0185-16592012000300004-mex","Afinidad biológica a través de la morfología dental de dos muestras de la Península de Yucatán, México","Pimentel Merlín, Martha, Gallardo Velázquez, Alfonso, Cisneros Reyes, Héctor","Cuicuilco; 19(55); 69-87","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300004&lang=pt" 
"S0185-16592012000300003-mex","Religión o praxis religiosa en el mundo indígena: El caso rarámuri del Alto Río Conchos","Rodríguez López, Abel","Cuicuilco; 19(55); 43-68","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300003&lang=pt" 
"S0185-16592012000300002-mex","Los orígenes tecnológicos de la cal","Villaseñor Alonso, Isabel, Barba Pingarrón, Luis","Cuicuilco; 19(55); 11-41","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300002&lang=pt" 
"S0185-16592012000300006-mex","10 Verbos sobre la lepra. Tercer lugar del XXX Concurso de Fotografía Antropológica: &quot;El cuerpo humano: discurso, movimiento y modificación cultural&quot;","Victoria Castillo, Oliver","Cuicuilco; 19(55); 111-120","Cuicuilco","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-16592012000300006&lang=pt" 
