"S0719-81322017000100001-chl","Effect of oil supplementation extracted from nontoxic purging nut (Jatropha curcas L) on carcass traits, tissue composition, muscle CLA concentration, and visceral mass of feedlot lambs","Estrada-Angulo, Alfredo, Félix-Bernal, José A., Angulo-Escalante, Miguel A., Muy-Rangel, Dolores, Castro-Pérez, Beatriz I., Ríos, Francisco G., Cerrillo, Andrea, Zinn, Richard A., Plascencia, Alejandro","Austral journal of veterinary sciences; 49(1); 1-7","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100001&lang=pt" 
"S0719-81322017000100059-chl","Fatal dual infection of avian polyomavirus and psittacine beak and feather disease virus in Chile","González-Hein, Gisela A., González, Carlos M., Huaracán, Bernardo R.","Austral journal of veterinary sciences; 49(1); 59-61","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100059&lang=pt" 
"S1984-22012017000100202-scl","NOVAS PAISAGENS URBANAS DO PROGRAMA MINHA CASA, MINHA VIDA","THERY, H.","Mercator (Fortaleza); 16(); -","Mercator (Fortaleza)","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012017000100202&lang=pt" 
"S0719-81322017000100045-chl","Testicular echotexture is not a viable method to indirectly evaluate the spermatogenic parameters in Nelore bulls","Dias, Wanessa, Faria, Fábio J.C., Fernandes, Carlos A.C., Sampaio, Breno F.B., Santos, Marcelo D., Rodrigues, Walvonvitis B., Silva, Juliana C. Borges, Costa, Deiler S.","Austral journal of veterinary sciences; 49(1); 45-51","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100045&lang=pt" 
"S2318-03312017000100211-scl","Proposal of a methodology for pre-selection of sewage treatment systems within watersheds","Fantin, Lucas Luiz Dall&#039;Orto, Reis, José Antonio Tosta dos, Mendonça, Antonio Sérgio Ferreira","RBRH; 22(); -","RBRH","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312017000100211&lang=pt" 
"S0719-81322017000100035-chl","Presence of Virginia opossum (Didelphis virginiana) and Pic (Triatoma dimidiata) infected with Trypanosoma cruzi in urban areas: preliminary evaluation in the city of Campeche, Mexico","Tamay-Segovia, Paulino, Blum-Domínguez, Selene C., Núñez-Oreza, Luis A., Martínez-Hernández, Fernando, Gómez-Solano, Mónica I., Maldonado-Velázquez, María G., Retana-Guiascón, Oscar G.","Austral journal of veterinary sciences; 49(1); 35-38","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100035&lang=pt" 
"S0719-81322017000100053-chl","Renal Stephanuriasis: Gross and microscopic findings in naturally-infected pigs from St. Kitts, West Indies","Morosco, Danielle, Illanes, Oscar, Fuentealba, Carmen","Austral journal of veterinary sciences; 49(1); 53-57","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100053&lang=pt" 
"S0719-81322017000100039-chl","Evaluation of two diluents for the storage of fresh and cryopreserved semen of Harris hawk (Parabuteo unicinctus)","Herrera, José A., Calderón, Gustavo, Guzmán, Adrián, Vargas, Ana K., Ávalos, Alejandro, Rosales, Ana M.","Austral journal of veterinary sciences; 49(1); 39-43","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100039&lang=pt" 
"S1984-22012017000100203-scl","A ALIANÇA ENTRE TERRA E CAPITAL NA DITADURA BRASILEIRA","PRIETO, Gustavo Francisco Teixeira","Mercator (Fortaleza); 16(); -","Mercator (Fortaleza)","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012017000100203&lang=pt" 
"S0006-87052017005003105-scl","Variability of physical properties of soil and rice grown under cover crops in crop-livestock integrated system","Trevisan, Rodrigo Gonçalves, Freddi, Onã da Silva, Wruck, Flávio Jesus, Tavanti, Renan Rimoldi, Peres, Fernanda Salles Cunha","Bragantia; (ahead); -","Bragantia","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052017005003105&lang=pt" 
