"S0103-73312013000300005-spa","Proposições para a formação de aconselhadores em HIV/Aids","Galindo, Wedna Cristina Marinho, Francisco, Ana Lúcia, Rios, Luís Felipe","Physis: Revista de Saúde Coletiva; 23(3); 741-761","Physis: Revista de Saúde Coletiva","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312013000300005&lang=pt" 
"S2014-98322013000300001-esp","Responsabilidad social de las instituciones en la formación de los médicos y profesionales de la salud","Gual, Arcadi","FEM: Revista de la Fundación Educación Médica; 16(3); 125-126","FEM: Revista de la Fundación Educación Médica","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322013000300001&lang=pt" 
"S2236-89062013000300011-scl","Parâmetros genéticos em progênies de polinização aberta de Enterolobium contortisiliquum (Vell.) Morong em Luiz Antonio, SP, Brasil","Sant&#039;Ana, Vanessa Zaffani, Freitas, Miguel Luiz Menezes, Moraes, Mario Luiz Teixeira de, Zanata, Marcelo, Zanatto, Antonio Carlos Scatena, Moraes, Marcela Aparecida de, Sebbenn, Alexandre Magno","Hoehnea; 40(3); 515-520","Hoehnea","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-89062013000300011&lang=pt" 
"S1678-86212013000300001-scl","","Formoso, Carlos Torres, Savastano Junior, Holmer, Lamberts, Roberto, Hirota, Ercília Hitomi, Granja, Ariovaldo Denis","Ambiente Construído; 13(3); 05-05","Ambiente Construído","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212013000300001&lang=pt" 
"S1678-86212013000300010-scl","Redução do tamanho do lote em projetos como estratégia de implementação do fluxo contínuo em sistemas pré-fabricados","Bulhões, Iamara Rossi, Picchi, Flávio Augusto","Ambiente Construído; 13(3); 161-175","Ambiente Construído","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212013000300010&lang=pt" 
"S1678-86212013000300014-scl","Inovação tecnológica como agente de redução de impactos ambientais da indústria de rochas ornamentais no estado do Rio de Janeiro","Silva Neto, Romeu, Silvestre, Bruno dos Santos","Ambiente Construído; 13(3); 235-252","Ambiente Construído","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212013000300014&lang=pt" 
"S1809-68912013000300002-scl","Efeito das altas densidades de estocagem no crescimento e sobrevivência de Litopenaeus vannamei na fase final de engorda, cultivados em sistemas de bioflocos (BFT)","Silva, Adriana Ferreira, Lara, Gabriele Rodrigues, Ballester, Eduardo Cupertino, Krumennauer, Dariano, Abreu, Paulo Cesar, Wasielesky Jr, Wilson","Ciência Animal Brasileira; 14(3); 279-287","Ciência Animal Brasileira","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912013000300002&lang=pt" 
"S1809-68912013000300004-scl","Inclusão de diferentes fontes de amido na dieta de jundiás (Rhamdia quelen): parâmetros metabólicos e bioquímicos","Lovatto, Naglezi de Menezes, Goulart, Fernanda Rodrigues, Correia, Viviani, Ferreira, Cristiano Costenaro, Silva, Leila Picolli da, Radünz Neto, João","Ciência Animal Brasileira; 14(3); 299-304","Ciência Animal Brasileira","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912013000300004&lang=pt" 
"S1809-68912013000300005-scl","Monitoramento de fungos toxigênicos e aflatoxinas em rações utilizadas em piscicultura","Cardoso Filho, Francisco das Chagas, Calvet, Rodrigo Maciel, Rosa, Carlos Alberto da Rocha, Pereira, Maria Marlúcia Gomes, Costa, Amilton Paulo Raposo, Muratori, Maria Christina Sanches","Ciência Animal Brasileira; 14(3); 305-311","Ciência Animal Brasileira","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912013000300005&lang=pt" 
"S1809-68912013000300007-scl","Substituição da farinha de peixe por farinha de vísceras de aves na alimentação do piavuçu Leporinus macrocephalus","Schwertner, Volnei, Diemer, Odair, Higuchi, Leticia Hayashi, Klein, Sidnei, Boscolo, Wilson Rogério, Feiden, Aldi","Ciência Animal Brasileira; 14(3); 318-322","Ciência Animal Brasileira","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912013000300007&lang=pt" 
