"S1983-21172012000300275-scl","O CARAMUJO AFRICANO EM CONTEXTO ESCOLAR: AS PERCEPÇÕES DE ESTUDANTES DO ENSINO FUNDAMENTAL E O ESTUDO DA HELMINTOFAUNA ASSOCIADA AO CARAMUJO EM BARRA DO PIRAÍ (RJ)","Pereira, Zilene Moreira, Thiengo, Silvana Carvalho, Monteiro, Simone","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 275-288","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300275&lang=pt" 
"S1983-21172012000300313-scl","INFORMÁTICA NA EDUCAÇÃO MATEMÁTICA E CIENTÍFICA DOS ANOS INICIAIS DE ESCOLARIDADE: UM ESTUDO SOBRE AS PESQUISAS DA ÁREA ENSINO DE CIÊNCIAS E MATEMÁTICA","Fraiha-Martins, France, Gonçalves, Terezinha Valim Oliver","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 313-331","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300313&lang=pt" 
"S1983-21172012000300065-scl","A (RE)CONSTRUÇÃO DE CONCEITOS BIOLÓGICOS NA FORMAÇÃO INICIAL DE PROFESSORES E PROPOSIÇÃO DE UM MODELO EXPLICATIVO PARA A RELAÇÃO GENÓTIPO E FENÓTIPO","Justina, Lourdes Aparecida Della, Meglhioratti, Fernanda Aparecida, Caldeira, Ana Maria de Andrade","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 65-84","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300065&lang=pt" 
"S1983-21172012000300333-scl","A FORMAÇÃO CONTINUADA, O USO DO COMPUTADOR E AS AULAS DE CIÊNCIAS NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL","Gabini, Wanderlei Sebastião, Diniz, Renato Eugênio da Silva","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 333-348","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300333&lang=pt" 
"S1983-21172012000300017-scl","INCIDENCE DES CARACTÉRISTIQUES DES ÉLÈVES SUR LEUR DEGRÉ DE MOTIVATION À PARTICIPER À UNE EXPO-SCIENCES","Trudel, Louis, Reis, Giuliano, Dionne, Liliane","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 17-35","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Francês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300017&lang=pt" 
"S1983-21172012000300111-scl","A PESQUISA EM EDUCAÇAO AMBIENTAL: UM PANORAMA SOBRE SUA CONSTRUÇÃO","Souza, Daniele Cristina de, Salvi, Rosana Figueiredo","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 111-129","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300111&lang=pt" 
"S1983-21172012000300239-scl","DISCURSOS QUE CIRCULAM NA CORREÇÃO DE UM QUESTIONÁRIO: SENTIDOS E SIGNIFICADOS","Almeida, Sheila Alves de, Giordan, Marcelo","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 239-259","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300239&lang=pt" 
"S1983-21172012000300351-scl","RESENHANDO AS ESTRUTURAS DAS REVOLUÇÕES CIENTÍFICAS DE THOMAS KUHN","Bartelmebs, Roberta Chiesa","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 351-358","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300351&lang=pt" 
"S1983-21172012000300167-scl","ORGANIZADORES PRÉVIOS PARA APRENDIZAGEM SIGNIFICATIVA EM FÍSICA: O FORMATO CURTA DE ANIMACÃO","Ribeiro, Rafael João, Silva, Sani de Carvalho Rutz da, Koscianski, André","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 167-183","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300167&lang=pt" 
"S1983-21172012000300037-scl","UM ESTUDO DAS REPRESENTAÇÕES SOCIAIS DE ESTUDANTES DO ENSINO MÉDIO SOBRE OS INSETOS","Trindade, Oziel Santana Neri, Silva Júnior, Juvenal Cordeiro, Teixeira, Paulo Marcelo Marini","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 37-50","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300037&lang=pt" 
"S1983-21172012000300097-scl","SENTIDOS SUBJETIVOS RELACIONADOS COM A MOTIVAÇÃO DOS ESTUDANTES DO CLUBE DE CIÊNCIAS DA ILHA DE COTIJUBA","Alves, José Moysés, Pessoa, Wilton Rabelo, Sgrott, Ana, Santos, Janes Kened Rodrigues dos, Santos, Patrícia Feitosa, Conceição, Luiz Carlos Silva","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 97-110","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300097&lang=pt" 
"S1983-21172012000300149-scl","REPRESENTAÇÃO E DISTORÇÕES CONCEITUAIS DO CONTEÚDO&quot;FILOGENIA EM LIVROS DIDÁTÍCOS DE BIOLOGIA DO ENSINO MÉDIO","Lopes, Welinton Ribamar, Vasconcelos, Simão Dias","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 149-165","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300149&lang=pt" 
"S1983-21172012000300261-scl","O PERFIL DE CONHECIMENTO SOBRE SERES VIVOS PELOS ESTUDANTES DA COOPEC: UMA FERRAMENTA PARA PLANEJAR UM ENSINO DE CIÊNCIAS","Castro, Darcy Ribeiro de, Bejarano, Nelson Rui Ribas","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 261-274","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300261&lang=pt" 
