"S1029-30192015001100015-cub","Estrategia didáctica para la formación científica de los estudiantes de tecnología de la salud","Antúnez Coca, José, Mercaderes Ferrer, María de los Ángeles, Fong Estopiñan, Antonio, Pérez Rodríguez, Bolívar Alejandro, Carrión Cabrera, Pedro Ángel","MEDISAN; 19(11); 1408-1420","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100015&lang=pt" 
"S1519-69842015000800259-scl","First record of a breeding colony of black-necked stilt Himantopus mexicanus (Aves: Recurvirostridae) in northeastern Brazil","Lunardi, V. O., Mendonça, M. L. A., Elias, A. P. R., Lunardi, D. G.","Brazilian Journal of Biology; 75(4); 259-261","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800259&lang=pt" 
"S2079-312X2015000200002-ury","ALTERNANCIAS VERBALES EN MOCOVÍ (FAMILIA GUAYCURÚ, ARGENTINA)","Carrió, Cintia","Lingüística; 31(2); 9-26","Lingüística","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S2079-312X2015000200002&lang=pt" 
"S2079-312X2015000200004-ury","INTOLERÂNCIA CONTRA O LINGUISTA NO DISCURSO DO SENSO COMUM[1]","Bessa, José Cezinaldo Rocha","Lingüística; 31(2); 47-60","Lingüística","Português","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S2079-312X2015000200004&lang=pt" 
"S1519-69842015000600854-scl","First record of Porocephalus cf. clavatus (Pentastomida: Porocephalida) as a parasite on Bothrops asper (Squamata: Viperidae) in Costa Rica","Alvarado, G., Sánchez-Monge, A.","Brazilian Journal of Biology; 75(4); 854-858","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000600854&lang=pt" 
"S1519-69842015000601027-scl","Feather mites of Calidris fuscicollis (Aves: Scolopacidae) in Brazil","Gomes, S. N., Pesenti, T. C., Cirne, M. P., Müller, G.","Brazilian Journal of Biology; 75(4); 1027-1029","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000601027&lang=pt" 
"S1029-30192015001100006-cub","Representación social de la consulta estomatológica en jóvenes de un área de salud de Santiago de Cuba","Vázquez Garay, Fidel, Moncada Santos, Margarita de la Caridad, Cano Reyes, Virginia, Falcón Salmon, Humberto Cecilio","MEDISAN; 19(11); 1338-1347","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100006&lang=pt" 
"S1029-30192015001100003-cub","Candidiasis bucal en pacientes con diabetes mellitus","Estrada Pereira, Gladys Aída, Márquez Filiu, Maricel, Díaz Fernández, José Manuel, Agüero Despaigne, Liliet Antonia","MEDISAN; 19(11); 1317-1324","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100003&lang=pt" 
"S1688-93392015000200008-ury","Mixoma Mandibular: Revisión Bibliográfica. A propósito de 2 casos clínicos","Kornecki Radzinski, Felipe","Odontoestomatología; 17(26); 65-77","Odontoestomatología","Inglês, Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-93392015000200008&lang=pt" 
"S1688-93392015000200007-ury","Atención odontológica a un bebé con holoprosencefalía: relato de caso clínico","Figueiredo, Márcia Cançado, Cassuriaga, Karoline Farinha, Alves, Mariana","Odontoestomatología; 17(26); 57-64","Odontoestomatología","Inglês, Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-93392015000200007&lang=pt" 
"S1688-93392015000200006-ury","Sistemas adhesivos en Odontología Restauradora","Mandri, María Natalia, Aguirre Grabre de Prieto, Alicia, Zamudio, María Eugenia","Odontoestomatología; 17(26); 50-56","Odontoestomatología","Inglês, Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-93392015000200006&lang=pt" 
"S1688-93392015000200002-ury","Histomorfología de la atrición en dientes temporarios","Lezcano, Melisa R, Solis Arce, Elena P, Gili, Maria A, Zamudio, Maria E","Odontoestomatología; 17(26); 4-11","Odontoestomatología","Inglês, Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-93392015000200002&lang=pt" 
"S1519-69842015000800222-scl","Myxomycetes from mangroves: species occurring in the state of Maranhão, northeastern Brazil","Agra, L. A. N. N., Bezerra, A. C. C., Cavalcanti, L. H.","Brazilian Journal of Biology; 75(4); 222-227","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800222&lang=pt" 
"S0100-204X2015001101054-scl","Redes neurais artificiais para identificar genótipos de feijão-caupi semiprostrado com alta adaptabilidade e estabilidade fenotípicas","Teodoro, Paulo Eduardo, Barroso, Laís Mayara Azevedo, Nascimento, Moysés, Torres, Francisco Eduardo, Sagrilo, Edvaldo, Santos, Adriano dos, Ribeiro, Larissa Pereira","Pesquisa Agropecuária Brasileira; 50(11); 1054-1060","Pesquisa Agropecuária Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2015001101054&lang=pt" 
"S0100-204X2015001100999-scl","Toxicidade e capacidade de ligação de proteínas Cry1 a receptores intestinais de Helicoverpa armigera (Lepidoptera: Noctuidae)","Sebastião, Isis, Lemes, Ana Rita Nunes, Figueiredo, Camila Soares, Polanczyk, Ricardo Antonio, Desidério, Janete Apparecida, Lemos, Manoel Victor Franco","Pesquisa Agropecuária Brasileira; 50(11); 999-1005","Pesquisa Agropecuária Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2015001100999&lang=pt" 
"S1519-69842015000600989-scl","Redescription of Campoletis sonorensis (Cameron, 1886) (Hymenoptera, Ichneumonidae, Campopleginae), parasitoid of Spodoptera frugiperda (J. E. Smith, 1797) (Lepidoptera, Noctuidae) in Brazil","Camargo, L. F., Brito, R. A., Penteado-Dias, A. M.","Brazilian Journal of Biology; 75(4); 989-998","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000600989&lang=pt" 
"S1519-69842015000800136-scl","Environmental influence on coprophagous Scarabaeidae (Insecta, Coleoptera) assemblages in the Pantanal of Mato Grosso","Tissiani, A. S. O., Sousa, W. O., Santos, G. B., Ide, S., Battirola, L., Marques, M. I.","Brazilian Journal of Biology; 75(4); 136-142","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800136&lang=pt" 
"S1519-69842015000600886-scl","Ecotoxicological evaluation of sediments applied to environmental forensic investigation","Alves, R. H., Rietzler, A. C.","Brazilian Journal of Biology; 75(4); 886-893","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000600886&lang=pt" 
"S1519-69842015000600821-scl","Pollen analysis of honey and pollen collected by Apis mellifera linnaeus, 1758 (Hymenoptera, Apidae), in a mixed environment of Eucalyptus plantation and native cerrado in Southeastern Brazil","Simeão, C. M. G., Silveira, F. A., Sampaio, I. B. M., Bastos, E. M. A. F.","Brazilian Journal of Biology; 75(4); 821-829","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000600821&lang=pt" 
