"S0123-42262014000100029-col","EFICIENCIA EN LOS PROCESOS LOGÍSTICOS EN LAS EMPRESAS CERTIFICADAS EN BASC MEDELLÍN MEDIANTE ANÁLISIS ENVOLVENTE DE DATOS","Fontalvo Herrera, Tomás José, Mendoza Mendoza, Adel, Visbal Cadavid, Delimiro","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 265-274","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100029&lang=pt" 
"S0123-42262014000100024-col","REFLEXIONES SOBRE LOS PROCESOS DE OCUPACIÓN HUMANA EN LOS PÁRAMOS. SITUACIÓN ACTUAL DEL PÁRAMO VOLCÁN CHILES, COLOMBIA","Baca-G, Aida Elena","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 217-226","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100024&lang=pt" 
"S0123-42262014000100025-col","ASPECTOS DE LA DISTRIBUCIÓN LARVAL DE STOMATOPODA (CRUSTÁCEA) EN AGUAS SUPERFICIALES DEL PACÍFICO COLOMBIANO","H. López, Raúl, Jaimes, Juan C.","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 227-236","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100025&lang=pt" 
"S0123-42262014000100026-col","MEJORAMIENTO DE PROPIEDADES MECÁNICAS DEL PAPEL PLEGADIZA RECUPERADO DE RESIDUOS SÓLIDOS MUNICIPALES","Gutiérrez-R., Johnatan Alberto, Marmolejo-Rebellón, Luis Fernando, Achinte, Fred Albán, Torres, Wilmar Alexander, Torres-Lozada, Patricia","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 237-243","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100026&lang=pt" 
"S0123-42262014000100027-col","INFLUENCIA DE LA EDAD DE LIXIVIADOS SOBRE SU COMPOSICIÓN FÍSICO-QUÍMICA Y SU POTENCIAL DE TOXICIDAD","Torres-Lozada, Patricia, Barba-Ho, Luz Edith, Ojeda, César, Martínez, Jonier, astaño, Yulieth","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 245-255","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100027&lang=pt" 
"S0123-42262014000100020-col","EFICACIA ANTIBACTERIANA DE EXTRACTOS DE PLANTAS: APLICACIÓN CLÍNICA EN MASTITIS BOVINA","Leal, Marco","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 179-187","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100020&lang=pt" 
"S0123-42262014000100021-col","INFLUENCIA DE LA PRÁCTICA DE ORDEÑO SOBRE EL RECUENTO DE CÉLULAS SOMÁTICAS (RCS) Y UNIDADES FORMADORAS DE COLONIAS (UFC) EN LECHE BUFALINA","A., Sergio, Morales Morales, , Rodríguez, Nélida, Vásquez, Juan Fernando, Olivera Ángel, Martha","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 189-196","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100021&lang=pt" 
"S0123-42262014000100022-col","COMPARACIÓN DEL PERFIL TIROIDEO EN EL GATO DOMÉSTICO POR GÉNERO Y EDAD","Osorio, José Henry, Matheus, Stefania, Pérez, Jorge Enrique","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 197-203","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100022&lang=pt" 
"S0123-42262014000100023-col","UNIDADES ECOLÓGICAS PARA UNA GESTIÓN ECOSISTÉMICA EN EL DISTRITO CARTAGENA DE INDIAS (COLOMBIA)","Torregroza, Edilbert, Hernández, Mauro, Barraza, Diana, Gómez, Alberto, Borja, Francisco","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 205-215","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100023&lang=pt" 
"S0123-42262014000100019-col","DESINTOXICACIÓN DE LA TORTA DE Jatropha curcas L. COMO POSIBLE ALTERNATIVA DE ALIMENTO PARA GANADO BOVINO EN EL CARIBE COLOMBIANO","Jarma Arroyo, Betty, Vanegas O, Yenis, Pompelli, Marcelo Francisco, Garrido P, Carlos, Bezerra Neto, Egídio, Jarma Orozco, Alfredo","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 171-178","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100019&lang=pt" 
"S0123-42262014000100018-col","RESISTENCIA A ACARICIDAS EN Rhipicephalus (Boophilus) microplus DE ALGUNAS EXPLOTACIONES GANADERAS DE COLOMBIA","Araque, Alejandra, Ujueta, Sandra, Bonilla, Rodrigo, Gómez, David, Rivera, Juan","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 161-170","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100018&lang=pt" 
"S0123-42262014000100011-col","RECONOCIMIENTO Y OBSERVACIONES BIONÓMICAS DE Sipha flava (HEMIPTERA: APHIDIDAE) ATACANDO EL PASTO KIKUYO EN DOS ZONAS DE COLOMBIA","Posada-Flórez, Francisco J., Téllez-Farfán, Lorena, Simbaqueba, Ronald, Serna, Francisco","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 95-104","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100011&lang=pt" 
