"S1980-65742012000200015-scl","Efeito agudo dos exercícios de flexibilidade no desempenho de força máxima e resistência de força de membros inferiores e superiores","Paulo, Anderson Caetano, Ugrinowitsch, Carlos, Leite, Gerson dos Santos, Arsa, Gisela, Marchetti, Paulo Henrique, Tricoli, Valmor","Motriz: Revista de Educação Física; 18(2); 345-355","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000200015&lang=pt" 
"S1679-87592012010300001-scl","It is possible the daily assessment of the growth of giant oyster larvae?","Mies, Michael","Brazilian Journal of Oceanography; 60(2); -","Brazilian Journal of Oceanography","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592012010300001&lang=pt" 
"S1809-29502012000200001-scl","Especialização e especialidade","Pita, Bernadete, Guirro, Elaine","Fisioterapia e Pesquisa; 19(2); 95-96","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200001&lang=pt" 
"S1809-29502012000200006-scl","Equilíbrio estático de indivíduos com neuropatia periférica diabética","Sales, Kelson Luiz da Silva, Souza, Leonardo Alves de, Cardoso, Vinicius Saura","Fisioterapia e Pesquisa; 19(2); 122-127","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200006&lang=pt" 
"S1809-29502012000200007-scl","Avaliação da lordose lombar e sua relação com a dor lombopélvica em gestantes","Firmento, Beatriz da Silva, Moccellin, Ana Silvia, Albino, Maria Alice Seghessi, Driusso, Patricia","Fisioterapia e Pesquisa; 19(2); 128-134","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200007&lang=pt" 
"S1809-29502012000200016-scl","Inibição muscular dos extensores do joelho em sujeitos acometidos por condromalácia patelar e osteoartrite do joelho - um estudo de revisão sistemática","Pompeo, Klauber Dalcero, Mello, Mônica de Oliveira, Vaz, Marco Aurélio","Fisioterapia e Pesquisa; 19(2); 185-190","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200016&lang=pt" 
"S0104-59702012010300001-scl","Confiabilidade de notícias sobre &#039;aquecimento global&#039;","Carneiro, Celso Dal Ré, Toniolo, João Cláudio","História, Ciências, Saúde-Manguinhos; 19(2); -","História, Ciências, Saúde-Manguinhos","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702012010300001&lang=pt" 
"S0103-65642012000200009-scl","Adaptação da “The Resilience Scale” para a população adulta portuguesa","Ng Deep, Cláudia Alexandra Ferreira de Carvalho, Leal, Isabel Pereira","Psicologia USP; 23(2); 417-433","Psicologia USP","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000200009&lang=pt" 
"S0103-65642012000200001-scl","Editorial","Massola, Gustavo Martineli","Psicologia USP; 23(2); 249-251","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000200001&lang=pt" 
"S1809-29502012000200012-scl","Exploração de fatores de risco para lesões desportivas em atletas de tênis de mesa","Shimazaki, Tamlyn, Almeida, Eliezer de, Vanderlei, Franciele Marques, Cintra Filho, Dino de Aguiar, Vanderlei, Luiz Carlos Marques, Pastre, Carlos Marcelo, Bastos, Fabio Nascimento","Fisioterapia e Pesquisa; 19(2); 158-164","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200012&lang=pt" 
"S0103-84782012010700001-scl","LH produz indução e sincronização da ovulação de ovino em programas de superovulação com FSH e eCG","Oliveira, Maria Emilia Franco","Ciência Rural; 42(6); -","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012010700001&lang=pt" 
"S0103-84782012010700002-scl","Pesquisa utiliza técnica do PCR para detectar Brucella canis em população canina","Dutra, Valéria","Ciência Rural; 42(6); -","Ciência Rural","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012010700002&lang=pt" 
"S1679-87592012000200003-scl","Early development, survival and growth rates of the giant clam Tridacna crocea (Bivalvia: Tridacnidae)","Mies, Miguel, Braga, Felipe, Scozzafave, Marcello Santos, Lemos, Daniel Eduardo Lavanholi de, Sumida, Paulo Yukio Gomes","Brazilian Journal of Oceanography; 60(2); 127-133","Brazilian Journal of Oceanography","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592012000200003&lang=pt" 
"S1809-29502012000200002-scl","Influência da adequação postural em cadeira de rodas na função respiratória de pacientes com distrofia muscular de Duchenne","Rodini, Carolina Oliveira, Collange, Luanda André, Juliano, Yara, Oliveira, Claudia Santos, Isola, Alexandre Marini, Almeida, Sabrina Bauléo, Misao, Maria Harue","Fisioterapia e Pesquisa; 19(2); 97-102","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200002&lang=pt" 
"S1809-29502012000200003-scl","Educação de funcionárias de unidade básica de saúde acerca da atenção fisioterapêutica na incontinência urinária: relato de experiência","Figueiredo, Elyonara Mello de, Baracho, Sabrina Mattos, Vaz, Camila Teixeira, Sampaio, Rosana Ferreira","Fisioterapia e Pesquisa; 19(2); 103-108","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200003&lang=pt" 
"S1809-29502012000200004-scl","Análise da postura craniocervical de crianças respiradoras bucais após tratamento postural em bola suíça","Weber, Priscila, Corrêa, Eliane Castilhos Rodrigues, Ferreira, Fabiana dos Santos, Milanesi, Jovana de Moura, Trevisan, Maria Elaine","Fisioterapia e Pesquisa; 19(2); 109-114","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000200004&lang=pt" 
