"S0065-17372013000200008-mex","Identificación y caracterización de la mosca negra Bradysia difformis (Diptera: Sciaridae) en el cultivo de nochebuena (Euphorbia pulcherrima) en el centro de México","VILLANUEVA-SÁNCHEZ, Evert, IBÁÑEZ-BERNAL, Sergio, LOMELÍ-FLORES, J. Refugio, VALDEZ-CARRASCO, Jorge","Acta zoológica mexicana; 29(2); 363-375","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200008&lang=pt" 
"S0065-17372013000200009-mex","Crabronidae (Hymenoptera) de la localidad Cañón del Novillo, Victoria, Tamaulipas, México","HORTA-VEGA, Jorge Víctor, VANOYE-ELIGIO, Maximiliano, GARCÍA-GUTIÉRREZ, Mauricio Emanuel, CORONADO-BLANCO, Juana María, BARRIENTOS-LOZANO, Ludivina","Acta zoológica mexicana; 29(2); 376-387","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200009&lang=pt" 
"S0718-65682013000200028-chl","Nuestra historia violeta. Feminismo social y vidas de mujeres en el siglo XX: una revolución permanente María Angélica Illanes O.","Gaete Lagos, Jorge","Polis (Santiago); 12(35); 589-593","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200028&lang=pt" 
"S0718-65682013000200024-chl","¡Atrevámonos a romper los viejos paradigmas!: Desde la universidad y la economía ecológica hacia la consciencia y la integración","Velázquez, Esther","Polis (Santiago); 12(35); 539-554","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200024&lang=pt" 
"S0718-65682013000200013-chl","Las escuelas de la inmigración en la ciudad de Santiago: Elementos para una educación contra el racismo","Tijoux, María Emilia","Polis (Santiago); 12(35); 287-307","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200013&lang=pt" 
"S0718-65682013000200005-chl","Migración y desarrollo en las sociedades avanzadas: Una mirada desde América Latina","Canales, Alejandro I","Polis (Santiago); 12(35); 85-117","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200005&lang=pt" 
"S0718-65682013000200007-chl","El comercio de barrio como espacio de sociabilidad en contextos locales de migración","Gómez Crespo, Paloma","Polis (Santiago); 12(35); 143-163","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200007&lang=pt" 
"S0718-65682013000200020-chl","Percepción de la población frente al cambio climático en áreas naturales protegidas de Baja California Sur, México","Olmos-Martínez, Elizabeth, González-Ávila, María Eugenia, Contreras-Loera, Marcela Rebeca","Polis (Santiago); 12(35); 459-481","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200020&lang=pt" 
"S0718-65682013000200019-chl","Gobernabilidad, democratización y conflictividad social en Chile: escenarios posibles para un nuevo equilibrio","Mella Polanco, Marcelo, Berrios Silva, Camila","Polis (Santiago); 12(35); 429-458","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200019&lang=pt" 
"S0718-65682013000200010-chl","Los cibercafé como lugares de prácticas trasnacionales: El caso de la maternidad a distancia","Stefoni, Carolina","Polis (Santiago); 12(35); 211-227","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200010&lang=pt" 
"S0718-65682013000200025-chl","Política ambiental chilena y política indígena en la coyuntura de los tratados internacionales (1990-2010)","Zelada Muñoz, Sara, Park Key, James","Polis (Santiago); 12(35); 555-575","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200025&lang=pt" 
"S0718-65682013000200022-chl","El soft power en la política exterior de China: consecuencias para América Latina","Rodríguez Aranda, Isabel, Van de Maele, Diego Leiva","Polis (Santiago); 12(35); 497-517","Polis (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200022&lang=pt" 
"S0718-65682013000200016-chl","Inovação social ou compensação?: Reflexões acerca das práticas corporativas","Barboza Lacerda, Luiz Felipe, Vieira Ferrarini, Adriane","Polis (Santiago); 12(35); 357-379","Polis (Santiago)","Português","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682013000200016&lang=pt" 
"S1025-02552013000400001-cub","A propósito de “No existirá ciencia sin método científico”, del Dr. Jorge Pedroso Delgado","Estrada Paneque, Marcio Ulises","Revista Archivo Médico de Camagüey; 17(4); 416-418","Revista Archivo Médico de Camagüey","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552013000400001&lang=pt" 
"S1025-02552013000400002-cub","Reincorporación laboral en pacientes con antecedentes de infarto del miocardio","Ríos Oropesa, Dayron, Cervera Estrada, Lex, Hernández Riera, Rodolfo","Revista Archivo Médico de Camagüey; 17(4); 419-434","Revista Archivo Médico de Camagüey","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552013000400002&lang=pt" 
"S1025-02552013000400003-cub","Tripanosomiasis americana en estudiantes latinoamericanos","Monteagudo Canto, Alina, Salazar Cueto, Carlos E., Santana Téllez, Tomas N., Agüero Padrón, Marlene","Revista Archivo Médico de Camagüey; 17(4); 435-452","Revista Archivo Médico de Camagüey","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552013000400003&lang=pt" 
