"S1980-993X2016000400903-scl","Variabilidade da cobertura de nuvens na cidade de São Paulo","Moura, Luciana Machado de, Martins, Fernando Ramos, Assireu, Arcilan Trevenzoli","Revista Ambiente &amp; Água; 11(4); 903-914","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000400903&lang=pt" 
"S1980-993X2016000400891-scl","Estimativa da precipitação máxima diária anual e equação de chuvas intensas para o município de Formiga, MG, Brasil","Borges, Giovana Mara Rodrigues, Thebaldi, Michael Silveira","Revista Ambiente &amp; Água; 11(4); 891-902","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000400891&lang=pt" 
"S1980-993X2016000400833-scl","Metais potencialmente tóxicos em rios a montante do Pantanal Norte","Magalhães, Geizibel Campos de, Fantin-Cruz, Ibraim, Zeilhofer, Peter, Dores, Eliana Freire Gaspar de Carvalho","Revista Ambiente &amp; Água; 11(4); 833-850","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000400833&lang=pt" 
"S0185-30822016000200074-mex","Locura, monstruosidad y escritura: Hacia un análisis genealógico de El obsceno pájaro de la noche","Juan-Navarro, Santiago","Acta poética; 37(2); 74-86","Acta poética","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822016000200074&lang=pt" 
"S1983-21252016000401036-scl","PEDOGENESIS AND SOIL CLASSIFICATION OF AN EXPERIMENTAL FARM IN MOSSORÓ, STATE OF RIO GRANDE DO NORTE, BRAZIL","RÊGO, LUNARA GLEIKA DA SILVA, MARTINS, CAROLINA MALALA, SILVA, EULENE FRANCISCO DA, SILVA, JÉSSIA JULIANA ALVES DA, LIMA, REBECA NAIRONY DA SILVA","Revista Caatinga; 29(4); 1036-1042","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000401036&lang=pt" 
"S1980-993X2016000400810-scl","Fatores ambientais relacionados à ocorrência de cianobactérias potencialmente tóxicas no reservatório de Guarapiranga, SP, Brasil","Machado, Leila dos Santos, Santos, Larissa Gonçalves, Doval, Julio Cesar Lopez, Pompêo, Marcelo Luiz Martins, Moschini-Carlos, Viviane","Revista Ambiente &amp; Água; 11(4); 810-818","Revista Ambiente &amp; Água","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2016000400810&lang=pt" 
"S1983-21252016000400841-scl","GENETIC DIVERGENCE AND MORPHO-AGRONOMIC PERFORMANCE OF JATROPHA CURCAS L. CLONES FOR SELECTION OF CLONAL VARIETIES","ALMEIDA, ADRIANA QUEIROZ DE, SILVA, SIMONE ALVES, ALMEIDA, VANESSA DE OLIVEIRA, SOUZA, DEOCLIDES RICARDO DE, ARAÚJO, GILMARA DE MELO","Revista Caatinga; 29(4); 841-849","Revista Caatinga","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252016000400841&lang=pt" 
"S2236-99962016000300803-scl","O espaço na geografia e o espaço da arquitetura: reflexões epistemológicas","Leitão, Lucia, Lacerda, Norma","Cadernos Metrópole; 18(37); 803-822","Cadernos Metrópole","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962016000300803&lang=pt" 
"S2236-99962016000300823-scl","Quando o projeto disfarça o plano: concepções de planejamento e suas metamorfoses em Belém (PA)","Cardoso, Ana Cláudia Duarte, Gomes, Taynara do Vale, Melo, Ana Carolina Campos de, Bibas, Luna Barros","Cadernos Metrópole; 18(37); 823-844","Cadernos Metrópole","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-99962016000300823&lang=pt" 
"S1519-69842016000400951-scl","Insecticidal activity of neem oil against Gyropsylla spegazziniana (Hemiptera: Psyllidae) nymphs on Paraguay tea seedlings","Formentini, M. A., Alves, L. F. A., Schapovaloff, M. E.","Brazilian Journal of Biology; 76(4); 951-954","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016000400951&lang=pt" 
"S0187-69612016000200041-mex","Espacios de convivencia primaria e inseguridad en Matamoros, Tamaulipas","Jurado Montelongo, Mario Alberto","Estudios fronterizos; 17(34); 41-63","Estudios fronterizos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-69612016000200041&lang=pt" 
"S1519-69842016000401029-scl","Quercetin and rutin as potential agents antifungal against Cryptococcus spp","Oliveira, V. M., Carraro, E., Auler, M. E., Khalil, N. M.","Brazilian Journal of Biology; 76(4); 1029-1034","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016000401029&lang=pt" 
"S0187-69612016000200159-mex","Christian Alonso Fernández Huerta (2015). Participación Juvenil y Agencia. Discursividades e interacciones en el escenario global . México: Universidad Autónoma de Baja California. ISBN 978-607-607-259-2","Ortíz Marín, Ángel Manuel","Estudios fronterizos; 17(34); 159-161","Estudios fronterizos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-69612016000200159&lang=pt" 
"S0103-51502016000400723-scl","Applicability of a motor rehabilitation system in stroke victims","Carneiro, Maíra Izzadora Souza, Oliveira, Déborah Marques De, Maciel, Adriana Baltar Do Rêgo, Cardoso, Ana Cláudia De Andrade, Teichrieb, Verônica, Monte-Silva, Kátia","Fisioterapia em Movimento; 29(4); 723-730","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000400723&lang=pt" 
"S1980-65742016000400266-scl","Neuromuscular control strategies of the trunk antagonist muscles during the Biering-Sorensen test in individuals with recurrent low back pain and healthy subjects","Morita, Ângela Kazue, Marques, Nise Ribeiro, Navega, Marcelo Tavella","Motriz: Revista de Educação Física; 22(4); 266-271","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000400266&lang=pt" 
"S0103-51502016000400751-scl","Lower back pain and level of disability amongst construction workers","Araújo, Samya Pinheiro, Carvalho, Laise Neves, Martins, Érica Silva","Fisioterapia em Movimento; 29(4); 751-756","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000400751&lang=pt" 
"S2237-96222016000400819-scl","Conhecimentos e práticas de saúde bucal de gestantes usuárias dos serviços de saúde em São Luís, Maranhão, 2007-2008","Lopes, Fernanda Ferreira, Ribeiro, Tafnes Valverde, Fernandes, Daniela Braga, Calixto, Nayra Rodrigues de Vasconcelos, Alves, Cláudia Maria Coêlho, Pereira, Antônio Luiz Amaral, Pereira, Adriana de Fátima Vasconcelos","Epidemiologia e Serviços de Saúde; 25(4); 819-826","Epidemiologia e Serviços de Saúde","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-96222016000400819&lang=pt" 
"S1980-65742016000400346-scl","Emotional eating is related to carbohydrate intake in active women","Santos, Marcus Vinicius Lucio dos, Melo, Camila Maria de, Rosa, João Paulo Pereira, Silva, Erica Vale Alves da, Lima, Giscard Humberto Oliveira, Del Re, Mariana Pantaleão, Tufik, Sergio, Mello, Marco Túlio de","Motriz: Revista de Educação Física; 22(4); 346-352","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000400346&lang=pt" 
"S2237-96222016000400855-scl","Modelos analíticos em estudos de avaliação econômica","Silva, Everton Nunes da, Silva, Marcus Tolentino, Pereira, Maurício Gomes","Epidemiologia e Serviços de Saúde; 25(4); 855-858","Epidemiologia e Serviços de Saúde","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-96222016000400855&lang=pt" 
"S0103-51502016000400805-scl","Pulmonary function in patients with pandemic H1N1","Koppe, Soraia, Túlio, Alexandra Ignes Bruni, Villegas, Isabela Lucia Pelloso, Motter, Arlete Ana","Fisioterapia em Movimento; 29(4); 805-812","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000400805&lang=pt" 
"S1980-65742016000400341-scl","Building an urban park increases the intention of adults to practice physical activity","Felix, Raphaelly Machado, Farias, Vinicius Martins, Bergmann, Mauren Lúcia de Araújo, Bergmann, Gabriel Gustavo","Motriz: Revista de Educação Física; 22(4); 341-345","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000400341&lang=pt" 
"S2237-96222016000400807-scl","Avaliação do cumprimento das metas de produtividade em Centros de Especialidades Odontológicas no Maranhão, 2011","Thomaz, Erika Bárbara Abreu Fonseca, Sousa, Grazianne Medeiros Carvalho de, Queiroz, Rejane Christine de Sousa, Coimbra, Liberata Campos","Epidemiologia e Serviços de Saúde; 25(4); 807-818","Epidemiologia e Serviços de Saúde","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-96222016000400807&lang=pt" 
"S0103-51502016000400693-scl","Profile of physiotherapy intervention for Down syndrome children","Morais, Késia Damascena Winter de, Fiamenghi-Jr, Geraldo Antonio, Campos, Denise, Blascovi-Assis, Silvana Maria","Fisioterapia em Movimento; 29(4); 693-701","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000400693&lang=pt" 
"S2237-96222016000400767-scl","Estratificação de municípios brasileiros para avaliação de desempenho em saúde","Calvo, Maria Cristina Marino, Lacerda, Josimari Telino de, Colussi, Claudia Flemming, Schneider, Ione Jayce Ceola, Rocha, Thiago Augusto Hernandes","Epidemiologia e Serviços de Saúde; 25(4); 767-776","Epidemiologia e Serviços de Saúde","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-96222016000400767&lang=pt" 
"S0103-51502016000400713-scl","A case study of the effect of cardiovascular training on cerebral palsy","Teixeira, Jéssica Silva, Santos, Luiza Mayara Lima de Jesus, Santos, Nayhara Lemos dos, Casali, Carla Cristine Cunha, Chaves, Carolina Marques Carvalho Mitre","Fisioterapia em Movimento; 29(4); 713-721","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000400713&lang=pt" 
"S0103-51502016000400757-scl","Cerebral palsy: the meaning of physical therapy for mother caregivers","Domenech, Ana Carolina Pereira, Tavares, Keila Okuda, Ruedell, Aneline Maria, Nobre, Joseane Rodrigues da Silva","Fisioterapia em Movimento; 29(4); 757-766","Fisioterapia em Movimento","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000400757&lang=pt" 
"S0103-51502016000400659-scl","Editorial","Teixeira, Renato da Costa","Fisioterapia em Movimento; 29(4); 659-659","Fisioterapia em Movimento","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502016000400659&lang=pt" 
"S1980-65742016000400243-scl","Assessment of motor skills and school performance in children diagnosed with attention deficit hyperactivity disorder","Palácio, Siméia G., Oliveira, Jorge A. De, Arneiro, Rosimeire F. Martins, Casella, Erasmo B.","Motriz: Revista de Educação Física; 22(4); 243-248","Motriz: Revista de Educação Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742016000400243&lang=pt" 
