"S0100-83582007000200012-scl","Estimativa da área foliar de Ipomoea hederifolia e Ipomoea nil Roth: usando dimensões lineares do limbo foliar","Bianco, S., Bianco, M.S., Pavani, M.C.M.D., Duarte, D.J.","Planta Daninha; 25(2); 325-329","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200012&lang=pt" 
"S0100-83582007000200016-scl","Efeito de herbicidas sobre quatro espécies de trapoeraba","Rocha, D.C., Rodella, R.A., Martins, D., Maciel, C.D.G.","Planta Daninha; 25(2); 359-364","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200016&lang=pt" 
"S0085-56262007000200007-scl","Parides klagesi (Ehrmann) redescoberto no Brasil (Lepidoptera, Papilionidae, Troidini)","Mielke, Olaf H. H., Casagrande, Mirna M.","Revista Brasileira de Entomologia; 51(2); 187-189","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200007&lang=pt" 
"S0085-56262007000200019-scl","Adultrap: descrição de armadilha para adulto de Aedes aegypti (Diptera, Culicidae)","Donatti, João Edson, Gomes, Almério de Castro","Revista Brasileira de Entomologia; 51(2); 255-256","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200019&lang=pt" 
"S0006-87052007000200001-scl","Florescimento e frutificação em laranjeiras &#039;valência&#039; com diferentes cargas de frutos e submetidas ou não à irrigação","Prado, Ana Karina de Souza, Machado, Eduardo Caruso, Medina, Camilo Lázaro, Machado, Daniela Fávero São Pedro, Mazzafera, Paulo","Bragantia; 66(2); 173-182","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200001&lang=pt" 
"S0006-87052007000200002-scl","Correlação entre heterose e divergência genética estimadas por cruzamentos dialélicos e marcadores moleculares rapd em populações de milho-pipoca","Rinaldi, Danilo Antonio, Pípolo, Valéria Carpentieri, Gerage, Antonio Carlos, Ruas, Claudete de Fátima, Fonseca Júnior, Nelson da Silva, Souza, Agnelo de, Souza, Silvia Graciele Hülse de, Garbuglio, Deoclécio Domingos","Bragantia; 66(2); 183-192","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200002&lang=pt" 
"S0006-87052007000200004-scl","Estimativa de coeficientes de correlação e trilha em gerações segregantes de trigo hexaplóide","Hartwig, Irineu, Carvalho, Fernando Irajá Félix de, Oliveira, Antônio Costa de, Vieira, Eduardo Alano, Silva, José Antônio Gonzales da, Bertan, Ivandro, Ribeiro, Guilherme, Finatto, Taciane, Reis, Cecília Estima Sacramento dos, Busato, Cyrano Cardoso","Bragantia; 66(2); 203-218","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200004&lang=pt" 
"S0006-87052007000200005-scl","Manejo dos fertilizantes fosfatados e potássicos em arroz irrigado no sistema pré-germinado","Marchezan, Enio, Camargo, Edinalvo Rabaioli, Segabinazzi, Tommi","Bragantia; 66(2); 219-226","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200005&lang=pt" 
"S0006-87052007000200006-scl","Caracterização de famílias mutantes de arroz para tolerância ao frio nos períodos vegetativo e reprodutivo","Martins, Andreza Figueirola, Vieira, Eduardo Alano, Kopp, Mauricio Marini, Luz, Viviane Kopp da, Carvalho, Marcos Fontoura de, Castelo Branco, Juliana Severo, Cruz, Renata Pereira da, Carvalho, Fernando Irajá Félix de, Oliveira, Antonio Costa de","Bragantia; 66(2); 227-233","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200006&lang=pt" 
"S0006-87052007000200007-scl","Produtividade e qualidade da silagem de milho e sorgo em função da época de semeadura","Von Pinho, Renzo Garcia, Vasconcelos, Ramon Correia de, Borges, Iran Dias, Resende, Adauton Vilela de","Bragantia; 66(2); 235-245","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200007&lang=pt" 
