"S0102-86502013000400011-scl","Abdominal wall healing in incisional hernia using different biomaterials in rabbits","Aramayo, Ana Letícia Gomes, Lopes Filho, Gaspar de Jesus, Barbosa, Cirênio de Almeida, Amaral, Vânia da Fonseca, Costa, Luciano Assis","Acta Cirurgica Brasileira; 28(4); 307-316","Acta Cirurgica Brasileira","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502013000400011&lang=pt" 
"S1413-82712013000100017-scl","O papel da amizade ao longo do ciclo vital","Borsa, Juliane Callegaro","Psico-USF; 18(1); 161-162","Psico-USF","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712013000100017&lang=pt" 
"S1413-82712013000100001-scl","","Noronha, Ana Paula Porto, Carvalho, Lucas de Francisco","Psico-USF; 18(1); VII-VII","Psico-USF","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712013000100001&lang=pt" 
"S1413-82712013000100003-scl","Contribuições de um treino cognitivo para a memória de idosos institucionalizados","Chariglione, Isabelle Patriciá Freitas, Janczura, Gerson Américo","Psico-USF; 18(1); 13-22","Psico-USF","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712013000100003&lang=pt" 
"S1413-82712013000100004-scl","Estrutura fatorial do WISC-III em crianças com dificuldades de aprendizagem","Vidal, Francisco Antonio Soto, Figueiredo, Vera Lúcia Marques de","Psico-USF; 18(1); 23-32","Psico-USF","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712013000100004&lang=pt" 
"S1413-82712013000100008-scl","Intervenções psicológicas para crianças que vivem ou convivem com HIV/Aids","Faria, Evelise Rigoni de, Silva, Milena da Rosa, Kessler, Helena Pillar, Gonçalves, Tonantzin Ribeiro, Carvalho, Fernanda Torres de, Piccinini, Cesar Augusto","Psico-USF; 18(1); 65-76","Psico-USF","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712013000100008&lang=pt" 
"S1413-82712013000100018-scl","O desenho infantil: forma de expressão cognitiva, criativa e emocional","Scaduto, Alessandro Antonio","Psico-USF; 18(1); 163-164","Psico-USF","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712013000100018&lang=pt" 
"S0104-06182013000100005-scl","Não linearidades, mudanças de regime e assimetrias na taxa de inflação brasileira: análise a partir de um modelo SETAR, 1944-2009","Marques, André M.","Economia e Sociedade; 22(1); 141-163","Economia e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182013000100005&lang=pt" 
"S0104-06182013000100001-scl","A dialética da transformação de valores em preços","Gontijo, Cláudio","Economia e Sociedade; 22(1); 1-41","Economia e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182013000100001&lang=pt" 
"S0104-06182013000100004-scl","Mudança estrutural e crescimento sob restrição externa na economia brasileira: uma análise empírica do período 1962-2006 com considerações sobre o II PND","Gouvêa, Raphael Rocha, Lima, Gilberto Tadeu","Economia e Sociedade; 22(1); 107-139","Economia e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182013000100004&lang=pt" 
"S0104-06182013000100006-scl","Formação, sustentação ou implosão de uma bolha imobiliária? A dinâmica de preços no mercado de imóveis de Natal no período 2005-2010","Bezerra, Márcia Maria de O., Correa, André Luíz, Mendonça, Ana Rosa Ribeiro de, Clementino, Maria do Livramento Miranda","Economia e Sociedade; 22(1); 167-196","Economia e Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182013000100006&lang=pt" 
"S0104-06182013000100007-scl","Espacio del producto y cambio estructural: un enfoque latinoamericano y una aplicación al caso uruguayo","Brunini, Álvaro, Fleitas, Sebastián, Ourens, Guzmán","Economia e Sociedade; 22(1); 197-235","Economia e Sociedade","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182013000100007&lang=pt" 
