"S1851-75872016000100009-arg","Bacterial and Antioxidant Activity of Commertial Essential Oils of Rosemary, Clove, Oregano and Sage","Ugalde, Mariane L, De Cezaro, Aline M, Cenci, Aline, Junior, Claudio V, Paroul, Natalia, Toniazzo, Geciane, Steffens, Juliana, Cansian, Rogerio L","Revista de Ciencia y Tecnología; (25); 54-61","Revista de Ciencia y Tecnología","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100009&lang=pt" 
"S0004-48222016000200011-arg","Escala cronoestratigráfica","Riccardi, Alberto C","Revista de la Asociación Geológica Argentina; 73(2); 292-293","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200011&lang=pt" 
"S0004-48222016000200005-arg","Petrografía, caracterización geoquímica y análisis microestructural del granito del cerro Siempre Amigos, sierras de Azul, Tandilia","Angeletti, Melisa, Frisicale, María Cristina, Dimieri, Luis V","Revista de la Asociación Geológica Argentina; 73(2); 211-224","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200005&lang=pt" 
"S0004-48222016000200003-arg","Geología del sector oriental del Complejo plutónico volcánico Curaco (Triásico Superior), Río Negro","Báez, Alejandro D, Paz, Maximiliano, Pino, Diego, González, Pablo D, Cábana, María Cecilia, Giacosa, Raúl, García, Víctor, Bechis, Florencia","Revista de la Asociación Geológica Argentina; 73(2); 183-194","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200003&lang=pt" 
"S0004-48222016000200002-arg","Geología, mineralogía y estructura de la mina acazoque (Pb-Ag-Zn), Puna salteña","Salado Paz, Natalia, Petrinovic, Iván A, Avila, Julio, Brod, Affonso","Revista de la Asociación Geológica Argentina; 73(2); 173-182","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200002&lang=pt" 
"S0004-48222016000200001-arg","Interpretación de la corteza superior a partir demétodos potenciales en la región de la Payenia y faja plegada y corrida de Malargüe","Anci, Sheila, Ruiz, Francisco, Lince Klinger, Federico, Leiva, Flavia, García, Héctor, Acosta, Gemma","Revista de la Asociación Geológica Argentina; 73(2); 159-172","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200001&lang=pt" 
"S0004-48222016000200012-arg","Horacio Homero Camacho (1922-2015)","Aguirre-Urreta, Beatriz","Revista de la Asociación Geológica Argentina; 73(2); 294-299","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200012&lang=pt" 
"S0004-48222016000200007-arg","Petrografía y geoquímica del cuerpo ígneo el renegado, sierra grande de San Luis","Cacace, Francisco E, Fernández Ihigo, Carolina, Ferracutti, Gabriela R, Bjerg, Ernesto E","Revista de la Asociación Geológica Argentina; 73(2); 242-255","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200007&lang=pt" 
"S0004-48222016000200004-arg","Petrología, termobarometría y geoquímica de las rocas anatécticas del sector norte de la sierra de Valle Fértil, San Juan: implicancias en la determinación de variaciones laterales en la construcción del arco magmático","Tibaldi, Alina M, Cristofolini, Eber A, Otamendi, Juan E, Barzola, Matías, Armas, Paula","Revista de la Asociación Geológica Argentina; 73(2); 195-210","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200004&lang=pt" 
"S0004-48222016000200006-arg","Nuevos datos mineralógicos, petrográficos y metalogenéticos del distrito minero Agua de Ramón, departamento Minas, Córdoba","Biglia, Marco E, Lira, Raúl, Sfragulla, Jorge A","Revista de la Asociación Geológica Argentina; 73(2); 225-241","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200006&lang=pt" 
"S0004-48222016000200010-arg","Xenolitos ultramáficos en lavas máficas neógenas de la Puna norte","Maro, Guadalupe, Caffe, Pablo J, Jofré, Cynthia","Revista de la Asociación Geológica Argentina; 73(2); 280-291","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200010&lang=pt" 
"S0004-48222016000200009-arg","Cambios morfosedimentarios causados por la construcción de un espigón en Camet Norte, provincia de Buenos Aires, Argentina","Medina, Rubén A, Martínez, Andrea L, Mormeneo, Liliana, Richiano, Sebastián M","Revista de la Asociación Geológica Argentina; 73(2); 270-279","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200009&lang=pt" 
"S0004-48222016000200008-arg","Estudio hidrogeoquímico de las áreas termales del complejo volcánico Copahue-Caviahue","Gaviria Reyes, María A, Agusto, Mariano R, Trinelli, María A, Caselli, Alberto T, Dos Santos Afonso, María, Calabrese, Sergio","Revista de la Asociación Geológica Argentina; 73(2); 256-269","Revista de la Asociación Geológica Argentina","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222016000200008&lang=pt" 
"S1850-20672016000100013-arg","Impacto do cultivo do coqueiro irrigado na qualidade física do solo na regiao semiárida Brasileira","Sales Rodrigues, Marcos, de Souza, Clériton, Lima, Deisiele Diniz, Pereira da Silva, Sheila Daniella, Castro Alves, David, Silva Machado, Neiton","Ciencia del suelo; 34(1); 139-144","Ciencia del suelo","Português","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-20672016000100013&lang=pt" 
"S1850-20672016000100003-arg","Impacto de la aplicación prolongada de urea sobre bacterias nitritantes de un Argiudol típico, Argentina","Boccolini, Mónica Fabiola, Basile, Laura Ana, Cazorla, Cristian Román, Galarza, Carlos Martín, Conde, Belén, Figuerola, Eva Lucía Margarita","Ciencia del suelo; 34(1); 21-31","Ciencia del suelo","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-20672016000100003&lang=pt" 
"S1850-20672016000100011-arg","Caracterización física y química de un argiudol vértico de la pampa ondulada con erosión hídrica en el surco y entresurco","Maggi, Alejandro Esteban, Behrends Kraemer, Filipe, Introcaso, Rafael Mario, Thompson, Delfina","Ciencia del suelo; 34(1); 113-126","Ciencia del suelo","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-20672016000100011&lang=pt" 
"S1850-20672016000100005-arg","Macrofauna edáfica en ecosistemas naturales y agroecosistemas de la eco-región Esteros del Iberá (Corrientes, Argentina)","Gómez Pamies, Diego Fernano, Godoy, María Celina, Coronel, Juan Manuel","Ciencia del suelo; 34(1); 43-56","Ciencia del suelo","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-20672016000100005&lang=pt" 
"S1850-20672016000100007-arg","Calidad de la materia orgánica y disponibilidad de macro y micronutrientes por la inclusion de trigo como cultivo de cobertura","Beltran, Marcelo Javier, Brutti, Lucrecia, Romaniuk, Romina, Bacigaluppo, Silvina, Salvagiotti, Fernando, Sainz-Rozas, Hernán, Galantini, Juán Alberto","Ciencia del suelo; 34(1); 67-79","Ciencia del suelo","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-20672016000100007&lang=pt" 
"S1850-20672016000100012-arg","Nitrógeno mineralizado en anaerobiosis: relación con sistemas de cultivo de agricultura continua","García, Gisela Vanesa, Studdert, Guillermo Alberto, Noé Domingo, Magalí, Domínguez, Germán Franco","Ciencia del suelo; 34(1); 127-138","Ciencia del suelo","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-20672016000100012&lang=pt" 
"S1850-20672016000100002-arg","Stocks y relaciones de estratificación del carbono y nitrógeno en oxisoles bajo sistemas forestales","Arzuaga, Silvia Amanda, Toledo, Diana Marcela, Contreras Leiva, Stella Maris, Vázquez, Sara","Ciencia del suelo; 34(1); 13-20","Ciencia del suelo","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-20672016000100002&lang=pt" 
"S1853-001X2016000100006-arg","Posafectos traumáticos: Desde el vacío de representación al pathos transformador","Taccetta, Natalia","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100006&lang=pt" 
"S1853-001X2016000100009-arg","Barrancos, Dora; Guy, Donna; Valobra, Adriana. Moralidades y comportamientos sexuales. Argentina, 1880-2011, Buenos Aires, Biblos, 2014, pp. 412","Simonetto, Patricio","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100009&lang=pt" 
"S1853-001X2016000100011-arg","Perilli, Carmen. Sombras de autor. La narrativa latinoamericana entre siglos, 1990-2010, Buenos Aires, Corregidor, 2014, pp. 176","Giuffré, Mercedes","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100011&lang=pt" 
"S1853-001X2016000100012-arg","Biernat, Carolina; Ramacciotti, Karina (Eds.). Historia de la salud y la enfermedad. Bajo la lupa de las ciencias sociales Buenos Aires, Biblos, 2014, pp. 162","Reyna, Carla","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100012&lang=pt" 
"S1853-001X2016000100008-arg","Lerussi, Romina. La retórica de la domesticidad. Política feminista, derecho y empleo doméstico en la Argentina, Buenos Aires, Universidad Nacional de La Plata, 2014, pp. 266","Costa, Malena","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100008&lang=pt" 
"S1853-001X2016000100002-arg","Sobre la destrucción: Materialidad y afecto en dos itinerarios por una geografía sísmica","Depetris Chauvin, Irene","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100002&lang=pt" 
"S1853-001X2016000100004-arg","Reflexiones sobre el giro afectivo en historia queer","Solana, Mariela","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100004&lang=pt" 
"S1853-001X2016000100003-arg","Los destellos de la pérdida: víctimas resilientes","Macón, Cecilia","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100003&lang=pt" 
"S1853-001X2016000100007-arg","Es un modo de pensamiento: entrevista a Judith Butler","Femenías, Maria Luisa, Chiacchio, Cecilia, Abellon, Paula","Mora (Buenos Aires); 22(1); -","Mora (Buenos Aires)","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2016000100007&lang=pt" 
